Id,Name,Industry,CreatedDate,Type
001XX000003DGb2QAG,Acme Corporation,Technology,2020-05-15,Customer
001XX000003DGb3QAG,TechStart Inc,Technology,2019-08-22,Customer
001XX000003DGb4QAG,Global Finance Group,Finance,2018-11-30,Customer
001XX000003DGb5QAG,HealthCare Solutions,Healthcare,2021-01-10,Customer
001XX000003DGb6QAG,Innovate Systems,Technology,2020-03-17,Customer
001XX000003DGb7QAG,Premium Bank Corp,Finance,2019-06-25,Customer
001XX000003DGb8QAG,MediTech Partners,Healthcare,2021-07-14,Customer
001XX000003DGb9QAG,CloudFirst Technologies,Technology,2020-09-08,Customer
001XX000003DGbAQAG,Capital Investment LLC,Finance,2018-12-20,Customer
001XX000003DGbBQAG,Wellness Medical Group,Healthcare,2021-03-05,Customer
001XX000003DGbCQAG,DataDrive Solutions,Technology,2019-04-18,Customer
001XX000003DGbDQAG,SecureBank Financial,Finance,2020-07-22,Customer
001XX000003DGbEQAG,LifeCare Hospital Network,Healthcare,2021-09-30,Customer
001XX000003DGbFQAG,NextGen Software,Technology,2018-10-12,Customer
001XX000003DGbGQAG,Investment Strategies Inc,Finance,2019-11-08,Customer
001XX000003DGbHQAG,Primary Health Systems,Healthcare,2020-02-14,Customer
001XX000003DGbIQAG,Digital Innovations Ltd,Technology,2021-05-20,Customer
001XX000003DGbJQAG,Metro Credit Union,Finance,2019-01-25,Customer
001XX000003DGbKQAG,Advanced Diagnostics Corp,Healthcare,2020-08-11,Customer
001XX000003DGbLQAG,Enterprise Tech Group,Technology,2018-07-19,Customer
001XX000003DGbMQAG,Wealth Management Pro,Finance,2021-04-03,Customer
001XX000003DGbNQAG,Regional Medical Center,Healthcare,2019-12-28,Customer
001XX000003DGbOQAG,SmartCloud Systems,Technology,2020-06-15,Customer
001XX000003DGbPQAG,First National Finance,Finance,2018-09-07,Customer
001XX000003DGbQQAG,Specialty Care Clinic,Healthcare,2021-02-18,Customer
001XX000003DGbRQAG,CyberSafe Technologies,Technology,2019-05-30,Customer
001XX000003DGbSQAG,Premium Insurance Group,Finance,2020-11-22,Customer
001XX000003DGbTQAG,Integrated Health Partners,Healthcare,2021-08-09,Customer
001XX000003DGbUQAG,AI Systems Corporation,Technology,2018-03-14,Customer
001XX000003DGbVQAG,Trust Bank Holdings,Finance,2019-10-27,Customer
