Id,OpportunityId,ContactId,Role,IsPrimary
00KXX000006DGe1QAG,006XX000005DGd1QAG,003XX000004DGc1QAG,Decision Maker,true
00KXX000006DGe2QAG,006XX000005DGd1QAG,003XX000004DGc2QAG,Business User,false
00KXX000006DGe3QAG,006XX000005DGd2QAG,003XX000004DGc3QAG,Executive Sponsor,true
00KXX000006DGe4QAG,006XX000005DGd2QAG,003XX000004DGc4QAG,Technical Buyer,false
00KXX000006DGe5QAG,006XX000005DGd3QAG,003XX000004DGc5QAG,Business User,true
00KXX000006DGe6QAG,006XX000005DGd3QAG,003XX000004DGc6QAG,Evaluator,false
00KXX000006DGe7QAG,006XX000005DGd4QAG,003XX000004DGc7QAG,Decision Maker,true
00KXX000006DGe8QAG,006XX000005DGd4QAG,003XX000004DGc8QAG,Business User,false
00KXX000006DGe9QAG,006XX000005DGd5QAG,003XX000004DGc9QAG,Executive Sponsor,true
00KXX000006DGeAQAG,006XX000005DGd5QAG,003XX000004DGcAQAG,Technical Buyer,false
00KXX000006DGeBQAG,006XX000005DGd6QAG,003XX000004DGcBQAG,Evaluator,true
00KXX000006DGeCQAG,006XX000005DGd6QAG,003XX000004DGcCQAG,Business User,false
00KXX000006DGeDQAG,006XX000005DGd7QAG,003XX000004DGcDQAG,Decision Maker,true
00KXX000006DGeEQAG,006XX000005DGd7QAG,003XX000004DGcEQAG,Business User,false
00KXX000006DGeFQAG,006XX000005DGd8QAG,003XX000004DGcFQAG,Technical Buyer,true
00KXX000006DGeGQAG,006XX000005DGd8QAG,003XX000004DGcGQAG,Evaluator,false
00KXX000006DGeHQAG,006XX000005DGd9QAG,003XX000004DGcHQAG,Business User,true
00KXX000006DGeIQAG,006XX000005DGd9QAG,003XX000004DGcIQAG,Technical Buyer,false
00KXX000006DGeJQAG,006XX000005DGdAQAG,003XX000004DGcJQAG,Executive Sponsor,true
00KXX000006DGeKQAG,006XX000005DGdAQAG,003XX000004DGcKQAG,Business User,false
00KXX000006DGeLQAG,006XX000005DGdBQAG,003XX000004DGcLQAG,Decision Maker,true
00KXX000006DGeMQAG,006XX000005DGdBQAG,003XX000004DGcMQAG,Evaluator,false
00KXX000006DGeNQAG,006XX000005DGdCQAG,003XX000004DGcNQAG,Business User,true
00KXX000006DGeOQAG,006XX000005DGdCQAG,003XX000004DGcOQAG,Technical Buyer,false
00KXX000006DGePQAG,006XX000005DGdDQAG,003XX000004DGcPQAG,Executive Sponsor,true
00KXX000006DGeQQAG,006XX000005DGdDQAG,003XX000004DGcQQAG,Business User,false
00KXX000006DGeRQAG,006XX000005DGdEQAG,003XX000004DGcRQAG,Evaluator,true
00KXX000006DGeSQAG,006XX000005DGdEQAG,003XX000004DGcSQAG,Technical Buyer,false
00KXX000006DGeTQAG,006XX000005DGdFQAG,003XX000004DGcTQAG,Decision Maker,true
00KXX000006DGeUQAG,006XX000005DGdFQAG,003XX000004DGcUQAG,Business User,false
00KXX000006DGeVQAG,006XX000005DGdGQAG,003XX000004DGcVQAG,Business User,true
00KXX000006DGeWQAG,006XX000005DGdGQAG,003XX000004DGcWQAG,Evaluator,false
00KXX000006DGeXQAG,006XX000005DGdHQAG,003XX000004DGcXQAG,Executive Sponsor,true
00KXX000006DGeYQAG,006XX000005DGdHQAG,003XX000004DGcYQAG,Technical Buyer,false
00KXX000006DGeZQAG,006XX000005DGdIQAG,003XX000004DGcZQAG,Business User,true
00KXX000006DGfAQAG,006XX000005DGdIQAG,003XX000004DGdAQAG,Decision Maker,false
00KXX000006DGfBQAG,006XX000005DGdJQAG,003XX000004DGdBQAG,Technical Buyer,true
00KXX000006DGfCQAG,006XX000005DGdJQAG,003XX000004DGdCQAG,Business User,false
00KXX000006DGfDQAG,006XX000005DGdKQAG,003XX000004DGdDQAG,Evaluator,true
00KXX000006DGfEQAG,006XX000005DGdKQAG,003XX000004DGdEQAG,Business User,false
00KXX000006DGfFQAG,006XX000005DGdLQAG,003XX000004DGdFQAG,Decision Maker,true
00KXX000006DGfGQAG,006XX000005DGdLQAG,003XX000004DGdGQAG,Executive Sponsor,false
00KXX000006DGfHQAG,006XX000005DGdMQAG,003XX000004DGdHQAG,Business User,true
00KXX000006DGfIQAG,006XX000005DGdMQAG,003XX000004DGdIQAG,Technical Buyer,false
00KXX000006DGfJQAG,006XX000005DGdNQAG,003XX000004DGdJQAG,Executive Sponsor,true
00KXX000006DGfKQAG,006XX000005DGdNQAG,003XX000004DGdKQAG,Business User,false
00KXX000006DGfLQAG,006XX000005DGdOQAG,003XX000004DGdLQAG,Evaluator,true
00KXX000006DGfMQAG,006XX000005DGdOQAG,003XX000004DGdMQAG,Technical Buyer,false
00KXX000006DGfNQAG,006XX000005DGdPQAG,003XX000004DGdNQAG,Decision Maker,true
