cell_id,facility,cluster
CELL_0001,facility_a,0
CELL_0002,facility_b,0
CELL_0003,facility_c,0
CELL_0004,facility_a,0
CELL_0005,facility_b,0
CELL_0006,facility_c,0
CELL_0007,facility_a,0
CELL_0008,facility_b,0
CELL_0009,facility_c,0
CELL_0010,facility_a,0
CELL_0011,facility_b,0
CELL_0012,facility_c,0
CELL_0013,facility_a,1
CELL_0014,facility_b,1
CELL_0015,facility_c,1
CELL_0016,facility_a,1
CELL_0017,facility_b,1
CELL_0018,facility_c,1
CELL_0019,facility_a,1
CELL_0020,facility_b,1
CELL_0021,facility_c,1
CELL_0022,facility_a,1
CELL_0023,facility_b,1
CELL_0024,facility_c,1
CELL_0025,facility_a,2
CELL_0026,facility_a,2
CELL_0027,facility_a,2
CELL_0028,facility_a,2
CELL_0029,facility_a,2
CELL_0030,facility_a,2
CELL_0031,facility_a,2
CELL_0032,facility_a,2
CELL_0033,facility_a,2
CELL_0034,facility_a,2
CELL_0035,facility_a,2
CELL_0036,facility_a,2
CELL_0037,facility_a,2
CELL_0038,facility_a,2
CELL_0039,facility_a,2
CELL_0040,facility_b,2
CELL_0041,facility_b,2
CELL_0042,facility_c,2
CELL_0043,facility_c,2
CELL_0044,facility_a,3
CELL_0045,facility_b,3
CELL_0046,facility_c,3
CELL_0047,facility_a,3
CELL_0048,facility_b,3
CELL_0049,facility_c,3
CELL_0050,facility_a,3
CELL_0051,facility_b,3
CELL_0052,facility_c,3
CELL_0053,facility_a,3
CELL_0054,facility_b,3
CELL_0055,facility_c,3
CELL_0056,facility_a,3
CELL_0057,facility_b,3
CELL_0058,facility_c,3
CELL_0059,facility_a,4
CELL_0060,facility_b,4
CELL_0061,facility_c,4
CELL_0062,facility_a,4
CELL_0063,facility_b,4
CELL_0064,facility_c,4
CELL_0065,facility_a,4
CELL_0066,facility_b,4
CELL_0067,facility_c,4
CELL_0068,facility_a,4
CELL_0069,facility_b,4
CELL_0070,facility_c,4
CELL_0071,facility_a,4
CELL_0072,facility_b,4
CELL_0073,facility_c,4
CELL_0074,facility_a,4
CELL_0075,facility_b,4
CELL_0076,facility_c,4
CELL_0077,facility_b,5
CELL_0078,facility_b,5
CELL_0079,facility_b,5
CELL_0080,facility_b,5
CELL_0081,facility_b,5
CELL_0082,facility_b,5
CELL_0083,facility_b,5
CELL_0084,facility_b,5
CELL_0085,facility_b,5
CELL_0086,facility_b,5
CELL_0087,facility_b,5
CELL_0088,facility_b,5
CELL_0089,facility_b,5
CELL_0090,facility_b,5
CELL_0091,facility_b,5
CELL_0092,facility_b,5
CELL_0093,facility_a,5
CELL_0094,facility_a,5
CELL_0095,facility_c,5
CELL_0096,facility_c,5
CELL_0097,facility_c,6
CELL_0098,facility_c,6
CELL_0099,facility_c,6
CELL_0100,facility_c,6
CELL_0101,facility_c,6
CELL_0102,facility_c,6
CELL_0103,facility_c,6
CELL_0104,facility_c,6
CELL_0105,facility_c,6
CELL_0106,facility_c,6
CELL_0107,facility_c,6
CELL_0108,facility_c,6
CELL_0109,facility_c,6
CELL_0110,facility_c,6
CELL_0111,facility_c,6
CELL_0112,facility_c,6
CELL_0113,facility_c,6
CELL_0114,facility_c,6
CELL_0115,facility_a,6
CELL_0116,facility_a,6
CELL_0117,facility_b,6
CELL_0118,facility_b,6
CELL_0119,facility_a,7
CELL_0120,facility_b,7
CELL_0121,facility_c,7
CELL_0122,facility_a,7
CELL_0123,facility_b,7
CELL_0124,facility_c,7
CELL_0125,facility_a,7
CELL_0126,facility_b,7
CELL_0127,facility_c,7
CELL_0128,facility_a,7
CELL_0129,facility_b,7
CELL_0130,facility_c,7
CELL_0131,facility_a,7
CELL_0132,facility_b,7
CELL_0133,facility_c,7
CELL_0134,facility_a,7
CELL_0135,facility_b,7
CELL_0136,facility_c,7
CELL_0137,facility_a,7
CELL_0138,facility_b,7
CELL_0139,facility_c,7
CELL_0140,facility_a,0
CELL_0141,facility_b,1
CELL_0142,facility_c,3
CELL_0143,facility_a,4
CELL_0144,facility_b,7
CELL_0145,facility_c,0
CELL_0146,facility_a,1
CELL_0147,facility_b,3
CELL_0148,facility_c,4
CELL_0149,facility_a,7
CELL_0150,facility_b,0
CELL_0151,facility_c,1
CELL_0152,facility_a,3
CELL_0153,facility_b,4
CELL_0154,facility_c,7
CELL_0155,facility_a,0
CELL_0156,facility_b,1
CELL_0157,facility_c,3
CELL_0158,facility_a,4
CELL_0159,facility_b,7
CELL_0160,facility_c,0
CELL_0161,facility_a,1
CELL_0162,facility_b,3
CELL_0163,facility_c,4
CELL_0164,facility_a,7
CELL_0165,facility_b,0
CELL_0166,facility_c,1
CELL_0167,facility_a,3
CELL_0168,facility_b,4
CELL_0169,facility_c,7
CELL_0170,facility_a,0
CELL_0171,facility_b,1
CELL_0172,facility_c,3
CELL_0173,facility_a,4
CELL_0174,facility_b,7
CELL_0175,facility_c,0
