txn_id,amount,timestamp
TXN3001,567.80,2024-01-16T08:15:44
TXN3002,1234.56,2024-01-16T08:22:13
TXN3003,89.99,2024-01-16T08:35:22
TXN3004,456.78,2024-01-16T08:47:55
TXN3005,1567.90,2024-01-16T09:12:33
TXN3006,234.50,2024-01-16T09:28:44
TXN3007,789.00,2024-01-16T09:45:11
TXN3008,345.67,2024-01-16T10:03:22
TXN3009,1890.25,2024-01-16T10:19:47
TXN3010,678.40,2024-01-16T10:35:18
TXN1001,125.50,2024-01-15T14:20:00
TXN3011,923.15,2024-01-16T11:02:33
TXN3012,445.80,2024-01-16T11:18:56
TXN3013,1123.45,2024-01-16T11:34:22
TXN3014,567.99,2024-01-16T11:50:14
TXN2001,234.50,2024-01-15T16:50:00
TXN3015,890.00,2024-01-16T12:08:45
TXN3016,1456.78,2024-01-16T12:25:33
TXN3017,234.90,2024-01-16T12:42:11
TXN3018,678.55,2024-01-16T13:01:28
TXN3019,1234.00,2024-01-16T13:18:44
TXN1005,789.00,2024-01-16T13:35:22
TXN3020,456.25,2024-01-16T13:52:17
TXN3021,1678.90,2024-01-16T14:10:33
TXN3022,345.60,2024-01-16T14:28:55
TXN2005,1456.75,2024-01-17T09:20:00
TXN3023,789.45,2024-01-16T14:47:22
TXN3024,1890.50,2024-01-16T15:05:44
TXN3025,567.30,2024-01-16T15:23:11
TXN3026,923.80,2024-01-16T15:41:33
TXN3027,1234.95,2024-01-16T16:00:22
TXN1010,567.25,2024-01-16T16:18:44
TXN3028,678.00,2024-01-16T16:37:11
TXN3029,1456.20,2024-01-16T16:55:33
TXN3030,345.85,2024-01-16T17:14:22
TXN2010,890.50,2024-01-17T11:15:00
TXN3031,789.60,2024-01-17T08:08:44
TXN3032,1567.45,2024-01-17T08:26:11
TXN3033,234.75,2024-01-17T08:44:33
TXN3034,890.30,2024-01-17T09:03:22
TXN3035,1234.80,2024-01-17T09:22:44
TXN1015,1123.50,2024-01-17T09:41:11
TXN3036,456.90,2024-01-17T10:00:33
TXN3037,1678.25,2024-01-17T10:19:22
TXN3038,567.70,2024-01-17T10:38:44
TXN3039,923.40,2024-01-17T10:58:11
TXN2015,678.90,2024-01-17T14:30:00
TXN3040,1890.75,2024-01-17T11:17:33
TXN3041,345.50,2024-01-17T11:37:22
TXN3042,789.85,2024-01-17T11:56:44
TXN3043,1456.60,2024-01-17T12:16:11
TXN3044,234.40,2024-01-17T12:35:33
TXN1020,1234.75,2024-01-17T12:55:22
TXN3045,678.20,2024-01-17T13:15:44
TXN3046,1567.90,2024-01-17T13:35:11
TXN3047,890.65,2024-01-17T13:54:33
TXN3048,456.35,2024-01-17T14:14:22
TXN2020,1890.00,2024-01-17T16:45:00
TXN3049,1234.50,2024-01-17T14:34:44
TXN3050,567.95,2024-01-17T14:54:11
TXN3051,923.70,2024-01-17T15:14:33
TXN3052,1678.40,2024-01-17T15:34:22
TXN3053,345.80,2024-01-17T15:54:44
TXN3054,789.25,2024-01-17T16:14:11
TXN3055,1456.85,2024-01-17T16:34:33
TXN3056,234.60,2024-01-17T16:54:22
TXN3057,890.90,2024-01-17T17:14:44
TXN3058,1567.30,2024-01-18T08:11:11
TXN3059,678.75,2024-01-18T08:30:33
TXN3060,1234.20,2024-01-18T08:50:22
TXN3061,456.55,2024-01-18T09:10:44
TXN3062,1890.40,2024-01-18T09:30:11
TXN3063,567.65,2024-01-18T09:50:33
TXN3064,923.95,2024-01-18T10:10:22
TXN3065,1678.70,2024-01-18T10:30:44
TXN3066,345.45,2024-01-18T10:50:11
TXN3067,789.55,2024-01-18T11:10:33
TXN3068,1456.30,2024-01-18T11:30:22
TXN3069,234.85,2024-01-18T11:50:44
TXN3070,890.20,2024-01-18T12:10:11
TXN3071,1567.60,2024-01-18T12:30:33
TXN3072,678.90,2024-01-18T12:50:22
TXN3073,1234.40,2024-01-18T13:10:44
TXN3074,456.70,2024-01-18T13:30:11
TXN3075,1890.15,2024-01-18T13:50:33
TXN3076,567.85,2024-01-18T14:10:22
TXN3077,923.50,2024-01-18T14:30:44
TXN3078,1678.95,2024-01-18T14:50:11
TXN3079,345.30,2024-01-18T15:10:33
TXN3080,789.75,2024-01-18T15:30:22
TXN3081,1456.50,2024-01-18T15:50:44
TXN3082,234.95,2024-01-18T16:10:11
TXN3083,890.35,2024-01-18T16:30:33
TXN3084,1567.80,2024-01-18T16:50:22
TXN3085,678.45,2024-01-18T17:10:44
TXN3086,1234.70,2024-01-18T17:30:11
TXN3087,456.60,2024-01-18T17:50:33
TXN3088,1890.90,2024-01-18T18:10:22
TXN3089,567.40,2024-01-18T18:30:44
TXN3090,923.25,2024-01-18T18:50:11
TXN3091,1678.55,2024-01-18T19:10:33
TXN3092,345.70,2024-01-18T19:30:22
TXN3093,789.90,2024-01-18T19:50:44
TXN3094,1456.95,2024-01-18T20:10:11
TXN3095,234.30,2024-01-18T20:30:33
TXN3096,890.80,2024-01-18T20:50:22
TXN3097,1567.25,2024-01-18T21:10:44
TXN3098,678.60,2024-01-18T21:30:11
TXN3099,1234.90,2024-01-18T21:50:33
TXN3100,456.45,2024-01-18T22:10:22
