k_point,band,energy
0,1,3.245
0,2,4.123
0,3,5.234
0,4,6.012
0,5,6.789
1,1,3.289
1,2,4.167
1,3,5.312
1,4,5.987
1,5,6.734
2,1,3.334
2,2,4.212
2,3,5.389
2,4,5.923
2,5,6.678
3,1,3.378
3,2,4.256
3,3,5.445
3,4,5.876
3,5,6.623
4,1,3.423
4,2,4.301
4,3,5.478
4,4,5.845
4,5,6.567
5,1,3.467
5,2,4.345
5,3,5.489
5,4,5.834
5,5,6.512
6,1,3.512
6,2,4.389
6,3,5.487
6,4,5.843
6,5,6.456
7,1,3.556
7,2,4.434
7,3,5.476
7,4,5.867
7,5,6.401
8,1,3.601
8,2,4.478
8,3,5.456
8,4,5.901
8,5,6.345
9,1,3.645
9,2,4.523
9,3,5.429
9,4,5.943
9,5,6.289
10,1,3.690
10,2,4.567
10,3,5.395
10,4,5.991
10,5,6.234
11,1,3.734
11,2,4.612
11,3,5.356
11,4,6.045
11,5,6.178
12,1,3.779
12,2,4.656
12,3,5.312
12,4,6.103
12,5,6.123
13,1,3.823
13,2,4.701
13,3,5.265
13,4,6.165
13,5,6.067
14,1,3.868
14,2,4.745
14,3,5.215
14,4,6.231
14,5,6.012
15,1,3.912
15,2,4.790
15,3,5.163
15,4,6.301
15,5,5.956
16,1,3.957
16,2,4.834
16,3,5.108
16,4,6.375
16,5,5.901
17,1,4.001
17,2,4.879
17,3,5.051
17,4,6.453
17,5,5.845
18,1,4.046
18,2,4.923
18,3,4.993
18,4,6.534
18,5,5.790
19,1,4.090
19,2,4.968
19,3,4.932
19,4,6.619
19,5,5.734
20,1,4.135
20,2,5.012
20,3,4.870
20,4,6.708
20,5,5.679
21,1,4.179
21,2,5.057
21,3,4.807
21,4,6.801
21,5,5.623
22,1,4.224
22,2,5.101
22,3,4.743
22,4,6.898
22,5,5.568
23,1,4.268
23,2,5.146
23,3,4.678
23,4,7.001
23,5,5.512
24,1,4.313
24,2,5.190
24,3,4.612
24,4,7.108
24,5,5.457
25,1,4.357
25,2,5.235
25,3,4.545
25,4,7.219
25,5,5.401
26,1,4.402
26,2,5.279
26,3,4.478
26,4,7.334
26,5,5.346
27,1,4.446
27,2,5.324
27,3,4.410
27,4,7.453
27,5,5.290
28,1,4.491
28,2,5.368
28,3,4.341
28,4,7.576
28,5,5.235
29,1,4.535
29,2,5.413
29,3,4.272
29,4,7.703
29,5,5.179
