peak_id	fragment_count
peak_1	145
peak_2	12
peak_3	456
peak_4	289
peak_5	67
peak_6	18
peak_7	892
peak_8	234
peak_9	8
peak_10	378
peak_11	156
peak_12	421
peak_13	89
peak_14	15
peak_15	1245
peak_16	203
peak_17	334
peak_18	7
peak_19	467
peak_20	125
peak_21	9
peak_22	678
peak_23	298
peak_24	412
peak_25	56
peak_26	1567
peak_27	189
peak_28	345
peak_29	23
peak_30	501
peak_31	276
peak_32	14
peak_33	198
peak_34	789
peak_35	432
peak_36	11
peak_37	267
peak_38	1834
peak_39	154
peak_40	389
peak_41	19
peak_42	456
peak_43	312
peak_44	87
peak_45	1456
peak_46	234
peak_47	398
peak_48	6
peak_49	167
peak_50	543
peak_51	21
peak_52	289
peak_53	401
peak_54	178
peak_55	1678
peak_56	98
peak_57	345
peak_58	13
peak_59	467
peak_60	256
peak_61	1123
peak_62	189
peak_63	412
peak_64	8
peak_65	334
peak_66	278
peak_67	15
peak_68	567
peak_69	201
peak_70	1945
peak_71	387
peak_72	134
peak_73	489
peak_74	22
peak_75	298
peak_76	11
peak_77	445
peak_78	167
peak_79	823
peak_80	356
peak_81	19
peak_82	412
peak_83	234
peak_84	1267
peak_85	189
peak_86	7
peak_87	378
peak_88	289
peak_89	501
peak_90	143
peak_91	24
peak_92	678
peak_93	312
peak_94	1456
peak_95	198
peak_96	9
peak_97	456
peak_98	267
peak_99	389
peak_100	1789
peak_101	234
peak_102	12
peak_103	345
peak_104	178
peak_105	567
peak_106	18
peak_107	423
peak_108	289
peak_109	1345
peak_110	156
peak_111	489
peak_112	6
peak_113	298
peak_114	401
peak_115	21
peak_116	734
peak_117	189
peak_118	1567
peak_119	267
peak_120	345
peak_121	14
peak_122	456
peak_123	198
peak_124	8
peak_125	612
peak_126	278
peak_127	1234
peak_128	167
peak_129	389
peak_130	501
peak_131	23
peak_132	298
peak_133	412
peak_134	1678
peak_135	189
peak_136	10
peak_137	356
peak_138	267
peak_139	589
peak_140	145
peak_141	19
peak_142	478
peak_143	234
peak_144	1456
peak_145	312
peak_146	7
peak_147	401
peak_148	178
peak_149	567
peak_150	289
peak_151	15
peak_152	689
peak_153	198
peak_154	1823
peak_155	234
peak_156	345
peak_157	11
peak_158	467
peak_159	289
peak_160	398
peak_161	1567
peak_162	156
peak_163	22
peak_164	501
peak_165	267
peak_166	378
peak_167	9
peak_168	612
peak_169	234
peak_170	1345
peak_171	189
peak_172	456
peak_173	13
