customer_age,account_tenure_months,monthly_bill,total_spent,contract_type,payment_method,churn
45,36,89.5,3500.0,One Year,Credit Card,0
32,8,145.2,1200.0,Month-to-Month,Electronic Check,1
58,72,65.3,4800.0,Two Year,Bank Transfer,0
28,4,178.9,720.0,Month-to-Month,Electronic Check,1
51,48,72.1,3600.0,One Year,Credit Card,0
39,24,95.4,2300.0,One Year,Bank Transfer,0
62,96,58.7,5700.0,Two Year,Credit Card,0
25,6,162.3,980.0,Month-to-Month,Mailed Check,1
47,60,68.9,4200.0,Two Year,Bank Transfer,0
33,12,125.7,1500.0,Month-to-Month,Electronic Check,1
55,84,62.4,5300.0,Two Year,Credit Card,0
29,5,185.6,950.0,Month-to-Month,Electronic Check,1
41,42,78.3,3400.0,One Year,Credit Card,0
36,18,108.9,2000.0,Month-to-Month,Bank Transfer,1
59,108,55.2,6000.0,Two Year,Credit Card,0
26,3,192.4,600.0,Month-to-Month,Electronic Check,1
49,54,70.5,3900.0,Two Year,Bank Transfer,0
34,10,138.6,1400.0,Month-to-Month,Mailed Check,1
53,66,64.8,4400.0,Two Year,Credit Card,0
30,7,156.3,1100.0,Month-to-Month,Electronic Check,1
44,30,92.7,2800.0,One Year,Bank Transfer,0
38,20,112.4,2200.0,One Year,Credit Card,0
61,102,57.9,5900.0,Two Year,Bank Transfer,0
27,5,174.8,850.0,Month-to-Month,Electronic Check,1
50,56,69.2,4100.0,Two Year,Credit Card,0
35,14,118.5,1700.0,Month-to-Month,Bank Transfer,1
57,90,60.1,5500.0,Two Year,Credit Card,0
31,9,148.7,1350.0,Month-to-Month,Electronic Check,1
43,38,85.6,3200.0,One Year,Credit Card,0
37,22,102.3,2400.0,One Year,Bank Transfer,0
60,98,56.5,5800.0,Two Year,Credit Card,0
24,4,188.2,780.0,Month-to-Month,Mailed Check,1
48,52,71.8,3700.0,Two Year,Bank Transfer,0
33,11,132.1,1450.0,Month-to-Month,Electronic Check,1
54,78,63.2,5100.0,Two Year,Credit Card,0
28,6,168.9,1050.0,Month-to-Month,Electronic Check,1
42,34,88.4,3100.0,One Year,Credit Card,0
36,16,115.7,1900.0,Month-to-Month,Bank Transfer,1
58,94,59.3,5600.0,Two Year,Bank Transfer,0
29,8,152.6,1280.0,Month-to-Month,Electronic Check,1
46,44,75.9,3500.0,One Year,Credit Card,0
40,26,98.5,2600.0,One Year,Bank Transfer,0
63,106,54.8,6100.0,Two Year,Credit Card,0
25,5,181.4,900.0,Month-to-Month,Electronic Check,1
52,62,67.6,4300.0,Two Year,Bank Transfer,0
34,13,128.3,1600.0,Month-to-Month,Mailed Check,1
56,86,61.7,5400.0,Two Year,Credit Card,0
30,7,165.2,1150.0,Month-to-Month,Electronic Check,1
45,40,82.1,3300.0,One Year,Credit Card,0
39,24,105.8,2500.0,One Year,Bank Transfer,0
64,110,53.4,6200.0,Two Year,Credit Card,0
26,4,195.7,820.0,Month-to-Month,Electronic Check,1
51,58,68.5,4000.0,Two Year,Bank Transfer,0
35,15,122.9,1800.0,Month-to-Month,Bank Transfer,1
59,92,58.9,5650.0,Two Year,Credit Card,0
31,9,144.3,1320.0,Month-to-Month,Electronic Check,1
47,46,77.2,3450.0,One Year,Credit Card,0
41,28,94.6,2700.0,One Year,Bank Transfer,0
62,104,56.1,6050.0,Two Year,Credit Card,0
27,6,172.5,1020.0,Month-to-Month,Mailed Check,1
53,64,66.3,4250.0,Two Year,Bank Transfer,0
36,17,119.4,2050.0,Month-to-Month,Electronic Check,1
57,88,60.8,5450.0,Two Year,Credit Card,0
32,10,140.9,1380.0,Month-to-Month,Electronic Check,1
48,50,72.4,3600.0,Two Year,Bank Transfer,0
42,32,90.2,2950.0,One Year,Credit Card,0
65,112,52.6,6300.0,Two Year,Credit Card,0
28,7,159.8,1180.0,Month-to-Month,Electronic Check,1
54,70,65.7,4500.0,Two Year,Bank Transfer,0
37,19,109.6,2100.0,Month-to-Month,Bank Transfer,1
60,100,57.3,5850.0,Two Year,Credit Card,0
33,12,135.4,1520.0,Month-to-Month,Electronic Check,1
49,54,70.9,3800.0,Two Year,Credit Card,0
43,36,86.8,3150.0,One Year,Bank Transfer,0
38,21,106.7,2350.0,One Year,Credit Card,0
61,103,55.5,5950.0,Two Year,Bank Transfer,0
24,3,189.6,650.0,Month-to-Month,Electronic Check,1
50,57,69.8,3950.0,Two Year,Credit Card,0
34,14,125.2,1650.0,Month-to-Month,Mailed Check,1
55,80,62.9,5200.0,Two Year,Credit Card,0
29,8,154.1,1250.0,Month-to-Month,Electronic Check,1
44,39,83.5,3250.0,One Year,Credit Card,0
40,25,100.3,2550.0,One Year,Bank Transfer,0
63,107,54.2,6150.0,Two Year,Credit Card,0
26,5,176.8,920.0,Month-to-Month,Electronic Check,1
52,61,67.1,4200.0,Two Year,Bank Transfer,0
35,15,120.8,1750.0,Month-to-Month,Bank Transfer,1
58,91,59.6,5550.0,Two Year,Credit Card,0
31,10,147.5,1400.0,Month-to-Month,Electronic Check,1
46,43,78.9,3400.0,One Year,Credit Card,0
41,27,96.9,2650.0,One Year,Bank Transfer,0
64,109,53.8,6250.0,Two Year,Credit Card,0
27,6,169.3,1080.0,Month-to-Month,Mailed Check,1
53,63,66.9,4350.0,Two Year,Bank Transfer,0
36,18,116.2,1950.0,Month-to-Month,Electronic Check,1
59,93,59.2,5600.0,Two Year,Credit Card,0
32,11,141.7,1420.0,Month-to-Month,Electronic Check,1
48,51,71.6,3650.0,Two Year,Bank Transfer,0
42,33,89.1,2900.0,One Year,Credit Card,0
65,111,52.9,6280.0,Two Year,Credit Card,0
28,7,163.4,1200.0,Month-to-Month,Electronic Check,1
54,69,65.4,4450.0,Two Year,Bank Transfer,0
37,20,111.8,2150.0,Month-to-Month,Bank Transfer,1
60,99,57.6,5800.0,Two Year,Credit Card,0
33,13,133.6,1550.0,Month-to-Month,Electronic Check,1
49,55,70.2,3750.0,Two Year,Credit Card,0
43,37,87.3,3200.0,One Year,Bank Transfer,0
39,23,104.5,2450.0,One Year,Credit Card,0
62,105,55.9,6000.0,Two Year,Bank Transfer,0
25,4,184.2,800.0,Month-to-Month,Electronic Check,1
51,59,68.3,4050.0,Two Year,Credit Card,0
34,15,127.4,1700.0,Month-to-Month,Mailed Check,1
56,82,62.1,5250.0,Two Year,Credit Card,0
30,9,150.8,1300.0,Month-to-Month,Electronic Check,1
45,41,81.7,3280.0,One Year,Credit Card,0
40,26,99.7,2580.0,One Year,Bank Transfer,0
63,108,54.5,6180.0,Two Year,Credit Card,0
26,5,179.5,940.0,Month-to-Month,Electronic Check,1
52,60,67.8,4150.0,Two Year,Bank Transfer,0
35,16,123.5,1820.0,Month-to-Month,Bank Transfer,1
57,89,60.3,5500.0,Two Year,Credit Card,0
31,10,145.9,1380.0,Month-to-Month,Electronic Check,1
47,45,77.8,3420.0,One Year,Credit Card,0
41,29,95.4,2720.0,One Year,Bank Transfer,0
64,110,53.6,6220.0,Two Year,Credit Card,0
27,6,171.2,1040.0,Month-to-Month,Mailed Check,1
53,65,66.6,4300.0,Two Year,Bank Transfer,0
36,18,118.3,2000.0,Month-to-Month,Electronic Check,1
58,94,59.5,5620.0,Two Year,Credit Card,0
32,11,139.4,1410.0,Month-to-Month,Electronic Check,1
48,52,72.1,3680.0,Two Year,Bank Transfer,0
42,34,88.9,2920.0,One Year,Credit Card,0
65,113,52.3,6320.0,Two Year,Credit Card,0
28,8,161.7,1220.0,Month-to-Month,Electronic Check,1
54,71,65.1,4480.0,Two Year,Bank Transfer,0
37,20,110.5,2120.0,Month-to-Month,Bank Transfer,1
60,101,57.1,5880.0,Two Year,Credit Card,0
33,13,136.8,1580.0,Month-to-Month,Electronic Check,1
49,56,69.5,3780.0,Two Year,Credit Card,0
43,38,86.2,3180.0,One Year,Bank Transfer,0
38,22,107.9,2380.0,One Year,Credit Card,0
61,104,55.3,5980.0,Two Year,Bank Transfer,0
24,4,191.3,780.0,Month-to-Month,Electronic Check,1
50,58,68.7,4020.0,Two Year,Credit Card,0
34,15,129.6,1720.0,Month-to-Month,Mailed Check,1
55,81,62.5,5220.0,Two Year,Credit Card,0
29,9,153.2,1280.0,Month-to-Month,Electronic Check,1
44,40,82.9,3260.0,One Year,Credit Card,0
40,26,101.2,2600.0,One Year,Bank Transfer,0
63,107,54.7,6160.0,Two Year,Credit Card,0
26,5,182.6,960.0,Month-to-Month,Electronic Check,1
52,62,67.4,4180.0,Two Year,Bank Transfer,0
35,17,121.7,1780.0,Month-to-Month,Bank Transfer,1
57,90,60.5,5520.0,Two Year,Credit Card,0
31,10,146.8,1390.0,Month-to-Month,Electronic Check,1
46,44,78.4,3440.0,One Year,Credit Card,0
41,28,97.6,2680.0,One Year,Bank Transfer,0
64,109,53.9,6240.0,Two Year,Credit Card,0
27,7,173.8,1120.0,Month-to-Month,Mailed Check,1
53,66,66.2,4320.0,Two Year,Bank Transfer,0
36,19,114.9,1980.0,Month-to-Month,Electronic Check,1
59,95,58.8,5640.0,Two Year,Credit Card,0
32,12,142.3,1440.0,Month-to-Month,Electronic Check,1
48,53,71.3,3700.0,Two Year,Bank Transfer,0
42,35,89.7,2940.0,One Year,Credit Card,0
65,114,52.1,6340.0,Two Year,Credit Card,0
28,8,164.9,1240.0,Month-to-Month,Electronic Check,1
54,72,64.8,4500.0,Two Year,Bank Transfer,0
37,21,112.4,2180.0,Month-to-Month,Bank Transfer,1
60,102,56.9,5900.0,Two Year,Credit Card,0
33,14,134.2,1600.0,Month-to-Month,Electronic Check,1
49,57,69.9,3800.0,Two Year,Credit Card,0
43,39,85.8,3210.0,One Year,Bank Transfer,0
39,24,106.3,2480.0,One Year,Credit Card,0
62,106,55.1,6020.0,Two Year,Bank Transfer,0
25,5,186.7,880.0,Month-to-Month,Electronic Check,1
51,60,68.1,4080.0,Two Year,Credit Card,0
34,16,128.9,1740.0,Month-to-Month,Mailed Check,1
56,83,61.8,5260.0,Two Year,Credit Card,0
30,9,151.6,1310.0,Month-to-Month,Electronic Check,1
45,42,81.2,3290.0,One Year,Credit Card,0
40,27,100.8,2620.0,One Year,Bank Transfer,0
63,108,54.3,6190.0,Two Year,Credit Card,0
26,6,180.4,980.0,Month-to-Month,Electronic Check,1
52,63,67.2,4200.0,Two Year,Bank Transfer,0
35,17,124.8,1840.0,Month-to-Month,Bank Transfer,1
58,92,59.8,5560.0,Two Year,Credit Card,0
31,11,148.3,1420.0,Month-to-Month,Electronic Check,1
47,46,77.5,3460.0,One Year,Credit Card,0
41,30,94.9,2740.0,One Year,Bank Transfer,0
64,111,53.4,6260.0,Two Year,Credit Card,0
27,7,175.3,1140.0,Month-to-Month,Mailed Check,1
53,67,65.9,4340.0,Two Year,Bank Transfer,0
36,19,117.6,2020.0,Month-to-Month,Electronic Check,1
59,96,58.6,5660.0,Two Year,Credit Card,0
32,12,143.7,1460.0,Month-to-Month,Electronic Check,1
48,54,70.8,3720.0,Two Year,Bank Transfer,0
