age,tenure_months,monthly_spend,support_calls,churned
25,12,45.50,2,0
55,48,150.75,8,1
32,6,67.30,5,1
42,36,112.40,3,0
28,18,52.80,1,0
61,60,178.90,12,1
35,24,89.50,4,0
45,42,134.20,7,1
22,3,38.75,3,1
50,54,165.30,9,1
33,15,71.25,2,0
58,66,188.50,11,1
27,9,49.60,4,1
40,30,98.75,5,0
36,21,82.40,3,0
52,45,142.80,6,1
29,12,58.90,2,0
48,39,128.60,8,1
31,18,76.50,4,0
44,33,118.30,5,0
26,8,44.20,3,1
57,63,172.40,10,1
34,27,93.70,4,0
49,51,156.20,9,1
30,14,64.80,2,0
53,57,169.50,11,1
38,36,105.90,6,0
43,48,138.70,7,1
24,5,41.30,4,1
60,69,182.30,13,1
37,30,97.20,5,0
46,42,145.60,8,1
28,11,55.40,3,0
54,60,175.80,10,1
41,39,122.50,6,0
47,45,148.90,7,1
23,7,39.80,2,0
56,64,179.60,12,1
39,33,108.40,5,0
51,54,162.70,9,1
26,10,47.90,3,1
62,70,185.40,14,1
35,28,91.60,4,0
44,40,131.20,6,1
29,13,61.50,2,0
59,67,180.90,11,1
33,20,79.30,3,0
48,50,153.40,8,1
31,16,73.80,4,0
55,61,170.20,10,1
27,9,51.20,2,0
63,71,189.70,13,1
36,25,87.90,4,0
45,38,126.50,7,1
30,17,68.40,3,0
52,56,167.30,9,1
38,32,102.60,5,0
49,47,149.80,8,1
25,8,43.70,3,1
58,65,176.50,11,1
34,22,84.30,4,0
47,44,141.90,7,1
32,19,77.60,3,0
54,59,173.60,10,1
40,35,114.80,6,0
46,41,136.40,7,1
28,12,57.20,2,0
61,68,183.20,12,1
37,29,95.50,5,0
50,52,158.70,9,1
24,6,42.60,4,1
57,63,177.40,11,1
35,26,88.70,4,0
43,37,124.30,6,1
29,14,63.90,2,0
56,62,174.80,10,1
39,34,110.20,5,0
51,53,160.50,9,1
26,9,48.50,3,1
64,72,191.30,14,1
36,27,90.80,4,0
44,39,129.60,6,1
31,18,75.40,3,0
53,58,171.90,10,1
38,31,100.70,5,0
48,46,147.20,8,1
27,11,54.30,2,0
60,66,181.60,12,1
33,23,86.20,4,0
46,43,140.50,7,1
30,15,66.80,3,0
55,60,168.40,10,1
41,37,120.90,6,0
49,49,152.30,8,1
23,4,40.90,3,1
59,64,178.20,11,1
34,24,85.60,4,0
45,40,133.70,7,1
28,13,59.50,2,0
62,69,186.50,13,1
