job_id,age_norm,fairshare_norm,jobsize_norm,qos_norm,wait_hours,cores,user_class
job_00001,0.856,0.234,0.125,0.891,2.3,4,researcher
job_00002,0.923,0.876,0.034,0.245,94.7,2,student
job_00003,0.145,0.654,0.923,0.567,12.4,128,staff
job_00004,0.891,0.198,0.067,0.156,118.5,2,student
job_00005,0.234,0.789,0.456,0.923,3.8,64,researcher
job_00006,0.767,0.845,0.089,0.312,76.2,4,researcher
job_00007,0.912,0.123,0.156,0.867,4.1,8,staff
job_00008,0.456,0.567,0.234,0.789,8.9,32,researcher
job_00009,0.678,0.912,0.045,0.234,82.3,1,student
job_00010,0.123,0.456,0.876,0.645,18.7,192,researcher
job_00011,0.834,0.267,0.178,0.134,96.4,6,student
job_00012,0.945,0.892,0.023,0.289,88.1,1,researcher
job_00013,0.345,0.678,0.567,0.912,2.1,96,staff
job_00014,0.789,0.156,0.234,0.823,5.6,16,researcher
job_00015,0.567,0.834,0.123,0.456,45.3,8,student
job_00016,0.198,0.345,0.789,0.567,14.2,128,researcher
job_00017,0.912,0.234,0.089,0.923,1.8,4,staff
job_00018,0.623,0.789,0.456,0.234,38.9,64,researcher
job_00019,0.867,0.912,0.067,0.178,91.5,2,student
job_00020,0.289,0.567,0.678,0.845,6.7,112,researcher
job_00021,0.934,0.123,0.134,0.267,102.3,4,student
job_00022,0.456,0.678,0.345,0.789,9.4,48,staff
job_00023,0.712,0.234,0.567,0.912,3.2,96,researcher
job_00024,0.178,0.845,0.234,0.456,22.8,32,researcher
job_00025,0.823,0.456,0.123,0.623,58.7,8,student
job_00026,0.534,0.789,0.789,0.345,11.5,144,staff
job_00027,0.901,0.167,0.045,0.134,124.6,1,student
job_00028,0.267,0.912,0.456,0.867,4.9,64,researcher
job_00029,0.645,0.345,0.678,0.789,7.3,128,researcher
job_00030,0.876,0.678,0.089,0.234,67.4,4,student
job_00031,0.389,0.234,0.912,0.623,13.8,256,staff
job_00032,0.756,0.567,0.167,0.456,41.2,12,researcher
job_00033,0.923,0.123,0.234,0.912,2.7,32,researcher
job_00034,0.145,0.834,0.567,0.345,28.5,96,student
