NodeName,CPUModel,GPUModel,TotalMemoryGB,NetworkType,StorageType
compute-01,AMD_EPYC_7763,NVIDIA_A100_80GB,512,InfiniBand_HDR,NVMe_SSD
compute-02,AMD_EPYC_7763,NVIDIA_A100_80GB,512,InfiniBand_HDR,NVMe_SSD
compute-03,Intel_Xeon_Gold_6338,NVIDIA_V100_32GB,256,InfiniBand_HDR,NVMe_SSD
compute-04,Intel_Xeon_Gold_6338,NVIDIA_V100_32GB,256,InfiniBand_HDR,SATA_SSD
compute-05,AMD_EPYC_7763,NVIDIA_T4_16GB,384,Ethernet_25G,NVMe_SSD
compute-06,AMD_EPYC_7763,NVIDIA_T4_16GB,384,Ethernet_25G,NVMe_SSD
compute-07,Intel_Xeon_Gold_6338,NVIDIA_A100_80GB,768,InfiniBand_HDR,NVMe_SSD
compute-08,Intel_Xeon_Gold_6338,none,192,Ethernet_25G,SATA_SSD
compute-09,Intel_Xeon_Gold_6338,none,192,Ethernet_25G,SATA_SSD
compute-10,AMD_EPYC_7763,none,128,Ethernet_25G,HDD
compute-11,AMD_EPYC_7763,none,128,Ethernet_25G,HDD
compute-12,Intel_Xeon_Gold_6338,NVIDIA_T4_16GB,256,Ethernet_25G,SATA_SSD
compute-13,AMD_EPYC_7763,NVIDIA_V100_32GB,320,InfiniBand_HDR,NVMe_SSD
compute-14,Intel_Xeon_Gold_6338,none,96,Ethernet_25G,SATA_SSD
compute-15,AMD_EPYC_7763,NVIDIA_A100_80GB,480,InfiniBand_HDR,NVMe_SSD
compute-16,Intel_Xeon_Gold_6338,NVIDIA_V100_32GB,384,InfiniBand_HDR,NVMe_SSD
