timestamp,group,submit_time,start_time,wait_minutes
2024-01-15 08:15:00,Beta,2024-01-15 08:15:00,2024-01-15 08:35:00,20
2024-01-15 08:20:00,Beta,2024-01-15 08:20:00,2024-01-15 08:42:00,22
2024-01-15 08:25:00,Beta,2024-01-15 08:25:00,2024-01-15 08:50:00,25
2024-01-15 08:30:00,Beta,2024-01-15 08:30:00,2024-01-15 08:58:00,28
2024-01-15 08:35:00,Beta,2024-01-15 08:35:00,2024-01-15 09:05:00,30
2024-01-15 08:40:00,Beta,2024-01-15 08:40:00,2024-01-15 09:12:00,32
2024-01-15 08:45:00,Beta,2024-01-15 08:45:00,2024-01-15 09:18:00,33
2024-01-15 08:50:00,Beta,2024-01-15 08:50:00,2024-01-15 09:25:00,35
2024-01-15 08:55:00,Beta,2024-01-15 08:55:00,2024-01-15 09:32:00,37
2024-01-15 09:00:00,Beta,2024-01-15 09:00:00,2024-01-15 09:38:00,38
2024-01-15 09:05:00,Beta,2024-01-15 09:05:00,2024-01-15 09:45:00,40
2024-01-15 09:10:00,Beta,2024-01-15 09:10:00,2024-01-15 09:52:00,42
2024-01-15 09:15:00,Beta,2024-01-15 09:15:00,2024-01-15 09:58:00,43
2024-01-15 09:20:00,Beta,2024-01-15 09:20:00,2024-01-15 10:05:00,45
2024-01-15 09:25:00,Beta,2024-01-15 09:25:00,2024-01-15 10:13:00,48
2024-01-15 09:30:00,Beta,2024-01-15 09:30:00,2024-01-15 10:20:00,50
2024-01-15 09:35:00,Beta,2024-01-15 09:35:00,2024-01-15 10:25:00,50
2024-01-15 09:40:00,Beta,2024-01-15 09:40:00,2024-01-15 10:28:00,48
2024-01-15 09:45:00,Beta,2024-01-15 09:45:00,2024-01-15 10:30:00,45
2024-01-15 09:50:00,Beta,2024-01-15 09:50:00,2024-01-15 10:32:00,42
2024-01-15 07:30:00,Alpha,2024-01-15 07:30:00,2024-01-15 08:15:00,45
2024-01-15 10:15:00,Alpha,2024-01-15 10:15:00,2024-01-15 12:20:00,125
2024-01-15 11:30:00,Alpha,2024-01-15 11:30:00,2024-01-15 13:25:00,115
2024-01-15 12:45:00,Alpha,2024-01-15 12:45:00,2024-01-15 14:35:00,110
2024-01-15 13:20:00,Alpha,2024-01-15 13:20:00,2024-01-15 15:18:00,118
2024-01-15 14:10:00,Alpha,2024-01-15 14:10:00,2024-01-15 16:05:00,115
2024-01-15 15:00:00,Alpha,2024-01-15 15:00:00,2024-01-15 16:50:00,110
2024-01-15 15:45:00,Alpha,2024-01-15 15:45:00,2024-01-15 17:40:00,115
2024-01-15 16:30:00,Alpha,2024-01-15 16:30:00,2024-01-15 18:25:00,115
2024-01-15 17:15:00,Alpha,2024-01-15 17:15:00,2024-01-15 19:10:00,115
