JobID|User|Partition|AllocCPUS|ReqMem|AllocGRES|ReqLicenses|ElapsedTime|State
100234|user001|standard|8|32G||matlab:1|04:25:30|COMPLETED
100235|ai_team|gpu|16|128G|gpu:4||12:15:45|COMPLETED
100236|researcher2|fpga|4|64G|fpga:1||08:30:00|COMPLETED
100237|dataeng|standard|4|16G|||02:15:20|COMPLETED
100238|ml_user|gpu|8|64G|gpu:2||06:45:15|COMPLETED
100239|physics01|standard|16|128G||ansys:2|10:30:45|COMPLETED
100240|chemlab|standard|2|8G|||01:20:10|COMPLETED
100241|bioinfo|bigmem|32|256G|||18:45:00|COMPLETED
100242|ai_team|gpu|12|96G|gpu:8||24:00:00|COMPLETED
100243|user005|standard|1|4G|||00:45:30|COMPLETED
100244|researcher2|fpga|8|128G|fpga:2||15:20:00|COMPLETED
100245|ml_user|gpu|16|128G|gpu:4|matlab:1|08:15:30|COMPLETED
100246|physics01|standard|24|64G||ansys:4|12:00:00|COMPLETED
100247|dataeng|standard|8|32G|||03:30:45|COMPLETED
100248|chemlab|standard|4|16G||matlab:2|02:45:15|COMPLETED
100249|user010|gpu|8|48G|gpu:1||04:20:00|COMPLETED
100250|bioinfo|bigmem|16|128G|||09:15:30|COMPLETED
100251|ai_team|gpu|16|256G|gpu:6||20:30:15|COMPLETED
100252|researcher2|standard|12|96G|||07:45:00|COMPLETED
100253|ml_user|gpu|4|32G|gpu:2||03:15:45|COMPLETED
100254|user015|standard|2|8G||matlab:1|01:30:20|COMPLETED
100255|physics01|fpga|8|64G|fpga:1|ansys:1|11:20:30|COMPLETED
100256|dataeng|standard|16|48G|||05:45:00|COMPLETED
100257|chemlab|gpu|8|64G|gpu:3||09:30:15|COMPLETED
100258|bioinfo|standard|32|128G||matlab:4|16:15:45|COMPLETED
100259|ai_team|gpu|12|128G|gpu:4||14:45:30|COMPLETED
100260|user020|standard|4|16G|||02:00:00|COMPLETED
100261|researcher2|gpu|16|192G|gpu:5||18:20:15|COMPLETED
100262|ml_user|gpu|8|96G|gpu:3|matlab:1|10:45:00|COMPLETED
100263|physics01|standard|8|32G||ansys:3|06:30:45|COMPLETED
100264|dataeng|standard|6|24G|||03:15:20|COMPLETED
100265|chemlab|fpga|4|32G|fpga:1||07:00:00|COMPLETED
100266|user025|standard|1|4G|||00:30:15|COMPLETED
100267|bioinfo|bigmem|24|192G|||14:30:00|COMPLETED
100268|ai_team|gpu|16|128G|gpu:7||22:15:30|COMPLETED
100269|researcher2|standard|8|64G||matlab:2|05:45:15|COMPLETED
100270|ml_user|gpu|4|48G|gpu:1||02:30:00|COMPLETED
100271|physics01|fpga|12|96G|fpga:2|ansys:2|13:45:20|COMPLETED
100272|dataeng|standard|16|32G|||04:20:30|COMPLETED
100273|chemlab|standard|4|16G||matlab:3|03:00:45|COMPLETED
100274|user030|gpu|8|64G|gpu:2||05:15:00|COMPLETED
100275|bioinfo|standard|12|48G|||06:45:30|COMPLETED
100276|ai_team|gpu|16|256G|gpu:8|matlab:2|26:30:00|COMPLETED
100277|researcher2|standard|20|80G||ansys:1|09:15:45|COMPLETED
100278|ml_user|gpu|12|128G|gpu:4||11:30:15|COMPLETED
100279|physics01|standard|8|32G|||04:00:00|COMPLETED
100280|dataeng|gpu|8|96G|gpu:3||08:45:30|COMPLETED
100281|chemlab|fpga|6|48G|fpga:1|matlab:1|09:20:15|COMPLETED
100282|user035|standard|2|8G|||01:15:00|COMPLETED
100283|bioinfo|bigmem|28|224G|||20:00:00|COMPLETED
100284|ai_team|gpu|16|192G|gpu:6||19:45:15|COMPLETED
100285|researcher2|standard|16|64G||matlab:1|07:30:30|COMPLETED
100286|ml_user|gpu|8|72G|gpu:2|ansys:1|07:15:45|COMPLETED
100287|physics01|standard|12|96G||ansys:2|10:45:00|COMPLETED
100288|dataeng|standard|4|24G|||02:45:15|COMPLETED
100289|chemlab|gpu|12|128G|gpu:4|matlab:2|13:20:30|COMPLETED
100290|user040|standard|8|32G|||03:45:00|COMPLETED
100291|bioinfo|standard|16|128G||matlab:3|12:30:45|COMPLETED
100292|ai_team|gpu|16|160G|gpu:5||17:15:20|COMPLETED
