transaction_id,amount,merchant_category,time_of_day,day_of_week,distance_from_home,distance_from_last,ratio_to_median,is_fraud
TXN000001,45.32,5,14,2,2.3,1.2,0.98,0
TXN000002,123.45,12,18,4,5.6,3.4,1.12,0
TXN000003,67.89,3,10,1,1.2,0.8,0.87,0
TXN000004,234.56,8,20,5,15.3,12.1,2.34,0
TXN000005,89.12,15,12,3,3.4,2.1,0.76,0
TXN000006,2345.67,18,2,6,345.2,289.4,8.45,1
TXN000007,56.78,7,16,0,4.5,2.3,1.05,0
TXN000008,98.76,11,9,2,2.1,1.5,0.92,0
TXN000009,145.23,4,13,4,6.7,4.2,1.23,0
TXN000010,76.54,6,19,1,8.9,5.6,0.81,0
TXN000011,1678.90,19,3,0,278.5,234.1,7.23,1
TXN000012,34.21,2,11,3,1.8,0.9,0.67,0
TXN000013,156.78,9,15,5,7.2,4.8,1.34,0
TXN000014,87.65,13,8,2,3.5,2.0,0.88,0
TXN000015,234.12,10,17,4,12.3,8.7,1.98,0
TXN000016,54.32,5,14,1,2.9,1.6,0.94,0
TXN000017,3456.78,17,1,6,412.3,378.9,9.12,1
TXN000018,98.45,8,12,3,4.6,2.8,1.01,0
TXN000019,123.67,14,10,0,5.8,3.5,1.15,0
TXN000020,67.89,3,16,2,2.7,1.4,0.85,0
TXN000021,2156.34,16,4,5,298.7,256.3,7.89,1
TXN000022,45.67,7,13,4,3.1,1.8,0.91,0
TXN000023,189.23,11,9,1,6.4,4.1,1.45,0
TXN000024,76.54,4,18,3,4.2,2.5,0.79,0
TXN000025,234.56,12,11,2,9.8,6.3,1.87,0
TXN000026,54.32,6,15,0,2.4,1.3,0.96,0
TXN000027,1987.65,20,2,6,312.4,278.6,8.34,1
TXN000028,87.65,9,14,5,4.8,2.9,0.89,0
TXN000029,145.23,15,10,3,7.1,4.6,1.28,0
TXN000030,98.76,2,17,1,3.9,2.2,0.93,0
TXN000031,56.78,13,12,4,2.6,1.5,0.87,0
TXN000032,2789.12,18,3,2,356.8,312.5,8.67,1
TXN000033,123.45,8,16,0,5.4,3.3,1.18,0
TXN000034,67.89,10,9,5,3.2,1.9,0.82,0
TXN000035,234.12,5,13,3,8.7,5.8,1.92,0
TXN000036,89.12,14,11,1,4.3,2.6,0.91,0
TXN000037,3123.45,19,1,6,389.2,345.7,9.45,1
TXN000038,45.32,7,15,4,2.8,1.6,0.88,0
TXN000039,156.78,11,10,2,6.5,4.2,1.36,0
TXN000040,76.54,3,18,0,3.7,2.1,0.83,0
TXN000041,198.76,12,14,5,9.2,6.1,1.67,0
TXN000042,54.21,6,12,3,2.5,1.4,0.94,0
TXN000043,2456.78,17,4,1,323.5,289.3,8.12,1
TXN000044,87.65,9,16,4,4.9,3.0,0.87,0
TXN000045,123.45,15,9,2,5.9,3.7,1.21,0
TXN000046,98.76,4,13,0,4.1,2.4,0.96,0
TXN000047,67.89,8,11,5,3.3,1.9,0.79,0
TXN000048,234.56,13,17,3,10.4,7.2,1.89,0
TXN000049,1834.23,20,2,6,267.9,234.5,7.78,1
TXN000050,45.67,2,15,1,2.9,1.7,0.92,0
TXN000051,156.78,10,10,4,6.8,4.4,1.32,0
TXN000052,89.12,7,14,2,4.2,2.5,0.86,0
TXN000053,76.54,5,12,0,3.6,2.0,0.84,0
TXN000054,2678.90,16,3,5,334.6,298.7,8.56,1
TXN000055,123.45,11,16,3,5.7,3.5,1.19,0
TXN000056,67.89,14,9,1,3.4,2.0,0.81,0
TXN000057,234.12,6,13,4,9.1,6.0,1.94,0
TXN000058,54.32,9,11,2,2.7,1.5,0.93,0
TXN000059,3345.67,18,1,6,401.2,367.8,9.23,1
TXN000060,98.76,12,15,0,4.8,2.9,0.98,0
TXN000061,145.23,3,10,5,6.3,4.0,1.29,0
TXN000062,87.65,8,18,3,4.5,2.7,0.88,0
TXN000063,56.78,15,14,1,2.8,1.6,0.89,0
TXN000064,2234.56,19,4,4,289.3,256.1,7.92,1
TXN000065,123.45,4,12,2,5.6,3.4,1.16,0
TXN000066,76.54,10,16,0,3.8,2.2,0.82,0
TXN000067,234.12,7,9,5,8.9,5.9,1.88,0
TXN000068,89.12,13,13,3,4.4,2.6,0.91,0
TXN000069,1923.45,17,2,6,278.4,245.6,7.67,1
TXN000070,45.32,2,11,1,2.6,1.5,0.95,0
TXN000071,156.78,11,15,4,6.7,4.3,1.34,0
TXN000072,98.76,5,10,2,4.3,2.5,0.97,0
TXN000073,67.89,14,18,0,3.5,2.0,0.80,0
TXN000074,2567.89,20,3,5,312.8,278.9,8.34,1
TXN000075,123.45,8,14,3,5.8,3.6,1.18,0
TXN000076,54.21,6,12,1,2.9,1.7,0.92,0
TXN000077,234.56,12,16,4,9.5,6.3,1.93,0
TXN000078,87.65,9,9,2,4.6,2.8,0.87,0
TXN000079,3012.34,16,1,6,378.5,345.2,9.01,1
TXN000080,145.23,15,13,0,6.4,4.1,1.27,0
TXN000081,76.54,3,11,5,3.7,2.1,0.83,0
TXN000082,198.76,10,17,3,8.8,5.8,1.69,0
TXN000083,56.78,7,15,1,2.8,1.6,0.90,0
TXN000084,2345.67,18,4,4,298.6,265.3,7.89,1
TXN000085,89.12,4,10,2,4.2,2.5,0.88,0
TXN000086,123.45,13,14,0,5.7,3.5,1.20,0
TXN000087,67.89,2,12,5,3.4,2.0,0.79,0
TXN000088,234.12,11,16,3,9.3,6.2,1.91,0
TXN000089,1789.23,19,2,6,256.7,223.4,7.56,1
TXN000090,45.67,8,9,1,2.7,1.5,0.94,0
TXN000091,156.78,5,13,4,6.6,4.3,1.31,0
TXN000092,98.76,14,11,2,4.4,2.6,0.96,0
TXN000093,87.65,6,18,0,4.1,2.4,0.86,0
TXN000094,2678.90,17,3,5,323.4,289.7,8.45,1
TXN000095,123.45,12,15,3,5.9,3.6,1.17,0
TXN000096,54.32,9,10,1,2.8,1.6,0.93,0
TXN000097,234.56,15,14,4,9.2,6.1,1.90,0
TXN000098,76.54,3,12,2,3.6,2.0,0.84,0
TXN000099,3234.56,20,1,6,389.7,356.4,9.34,1
TXN000100,145.23,10,16,0,6.5,4.2,1.28,0
TXN000101,67.89,7,9,5,3.5,2.0,0.81,0
TXN000102,198.76,13,13,3,8.7,5.8,1.68,0
TXN000103,89.12,4,11,1,4.3,2.5,0.89,0
TXN000104,2123.45,16,4,4,278.9,245.6,7.78,1
TXN000105,56.78,2,17,2,2.9,1.7,0.91,0
TXN000106,123.45,11,15,0,5.8,3.5,1.19,0
TXN000107,98.76,8,10,5,4.5,2.7,0.97,0
TXN000108,234.12,5,14,3,9.4,6.2,1.92,0
TXN000109,1956.78,18,2,6,267.8,234.5,7.67,1
TXN000110,45.32,14,12,1,2.7,1.5,0.95,0
TXN000111,156.78,6,16,4,6.7,4.3,1.33,0
TXN000112,87.65,12,9,2,4.4,2.6,0.88,0
TXN000113,76.54,9,13,0,3.7,2.1,0.82,0
TXN000114,2456.78,19,3,5,301.2,267.8,8.23,1
TXN000115,123.45,15,11,3,5.9,3.6,1.18,0
TXN000116,67.89,3,18,1,3.5,2.0,0.80,0
TXN000117,234.56,10,15,4,9.3,6.1,1.91,0
TXN000118,54.21,7,10,2,2.8,1.6,0.92,0
TXN000119,3123.45,17,1,6,378.4,345.1,9.12,1
TXN000120,89.12,13,14,0,4.3,2.5,0.90,0
TXN000121,145.23,4,12,5,6.4,4.1,1.27,0
TXN000122,98.76,2,16,3,4.5,2.7,0.96,0
TXN000123,56.78,11,9,1,2.9,1.7,0.89,0
TXN000124,2234.56,20,4,4,289.5,256.2,7.89,1
TXN000125,123.45,8,13,2,5.8,3.5,1.17,0
TXN000126,76.54,5,11,0,3.6,2.0,0.83,0
TXN000127,234.12,14,17,5,9.1,6.0,1.89,0
TXN000128,87.65,6,15,3,4.2,2.5,0.87,0
TXN000129,1834.23,16,2,6,256.9,223.6,7.56,1
TXN000130,45.67,12,10,1,2.7,1.5,0.94,0
TXN000131,156.78,9,14,4,6.6,4.3,1.32,0
TXN000132,98.76,15,12,2,4.4,2.6,0.97,0
