transaction_id,customer_id,product_id,amount,transaction_date
TXN-100001,CUST-101,PROD-5001,1250.50,2024-01-15 10:30:00
TXN-100002,CUST-9991,PROD-5002,850.00,2024-01-15 11:45:00
TXN-100003,CUST-102,PROD-5003,2340.75,2024-01-15 14:20:00
TXN-100004,CUST-103,PROD-99991,1575.25,2024-01-16 09:15:00
TXN-100005,CUST-104,PROD-5004,890.00,2024-01-16 10:45:00
TXN-100006,CUST-105,PROD-5005,3250.50,2024-01-16 13:30:00
TXN-100007,CUST-9992,PROD-5006,1120.00,2024-01-17 08:00:00
TXN-100008,CUST-106,PROD-5007,4567.89,2024-01-17 11:20:00
TXN-100009,CUST-107,PROD-99992,675.30,2024-01-17 15:45:00
TXN-100010,CUST-108,PROD-5008,2890.00,2024-01-18 09:30:00
TXN-100001,CUST-101,PROD-5001,1250.50,2024-01-15 10:30:00
TXN-100011,CUST-109,PROD-5009,1450.75,2024-01-18 12:00:00
TXN-100012,CUST-9993,PROD-5010,980.50,2024-01-18 14:15:00
TXN-100013,CUST-110,PROD-5011,3675.00,2024-01-19 10:30:00
TXN-100014,CUST-111,PROD-99993,1234.56,2024-01-19 13:45:00
TXN-100015,CUST-112,PROD-5012,2100.00,2024-01-19 16:20:00
TXN-100016,CUST-9994,PROD-5013,1567.80,2024-01-20 08:30:00
TXN-100017,CUST-113,PROD-5014,4250.25,2024-01-20 11:00:00
TXN-100018,CUST-114,PROD-99994,890.90,2024-01-20 14:30:00
TXN-100019,CUST-115,PROD-5015,3120.00,2024-01-21 09:00:00
TXN-100020,CUST-116,PROD-5016,1780.50,2024-01-21 12:15:00
TXN-100008,CUST-106,PROD-5007,4567.89,2024-01-17 11:20:00
TXN-100021,CUST-9995,PROD-5017,2450.00,2024-01-21 15:30:00
TXN-100022,CUST-117,PROD-5018,1340.75,2024-01-22 08:45:00
TXN-100023,CUST-118,PROD-99995,975.25,2024-01-22 11:30:00
TXN-100024,CUST-119,PROD-5019,3890.00,2024-01-22 14:00:00
TXN-100025,CUST-120,PROD-5020,2670.50,2024-01-23 09:15:00
TXN-100026,CUST-9996,PROD-5021,1125.00,2024-01-23 12:45:00
TXN-100027,CUST-121,PROD-5022,4123.45,2024-01-23 15:20:00
TXN-100028,CUST-122,PROD-99996,1567.80,2024-01-24 08:00:00
TXN-100029,CUST-123,PROD-5023,2234.50,2024-01-24 10:30:00
TXN-100030,CUST-124,PROD-5024,3456.75,2024-01-24 13:15:00
TXN-100013,CUST-110,PROD-5011,3675.00,2024-01-19 10:30:00
TXN-100031,CUST-9997,PROD-5025,1890.00,2024-01-25 09:00:00
TXN-100032,CUST-125,PROD-5026,2567.30,2024-01-25 11:45:00
TXN-100033,CUST-126,PROD-99997,890.50,2024-01-25 14:30:00
TXN-100034,CUST-127,PROD-5027,4890.00,2024-01-26 08:30:00
TXN-100035,CUST-128,PROD-5028,1678.90,2024-01-26 11:00:00
TXN-100036,CUST-9998,PROD-5029,2345.60,2024-01-26 13:45:00
TXN-100037,CUST-129,PROD-5030,3120.75,2024-01-27 09:30:00
TXN-100038,CUST-130,PROD-99998,1456.80,2024-01-27 12:00:00
TXN-100039,CUST-131,PROD-5001,2780.50,2024-01-27 15:15:00
TXN-100040,CUST-132,PROD-5002,1234.00,2024-01-28 08:45:00
TXN-100017,CUST-113,PROD-5014,4250.25,2024-01-20 11:00:00
TXN-100041,CUST-9999,PROD-5003,3567.89,2024-01-28 11:30:00
TXN-100042,CUST-133,PROD-5004,2890.00,2024-01-28 14:00:00
TXN-100043,CUST-134,PROD-99999,1123.45,2024-01-29 09:00:00
TXN-100044,CUST-135,PROD-5005,4456.70,2024-01-29 11:45:00
TXN-100045,CUST-136,PROD-5006,1890.50,2024-01-29 14:30:00
TXN-100046,CUST-10001,PROD-5007,2678.90,2024-01-30 08:15:00
TXN-100047,CUST-137,PROD-5008,3234.56,2024-01-30 11:00:00
TXN-100048,CUST-138,PROD-99991,1567.80,2024-01-30 13:45:00
TXN-100049,CUST-139,PROD-5009,2145.00,2024-01-31 09:30:00
TXN-100050,CUST-140,PROD-5010,3890.75,2024-01-31 12:15:00
TXN-100027,CUST-121,PROD-5022,4123.45,2024-01-23 15:20:00
TXN-100051,CUST-10002,PROD-5011,1456.30,2024-01-31 15:00:00
TXN-100052,CUST-141,PROD-5012,2567.80,2024-02-01 08:30:00
TXN-100053,CUST-142,PROD-99992,3123.45,2024-02-01 11:15:00
TXN-100054,CUST-143,PROD-5013,1890.00,2024-02-01 14:00:00
TXN-100055,CUST-144,PROD-5014,4234.50,2024-02-02 09:00:00
TXN-100056,CUST-10003,PROD-5015,2678.90,2024-02-02 11:45:00
TXN-100057,CUST-145,PROD-5016,1234.75,2024-02-02 14:30:00
TXN-100058,CUST-146,PROD-99993,3456.80,2024-02-03 08:45:00
TXN-100059,CUST-147,PROD-5017,2890.50,2024-02-03 11:30:00
TXN-100060,CUST-148,PROD-5018,1567.25,2024-02-03 14:15:00
TXN-100034,CUST-127,PROD-5027,4890.00,2024-01-26 08:30:00
TXN-100061,CUST-10004,PROD-5019,4123.00,2024-02-04 09:00:00
TXN-100062,CUST-149,PROD-5020,2345.60,2024-02-04 11:45:00
TXN-100063,CUST-150,PROD-99994,1678.90,2024-02-04 14:30:00
TXN-100064,CUST-151,PROD-5021,3234.50,2024-02-05 08:15:00
TXN-100065,CUST-152,PROD-5022,2890.75,2024-02-05 11:00:00
TXN-100066,CUST-10005,PROD-5023,1456.80,2024-02-05 13:45:00
TXN-100067,CUST-153,PROD-5024,4567.30,2024-02-06 09:30:00
TXN-100068,CUST-154,PROD-99995,2123.45,2024-02-06 12:15:00
TXN-100069,CUST-155,PROD-5025,3678.90,2024-02-06 15:00:00
TXN-100070,CUST-156,PROD-5026,1890.50,2024-02-07 08:30:00
TXN-100044,CUST-135,PROD-5005,4456.70,2024-01-29 11:45:00
TXN-100071,CUST-10006,PROD-5027,2567.80,2024-02-07 11:15:00
TXN-100072,CUST-157,PROD-5028,3234.00,2024-02-07 14:00:00
TXN-100073,CUST-158,PROD-99996,1456.75,2024-02-08 09:00:00
TXN-100074,CUST-159,PROD-5029,4890.25,2024-02-08 11:45:00
TXN-100075,CUST-160,PROD-5030,2678.50,2024-02-08 14:30:00
TXN-100076,CUST-10007,PROD-5001,1234.80,2024-02-09 08:45:00
TXN-100077,CUST-161,PROD-5002,3567.90,2024-02-09 11:30:00
TXN-100078,CUST-162,PROD-99997,2123.45,2024-02-09 14:15:00
TXN-100079,CUST-163,PROD-5003,1890.00,2024-02-10 09:00:00
TXN-100080,CUST-164,PROD-5004,4234.50,2024-02-10 11:45:00
TXN-100055,CUST-144,PROD-5014,4234.50,2024-02-02 09:00:00
TXN-100081,CUST-10008,PROD-5005,2567.75,2024-02-10 14:30:00
TXN-100082,CUST-165,PROD-5006,3456.80,2024-02-11 08:15:00
TXN-100083,CUST-166,PROD-99998,1678.90,2024-02-11 11:00:00
TXN-100084,CUST-167,PROD-5007,2890.50,2024-02-11 13:45:00
TXN-100085,CUST-168,PROD-5008,4123.25,2024-02-12 09:30:00
TXN-100086,CUST-10009,PROD-5009,1567.80,2024-02-12 12:15:00
TXN-100087,CUST-169,PROD-5010,3234.60,2024-02-12 15:00:00
TXN-100088,CUST-170,PROD-99999,2345.50,2024-02-13 08:30:00
TXN-100089,CUST-171,PROD-5011,1890.75,2024-02-13 11:15:00
TXN-100090,CUST-172,PROD-5012,4567.80,2024-02-13 14:00:00
TXN-100067,CUST-153,PROD-5024,4567.30,2024-02-06 09:30:00
TXN-100091,CUST-10010,PROD-5013,2678.90,2024-02-14 09:00:00
TXN-100092,CUST-173,PROD-5014,3456.50,2024-02-14 11:45:00
TXN-100093,CUST-174,PROD-99991,1234.75,2024-02-14 14:30:00
TXN-100094,CUST-175,PROD-5015,2890.00,2024-02-15 08:45:00
TXN-100095,CUST-176,PROD-5016,4123.45,2024-02-15 11:30:00
TXN-100096,CUST-10011,PROD-5017,1567.80,2024-02-15 14:15:00
TXN-100097,CUST-177,PROD-5018,3234.50,2024-02-16 09:00:00
