transaction_id,product_id,quantity,amount
1,234,15,1245.50
2,45,8,450.75
3,167,22,1890.99
4,123,5,320.00
5,5678,12,475.50
6,89,18,890.25
7,341,7,215.80
8,456,33,2145.60
9,12,9,567.40
10,278,14,1023.90
11,5234,3,89.99
12,401,21,1567.30
13,88,11,678.20
14,5901,6,234.50
15,145,19,1456.70
16,223,4,198.40
17,367,27,2234.80
18,91,13,812.60
19,489,16,1389.50
20,5432,8,445.75
21,156,10,723.90
22,334,25,1978.40
23,5123,7,356.20
24,78,17,1134.80
25,412,9,589.30
26,5789,11,667.40
27,201,23,1823.60
28,445,6,412.90
29,112,20,1567.20
30,5567,4,198.50
31,289,12,934.70
32,356,28,2345.90
33,5234,5,267.80
34,134,15,1123.40
35,478,8,623.50
36,5901,13,789.60
37,67,19,1456.30
38,298,7,534.20
39,423,24,1989.70
40,5678,10,712.40
41,189,16,1278.90
42,312,11,845.60
43,5432,9,567.80
44,256,22,1734.50
45,401,6,389.70
46,5123,14,923.40
47,98,18,1389.20
48,367,5,312.60
49,5789,21,1645.80
50,145,8,623.90
51,289,26,2123.70
52,5567,7,445.30
53,234,17,1334.60
54,412,12,934.80
55,5901,4,234.90
56,78,20,1567.40
57,334,9,678.50
58,5234,15,1123.70
59,167,11,845.20
60,445,23,1834.90
61,5678,6,412.60
62,123,19,1478.30
63,278,8,623.70
64,5432,16,1267.80
65,356,13,1012.40
66,5123,10,734.90
67,201,24,1923.60
68,5789,5,312.50
69,89,21,1645.70
70,412,7,534.80
71,5567,18,1389.40
72,156,14,1089.20
73,298,9,678.90
74,5901,22,1734.60
75,67,6,412.30
76,401,17,1334.80
77,5234,11,845.50
78,234,25,1978.90
79,478,8,623.40
80,5678,19,1478.60
81,112,4,267.70
82,334,15,1156.80
83,5432,12,934.90
84,189,23,1834.70
85,367,7,534.60
86,5123,20,1567.30
87,145,9,678.70
88,5789,16,1267.90
89,289,6,412.80
90,5567,21,1645.90
91,78,13,1012.60
92,423,10,734.50
93,5901,24,1923.80
94,256,5,312.70
95,5234,18,1389.60
96,312,8,623.80
97,5678,22,1734.40
98,98,14,1089.50
99,5432,7,534.90
100,201,19,1478.70
101,134,3,198.60
102,5123,15,1156.90
103,367,11,845.70
104,5789,25,1978.60
105,412,6,412.90
106,5567,17,1334.90
107,289,9,678.80
108,5901,21,1645.60
109,156,12,934.70
110,5234,4,267.90
111,234,20,1567.50
112,5678,8,623.60
113,445,23,1834.80
114,5432,14,1089.70
115,78,7,534.70
116,5123,19,1478.80
117,334,10,734.60
118,5789,24,1923.90
119,167,5,312.80
120,5567,16,1267.70
121,401,13,1012.80
122,5901,22,1734.70
123,89,6,412.70
124,5234,18,1389.70
125,278,9,678.60
126,5678,25,1978.70
127,123,11,845.80
128,5432,4,267.80
129,356,21,1645.80
130,5123,8,623.90
131,201,17,1334.70
132,5789,12,934.60
133,298,23,1834.90
134,5567,7,534.80
135,67,20,1567.60
136,5901,14,1089.80
137,412,5,312.90
138,5234,19,1478.90
139,234,10,734.70
140,5678,24,1923.70
141,478,6,412.50
142,5432,16,1267.60
143,145,13,1012.90
144,5123,22,1734.80
145,289,8,623.50
146,5789,18,1389.80
147,334,9,678.40
148,5567,25,1978.80
149,156,11,845.90
150,5901,4,267.70
151,401,21,1645.90
152,5234,7,534.60
153,78,17,1334.60
154,5678,12,934.80
155,367,23,1834.60
156,5432,5,312.60
157,189,20,1567.70
158,5123,14,1089.90
159,256,6,412.40
160,5789,19,1478.60
161,112,10,734.80
162,5567,24,1923.60
163,423,8,623.70
164,5901,16,1267.80
165,234,13,1012.70
166,5234,22,1734.90
167,298,9,678.30
168,5678,18,1389.90
169,134,25,1978.90
170,5432,11,845.60
171,67,4,267.60
172,5123,21,1645.70
173,312,7,534.50
174,5789,17,1334.80
175,201,12,934.90
176,5567,23,1834.70
177,445,5,312.70
178,5901,20,1567.80
179,89,14,1089.60
180,5234,6,412.60
181,278,19,1478.70
182,5678,10,734.90
183,356,24,1923.80
184,5432,8,623.80
185,167,16,1267.90
186,5123,13,1012.60
187,401,22,1734.60
188,5789,9,678.50
189,234,18,1389.70
190,5567,25,1978.70
191,78,11,845.70
192,5901,4,267.80
193,412,21,1645.80
194,5234,7,534.70
195,145,17,1334.90
196,5678,12,934.70
197,289,23,1834.80
198,5432,5,312.80
199,334,20,1567.90
200,5123,14,1089.70
201,156,6,412.80
202,5789,19,1478.80
203,478,10,734.60
204,5567,24,1923.90
205,67,8,623.90
206,5901,16,1267.70
207,298,13,1012.80
208,5234,22,1734.70
209,201,9,678.70
210,5678,18,1389.60
211,367,25,1978.60
212,5432,11,845.80
213,123,4,267.90
214,5123,21,1645.90
215,256,7,534.80
216,5789,17,1334.70
217,89,12,934.80
218,5567,23,1834.90
219,401,5,312.90
220,5901,20,1567.70
221,234,14,1089.80
222,5234,6,412.90
223,112,19,1478.90
224,5678,10,734.70
225,334,24,1923.70
226,5432,8,623.60
227,278,16,1267.60
228,5123,13,1012.90
229,445,22,1734.80
230,5789,9,678.60
231,156,18,1389.80
232,5567,25,1978.80
233,78,11,845.90
234,5901,4,267.70
235,289,21,1645.60
236,5234,7,534.90
237,201,17,1334.60
238,5678,12,934.90
239,412,23,1834.60
240,5432,5,312.50
241,167,20,1567.60
242,5123,14,1089.90
243,67,6,412.70
244,5789,19,1478.50
245,356,10,734.80
246,5567,24,1923.50
247,298,8,623.70
248,5901,16,1267.50
249,234,13,1012.70
250,5234,22,1734.90
251,145,9,678.80
252,5678,18,1389.90
253,401,25,1978.90
254,5432,11,845.50
255,189,4,267.80
256,5123,21,1645.70
257,78,7,534.60
258,5789,17,1334.80
259,334,12,934.60
260,5567,23,1834.70
261,256,5,312.60
262,5901,20,1567.50
263,89,14,1089.50
264,5234,6,412.50
265,423,19,1478.60
266,5678,10,734.90
267,112,24,1923.80
268,5432,8,623.80
269,278,16,1267.80
270,5123,13,1012.50
271,367,22,1734.50
272,5789,9,678.90
273,201,18,1389.60
274,5567,25,1978.50
275,445,11,845.60
276,5901,4,267.90
277,234,21,1645.80
278,5234,7,534.70
279,156,17,1334.90
280,5678,12,934.70
281,298,23,1834.80
282,5432,5,312.70
283,78,20,1567.40
284,5123,14,1089.60
285,289,6,412.60
286,5789,19,1478.70
287,67,10,734.50
288,5567,24,1923.60
289,412,8,623.50
290,5901,16,1267.90
291,134,13,1012.60
292,5234,22,1734.60
293,167,9,678.70
294,5678,18,1389.70
295,401,25,1978.70
296,5432,11,845.70
297,356,4,267.60
298,5123,21,1645.60
299,145,7,534.80
300,5789,17,1334.60
301,234,12,934.80
302,5567,23,1834.60
303,89,5,312.80
304,5901,20,1567.80
305,278,14,1089.70
306,5234,6,412.70
307,334,19,1478.80
308,5678,10,734.60
309,201,24,1923.90
310,5432,8,623.90
311,156,16,1267.70
312,5123,13,1012.70
313,478,22,1734.70
314,5789,9,678.80
315,67,18,1389.80
316,5567,25,1978.80
317,298,11,845.80
318,5901,4,267.80
319,256,21,1645.90
320,5234,7,534.90
321,112,17,1334.70
322,5678,12,934.90
323,401,23,1834.90
324,5432,5,312.90
325,289,20,1567.90
326,5123,14,1089.80
327,78,6,412.80
328,5789,19,1478.90
