account_id,account_name,region
ACC001,Acme Corporation,North
ACC002,Smith Enterprises,East
ACC003,Global Trading LLC,West
ACC004,Johnson Industries,South
ACC005,Metro Financial Group,Central
ACC006,Sunrise Technologies,Northeast
ACC007,Pacific Ventures,West
ACC008,Northern Logistics,North
ACC009,Eastern Solutions,East
ACC010,Westfield Manufacturing,West
ACC011,Southern Holdings,South
ACC012,Central Commerce,Central
ACC013,Atlas Imports,Northeast
ACC014,Pioneer Resources,Southwest
ACC015,Quantum Systems,North
ACC016,Heritage Traders,East
ACC017,Coastal Enterprises,West
ACC018,Midwest Distribution,Central
ACC019,Apex Innovations,South
ACC020,Horizon Partners,Northeast
ACC021,Summit Industries,North
ACC022,Valley Services,West
ACC023,Delta Corporation,South
ACC024,Crown Holdings,East
ACC025,Prime Logistics,Central
ACC026,Sterling Solutions,Northeast
ACC027,Phoenix Trading,Southwest
ACC028,Alpine Group,North
ACC029,Riverside Inc,East
ACC030,Mountain Ventures,West
ACC031,Lakeside Enterprises,Central
ACC032,Cascade Systems,Northwest
ACC033,Frontier Industries,Southwest
ACC034,Gateway Corporation,Central
ACC035,Liberty Partners,Northeast
ACC036,United Distributors,North
ACC037,Precision Manufacturing,East
ACC038,Infinity Solutions,West
ACC039,Velocity Logistics,South
ACC040,Nexus Technologies,Central
ACC041,Empire Trading,Northeast
ACC042,Titan Industries,North
ACC043,Omega Services,East
ACC044,Genesis Partners,West
ACC045,Eclipse Holdings,South
ACC046,Meridian Group,Central
ACC047,Zenith Corporation,Northeast
ACC048,Apex Distribution,Southwest
ACC049,Pinnacle Enterprises,North
ACC050,Prism Solutions,East
ACC051,Vertex Industries,West
ACC052,Catalyst Trading,South
ACC053,Matrix Corporation,Central
ACC054,Fusion Partners,Northeast
ACC055,Spark Innovations,North
ACC056,Beacon Services,East
ACC057,Compass Logistics,West
ACC058,Anchor Holdings,South
ACC059,Voyager Enterprises,Central
ACC060,Keystone Industries,Northeast
