transaction_id,account_id,amount,timestamp
TXN001,ACC015,234.50,2024-01-15 10:23:45
TXN002,ACC087,1250.00,2024-01-15 11:45:22
TXN003,ACC023,89.99,2024-01-15 12:10:33
TXN004,ACC042,567.80,2024-01-15 13:22:11
TXN005,ACC091,3450.25,2024-01-15 14:35:50
TXN006,ACC008,125.00,2024-01-15 15:48:33
TXN007,ACC073,890.50,2024-01-15 16:12:45
TXN008,ACC034,2100.00,2024-01-15 17:25:18
TXN009,ACC095,456.75,2024-01-15 18:40:22
TXN010,ACC019,678.90,2024-01-15 19:55:10
TXN011,ACC081,1500.00,2024-01-16 08:15:30
TXN012,ACC047,234.60,2024-01-16 09:20:45
TXN013,ACC028,890.25,2024-01-16 10:35:55
TXN014,ACC069,3200.00,2024-01-16 11:42:20
TXN015,ACC012,145.80,2024-01-16 12:50:35
TXN016,ACC093,567.40,2024-01-16 13:18:50
TXN017,ACC055,2340.75,2024-01-16 14:25:15
TXN018,ACC038,890.00,2024-01-16 15:38:40
TXN019,ACC076,1250.50,2024-01-16 16:42:25
TXN020,ACC021,456.90,2024-01-16 17:55:10
TXN021,ACC088,678.25,2024-01-17 08:10:20
TXN022,ACC044,3450.00,2024-01-17 09:22:35
TXN023,ACC007,125.75,2024-01-17 10:35:50
TXN024,ACC063,890.60,2024-01-17 11:48:15
TXN025,ACC031,2100.25,2024-01-17 12:55:30
TXN026,ACC097,456.80,2024-01-17 13:18:45
TXN027,ACC052,678.50,2024-01-17 14:25:20
TXN028,ACC016,1500.75,2024-01-17 15:38:35
TXN029,ACC084,234.90,2024-01-17 16:42:50
TXN030,ACC040,890.40,2024-01-17 17:55:15
TXN031,ACC072,3200.50,2024-01-18 08:12:30
TXN032,ACC025,145.60,2024-01-18 09:25:45
TXN033,ACC092,567.85,2024-01-18 10:38:20
TXN034,ACC049,2340.00,2024-01-18 11:48:35
TXN035,ACC011,890.75,2024-01-18 12:55:50
TXN036,ACC079,1250.25,2024-01-18 13:18:15
TXN037,ACC036,456.60,2024-01-18 14:25:30
TXN038,ACC068,678.90,2024-01-18 15:38:45
TXN039,ACC029,3450.50,2024-01-18 16:42:20
TXN040,ACC095,125.80,2024-01-18 17:55:35
TXN041,ACC053,890.20,2024-01-19 08:10:50
TXN042,ACC014,2100.75,2024-01-19 09:22:15
TXN043,ACC086,456.40,2024-01-19 10:35:30
TXN044,ACC043,678.65,2024-01-19 11:48:45
TXN045,ACC075,1500.50,2024-01-19 12:55:20
TXN046,ACC022,234.85,2024-01-19 13:18:35
TXN047,ACC090,890.10,2024-01-19 14:25:50
TXN048,ACC058,3200.25,2024-01-19 15:38:15
TXN049,ACC006,145.90,2024-01-19 16:42:30
TXN050,ACC071,567.70,2024-01-19 17:55:45
TXN051,ACC033,2340.50,2024-01-20 08:12:20
TXN052,ACC098,890.80,2024-01-20 09:25:35
TXN053,ACC046,1250.75,2024-01-20 10:38:50
TXN054,ACC018,456.25,2024-01-20 11:48:15
TXN055,ACC082,678.40,2024-01-20 12:55:30
TXN056,ACC051,3450.75,2024-01-20 13:18:45
TXN057,ACC009,125.60,2024-01-20 14:25:20
TXN058,ACC077,890.95,2024-01-20 15:38:35
TXN059,ACC039,2100.50,2024-01-20 16:42:50
TXN060,ACC064,456.70,2024-01-20 17:55:15
TXN061,ACC027,678.20,2024-01-21 08:10:30
TXN062,ACC094,1500.25,2024-01-21 09:22:45
TXN063,ACC054,234.75,2024-01-21 10:35:20
TXN064,ACC013,890.55,2024-01-21 11:48:35
TXN065,ACC089,3200.75,2024-01-21 12:55:50
TXN066,ACC041,145.40,2024-01-21 13:18:15
TXN067,ACC070,567.95,2024-01-21 14:25:30
TXN068,ACC032,2340.25,2024-01-21 15:38:45
TXN069,ACC099,890.30,2024-01-21 16:42:20
TXN070,ACC056,1250.50,2024-01-21 17:55:35
TXN071,ACC020,456.55,2024-01-22 08:10:50
TXN072,ACC085,678.75,2024-01-22 09:22:15
TXN073,ACC048,3450.25,2024-01-22 10:35:30
TXN074,ACC005,125.95,2024-01-22 11:48:45
TXN075,ACC074,890.65,2024-01-22 12:55:20
TXN076,ACC037,2100.25,2024-01-22 13:18:35
TXN077,ACC067,456.85,2024-01-22 14:25:50
TXN078,ACC026,678.35,2024-01-22 15:38:15
TXN079,ACC096,1500.75,2024-01-22 16:42:30
