store_id,store_name,city,state
1,Store 1,New York,NY
2,Store 2,Los Angeles,CA
3,Store 3,Chicago,IL
4,Store 4,Houston,TX
5,Store 5,Phoenix,AZ
6,Store 6,Philadelphia,PA
7,Store 7,San Antonio,TX
8,Store 8,San Diego,CA
9,Store 9,Dallas,TX
10,Store 10,San Jose,CA
11,Store 11,Austin,TX
12,Store 12,Jacksonville,FL
13,Store 13,Fort Worth,TX
14,Store 14,Columbus,OH
15,Store 15,Charlotte,NC
16,Store 16,San Francisco,CA
17,Store 17,Indianapolis,IN
18,Store 18,Seattle,WA
19,Store 19,Denver,CO
20,Store 20,Washington,DC
21,Store 21,Boston,MA
22,Store 22,El Paso,TX
23,Store 23,Nashville,TN
24,Store 24,Detroit,MI
25,Store 25,Oklahoma City,OK
26,Store 26,Portland,OR
27,Store 27,Las Vegas,NV
28,Store 28,Memphis,TN
29,Store 29,Louisville,KY
30,Store 30,Baltimore,MD
31,Store 31,Milwaukee,WI
32,Store 32,Albuquerque,NM
33,Store 33,Tucson,AZ
34,Store 34,Fresno,CA
35,Store 35,Mesa,AZ
36,Store 36,Sacramento,CA
37,Store 37,Atlanta,GA
38,Store 38,Kansas City,MO
39,Store 39,Colorado Springs,CO
40,Store 40,Miami,FL
41,Store 41,Raleigh,NC
42,Store 42,Omaha,NE
43,Store 43,Long Beach,CA
44,Store 44,Virginia Beach,VA
45,Store 45,Oakland,CA
46,Store 46,Minneapolis,MN
47,Store 47,Tulsa,OK
48,Store 48,Tampa,FL
49,Store 49,Arlington,TX
50,Store 50,New Orleans,LA
