transaction_id,customer_id,product_id,store_id,amount,timestamp
1,234,45,12,125.50,2024-01-15 10:30:00
2,456,123,8,234.75,2024-01-15 11:45:22
3,89,67,23,89.99,2024-01-15 12:10:15
4,312,189,5,456.20,2024-01-15 13:20:45
5,145,34,19,67.80,2024-01-15 14:05:30
6,478,156,42,199.50,2024-01-15 15:30:18
7,267,78,31,345.00,2024-01-15 16:15:42
8,391,12,7,78.25,2024-01-15 17:22:55
9,123,145,16,289.90,2024-01-15 18:40:12
10,495,92,48,412.35,2024-01-15 19:55:28
11,56,167,9,156.70,2024-01-16 08:12:33
12,422,43,29,223.45,2024-01-16 09:25:17
13,189,115,14,98.60,2024-01-16 10:38:50
14,334,88,36,367.80,2024-01-16 11:42:05
15,278,196,21,134.25,2024-01-16 12:55:40
16,467,54,3,445.90,2024-01-16 13:18:22
17,98,178,44,76.55,2024-01-16 14:32:48
18,356,29,11,298.70,2024-01-16 15:47:15
19,201,132,27,189.40,2024-01-16 16:58:33
20,445,71,38,321.15,2024-01-16 17:12:59
21,167,149,6,254.80,2024-01-17 08:22:41
22,389,22,49,112.30,2024-01-17 09:35:26
23,72,184,15,398.65,2024-01-17 10:48:19
24,428,95,32,167.90,2024-01-17 11:59:54
25,254,61,18,276.45,2024-01-17 12:14:37
26,491,138,25,89.75,2024-01-17 13:28:11
27,136,107,40,423.20,2024-01-17 14:41:48
28,368,176,2,145.55,2024-01-17 15:53:22
29,213,48,46,312.85,2024-01-17 16:07:59
30,482,119,13,198.40,2024-01-18 08:19:15
31,91,83,28,267.95,2024-01-18 09:33:42
32,347,159,34,134.70,2024-01-18 10:46:28
33,229,37,10,389.50,2024-01-18 11:58:03
34,456,126,45,223.15,2024-01-18 12:11:49
35,178,94,20,156.80,2024-01-18 13:24:36
36,412,168,37,445.25,2024-01-18 14:37:12
37,305,52,4,98.90,2024-01-18 15:49:58
38,489,141,47,367.60,2024-01-18 16:02:44
39,124,76,22,234.35,2024-01-18 17:15:31
40,361,193,30,178.70,2024-01-19 08:27:17
41,237,65,17,298.95,2024-01-19 09:40:53
42,475,152,41,112.50,2024-01-19 10:53:29
43,149,28,8,423.80,2024-01-19 11:06:15
44,394,104,33,189.25,2024-01-19 12:19:01
45,268,187,26,256.60,2024-01-19 13:31:47
46,483,41,50,334.95,2024-01-19 14:44:33
47,102,129,12,145.30,2024-01-19 15:57:19
48,376,58,39,478.75,2024-01-19 16:10:05
49,221,173,5,201.40,2024-01-19 17:22:51
50,458,85,24,289.85,2024-01-20 08:35:37
51,195,162,43,167.20,2024-01-20 09:48:23
52,429,19,11,398.55,2024-01-20 10:01:09
53,314,111,35,123.90,2024-01-20 11:13:55
54,467,199,16,456.25,2024-01-20 12:26:41
55,88,74,29,234.60,2024-01-20 13:39:27
56,352,146,7,178.95,2024-01-20 14:52:13
57,246,31,48,312.30,2024-01-20 15:04:59
58,491,118,19,89.65,2024-01-20 16:17:45
59,169,192,36,423.00,2024-01-21 08:30:31
60,403,56,1,156.35,2024-01-21 09:43:17
61,279,135,44,267.70,2024-01-21 10:56:03
62,486,23,21,198.05,2024-01-21 11:08:49
63,117,108,38,345.40,2024-01-21 12:21:35
64,371,181,9,112.75,2024-01-21 13:34:21
65,255,69,32,489.10,2024-01-21 14:47:07
66,442,154,25,223.45,2024-01-21 15:59:53
67,183,46,49,167.80,2024-01-21 16:12:39
68,418,123,14,398.15,2024-01-21 17:25:25
69,326,91,40,134.50,2024-01-22 08:38:11
70,499,176,6,456.85,2024-01-22 09:50:57
71,154,62,27,189.20,2024-01-22 10:03:43
72,387,149,46,278.55,2024-01-22 11:16:29
73,271,34,18,112.90,2024-01-22 12:29:15
74,463,127,33,423.25,2024-01-22 13:42:01
75,108,195,13,156.60,2024-01-22 14:54:47
76,344,51,42,298.95,2024-01-22 15:07:33
77,228,140,3,223.30,2024-01-22 16:20:19
78,479,86,50,367.65,2024-01-22 17:33:05
79,162,169,22,134.00,2024-01-23 08:45:51
80,396,38,37,478.35,2024-01-23 09:58:37
81,283,114,10,189.70,2024-01-23 10:11:23
82,471,198,45,256.05,2024-01-23 11:24:09
83,139,72,20,112.40,2024-01-23 12:36:55
84,365,158,34,423.75,2024-01-23 13:49:41
85,251,27,15,167.10,2024-01-23 14:02:27
86,488,106,41,345.45,2024-01-23 15:15:13
87,176,183,8,201.80,2024-01-23 16:27:59
88,422,59,28,289.15,2024-01-23 17:40:45
89,307,145,47,156.50,2024-01-24 08:53:31
90,495,21,12,434.85,2024-01-24 09:06:17
91,131,97,35,198.20,2024-01-24 10:19:03
92,359,172,5,267.55,2024-01-24 11:31:49
93,243,44,26,123.90,2024-01-24 12:44:35
94,476,131,49,398.25,2024-01-24 13:57:21
95,185,79,17,234.60,2024-01-24 14:10:07
96,413,164,39,178.95,2024-01-24 15:22:53
97,298,52,9,312.30,2024-01-24 16:35:39
98,487,120,31,89.65,2024-01-24 17:48:25
99,122,188,23,423.00,2024-01-24 18:01:11
100,374,68,43,156.35,2024-01-24 19:13:57
