transaction_id,customer_id,amount,category,timestamp
1000,2341,156.78,Electronics,2023-03-15 14:23:11
1001,892,45.99,Clothing,2023-03-15 14:45:22
1002,4521,23.50,Food,2023-03-15 15:01:33
1003,1234,89.99,Books,2023-03-15 15:30:44
1004,3456,199.99,Sports,2023-03-15 16:12:55
1005,4782,312.45,Electronics,2023-01-02 09:15:30
1006,1523,78.90,Clothing,2023-01-02 10:22:45
1007,3891,56.34,Food,2023-01-02 11:34:12
1008,2456,134.67,Books,2023-01-02 13:45:20
1009,987,445.23,Sports,2023-01-02 14:56:33
1010,3214,89.12,Electronics,2023-01-03 08:12:45
1011,4567,234.56,Clothing,2023-01-03 09:23:11
1012,1890,45.78,Food,2023-01-03 10:34:56
1013,2783,167.89,Books,2023-01-03 11:45:22
1014,4123,556.90,Sports,2023-01-03 12:56:47
1015,1654,423.12,Electronics,2023-01-04 07:11:23
1016,3892,91.45,Clothing,2023-01-04 08:22:34
1017,2145,67.23,Food,2023-01-04 09:33:45
1018,4876,203.78,Books,2023-01-04 10:44:56
1019,1267,678.45,Sports,2023-01-04 11:55:12
1020,3456,145.67,Electronics,2023-01-05 12:15:30
1021,2789,87.34,Clothing,2023-01-05 13:26:41
1022,4123,34.56,Food,2023-01-05 14:37:52
1023,1897,456.78,Books,2023-01-05 15:48:03
1024,3214,289.90,Sports,2023-01-05 16:59:14
1025,4567,567.23,Electronics,2023-01-06 08:10:25
1026,2341,123.45,Clothing,2023-01-06 09:21:36
1027,1523,78.90,Food,2023-01-06 10:32:47
1028,3891,234.12,Books,2023-01-06 11:43:58
1029,4782,890.34,Sports,2023-01-06 12:54:09
1030,2456,345.67,Electronics,2023-01-07 07:05:20
1031,987,156.78,Clothing,2023-01-07 08:16:31
1032,3214,89.12,Food,2023-01-07 09:27:42
1033,4567,567.89,Books,2023-01-07 10:38:53
1034,1890,234.56,Sports,2023-01-07 11:49:04
1035,2783,678.90,Electronics,2023-01-08 12:00:15
1036,4123,123.45,Clothing,2023-01-08 13:11:26
1037,1654,45.67,Food,2023-01-08 14:22:37
1038,3892,789.12,Books,2023-01-08 15:33:48
1039,2145,345.89,Sports,2023-01-08 16:44:59
1040,4876,456.78,Electronics,2023-01-09 08:55:10
1041,1267,234.56,Clothing,2023-01-09 09:06:21
1042,3456,123.45,Food,2023-01-09 10:17:32
1043,2789,890.67,Books,2023-01-09 11:28:43
1044,4123,567.89,Sports,2023-01-09 12:39:54
1045,1897,345.12,Electronics,2023-01-10 13:50:05
1046,3214,234.56,Clothing,2023-01-10 14:01:16
1047,4567,156.78,Food,2023-01-10 15:12:27
1048,2341,678.90,Books,2023-01-10 16:23:38
1049,1523,445.23,Sports,2023-01-10 17:34:49
1050,3891,234.67,Electronics,2023-01-11 07:45:00
1051,4782,567.89,Clothing,2023-01-11 08:56:11
1052,2456,123.45,Food,2023-01-11 09:07:22
1053,987,789.12,Books,2023-01-11 10:18:33
1054,3214,345.67,Sports,2023-01-11 11:29:44
1055,4567,456.89,Electronics,2023-01-12 12:40:55
1056,1890,234.12,Clothing,2023-01-12 13:52:06
1057,2783,678.45,Food,2023-01-12 14:03:17
1058,4123,123.78,Books,2023-01-12 15:14:28
1059,1654,567.90,Sports,2023-01-12 16:25:39
1060,3892,345.23,Electronics,2023-01-13 08:36:50
1061,2145,234.56,Clothing,2023-01-13 09:48:01
1062,4876,789.89,Food,2023-01-13 10:59:12
1063,1267,456.12,Books,2023-01-13 11:10:23
1064,3456,123.67,Sports,2023-01-13 12:21:34
1065,2789,678.90,Electronics,2023-01-14 13:32:45
1066,4123,234.45,Clothing,2023-01-14 14:43:56
1067,1897,567.78,Food,2023-01-14 15:55:07
1068,3214,345.89,Books,2023-01-14 16:06:18
1069,4567,890.12,Sports,2023-01-14 17:17:29
1070,2341,456.34,Electronics,2023-01-15 07:28:40
1071,1523,234.67,Clothing,2023-01-15 08:39:51
1072,3891,123.90,Food,2023-01-15 09:51:02
1073,4782,789.23,Books,2023-01-15 10:02:13
1074,2456,567.56,Sports,2023-01-15 11:13:24
