id,timestamp,temperature,pressure,status
1,1523,72.5,1015.3,active
1,1847,68.2,1022.1,active
1,2341,75.3,1018.7,active
1,3102,70.1,1025.4,active
1,4523,73.8,1012.9,active
2,1205,69.4,1019.8,active
2,1956,71.2,1028.3,active
2,2678,74.6,1021.5,warning
2,3445,68.9,1016.2,active
2,4801,72.3,1030.1,active
5,1334,67.8,1014.6,active
5,2109,70.5,1019.4,active
5,2887,73.1,1023.7,active
5,3654,69.7,1017.8,active
5,4392,71.9,1026.5,active
10,1456,76.2,1011.3,active
10,2234,68.5,1020.9,active
10,3012,72.8,1015.1,active
10,3789,70.3,1022.6,active
10,4567,74.5,1018.4,warning
15,1678,69.1,1024.2,active
15,2456,71.7,1019.5,active
15,3234,73.4,1013.8,active
15,4012,68.6,1027.3,active
15,4789,70.9,1021.7,active
20,1123,72.6,1016.9,active
20,1901,69.8,1023.4,active
20,2679,71.4,1018.2,active
20,3457,73.9,1014.5,active
20,4235,68.3,1029.8,active
50,1267,75.1,1012.7,active
50,2045,70.6,1020.3,active
50,2823,72.2,1017.6,active
50,3601,69.4,1025.9,warning
50,4379,71.8,1019.1,active
100,1389,68.7,1022.8,active
100,2167,73.5,1015.4,active
100,2945,70.2,1021.6,active
100,3723,72.9,1018.9,active
100,4501,69.5,1026.2,active
150,1512,74.3,1013.5,active
150,2290,68.9,1024.7,active
150,3068,71.6,1017.3,active
150,3846,73.1,1020.5,active
150,4624,69.8,1028.1,active
200,1634,70.4,1019.2,active
200,2412,72.7,1014.8,active
200,3190,68.5,1023.6,active
200,3968,71.2,1016.4,warning
200,4746,73.8,1025.3,active
500,1756,69.2,1021.9,active
500,2534,74.6,1015.7,active
500,3312,70.8,1022.4,active
500,4090,72.4,1018.6,active
500,4868,68.1,1027.8,active
1000,1089,71.5,1020.1,active
1000,1867,73.2,1014.3,active
1000,2645,69.7,1023.9,active
1000,3423,72.1,1017.5,active
1000,4201,70.3,1026.7,active
1500,1211,68.4,1019.6,active
1500,1989,74.9,1013.2,active
1500,2767,71.1,1021.8,active
1500,3545,69.6,1025.4,active
1500,4323,72.8,1018.3,active
2000,1333,70.7,1022.5,active
2000,2111,73.4,1016.1,active
2000,2889,68.2,1024.3,warning
2000,3667,71.9,1019.7,active
2000,4445,69.4,1027.2,active
3000,1455,72.3,1015.9,active
3000,2233,70.1,1023.1,active
3000,3011,74.7,1017.4,active
3000,3789,68.8,1026.6,active
3000,4567,71.6,1020.8,active
4000,1577,69.5,1019.3,active
4000,2355,73.1,1014.6,active
4000,3133,70.9,1022.7,active
4000,3911,72.5,1016.9,active
4000,4689,68.7,1025.1,active
5000,1699,74.2,1013.8,active
5000,2477,69.3,1021.4,active
5000,3255,71.8,1018.1,active
5000,4033,73.6,1024.9,warning
5000,4811,70.2,1017.7,active
6000,1121,68.6,1026.3,active
6000,1899,72.9,1015.2,active
6000,2677,70.4,1023.8,active
6000,3455,74.1,1019.5,active
6000,4233,69.1,1027.6,active
7000,1243,71.7,1020.4,active
7000,2021,73.3,1014.7,active
7000,2799,68.9,1022.9,active
7000,3577,70.6,1018.5,active
7000,4355,72.2,1026.1,active
8000,1365,69.8,1019.8,active
8000,2143,74.5,1013.4,active
8000,2921,71.3,1021.2,active
8000,3699,73.9,1017.6,warning
8000,4477,68.4,1025.8,active
9000,1487,70.1,1023.5,active
9000,2265,72.6,1016.3,active
9000,3043,69.2,1024.7,active
9000,3821,71.9,1019.9,active
9000,4599,73.7,1015.5,active
10000,1609,68.5,1027.4,active
10000,2387,74.3,1014.1,active
10000,3165,70.8,1022.6,active
10000,3943,72.4,1018.8,active
10000,4721,69.6,1026.9,active
25,1731,71.2,1020.7,active
25,2509,73.8,1015.9,active
25,3287,68.7,1024.1,active
25,4065,70.5,1019.4,active
25,4843,72.1,1027.3,active
75,1053,69.9,1023.2,active
75,1831,74.6,1016.5,active
75,2609,71.4,1021.9,active
75,3387,73.2,1018.7,warning
75,4165,68.3,1026.5,active
125,1175,70.7,1019.1,active
125,1953,72.9,1024.8,active
125,2731,69.4,1017.2,active
125,3509,71.1,1023.4,active
125,4287,73.5,1015.6,active
175,1297,68.8,1026.7,active
175,2075,74.1,1014.9,active
175,2853,70.3,1022.3,active
175,3631,72.7,1019.6,active
175,4409,69.2,1027.9,active
250,1419,71.6,1020.5,active
250,2197,73.4,1015.3,active
250,2975,68.6,1024.6,active
250,3753,70.9,1018.4,active
250,4531,72.3,1026.8,error
350,1541,69.5,1022.1,active
350,2319,74.8,1016.7,active
350,3097,71.2,1023.9,active
350,3875,73.1,1019.2,active
350,4653,68.4,1027.5,active
450,1063,70.6,1021.6,active
450,1841,72.2,1015.8,active
450,2619,69.1,1024.4,active
450,3397,71.8,1018.9,warning
