customer_id,total_amount,transaction_count,avg_amount
101,450.00,3,150.00
102,1250.00,8,156.25
103,325.50,5,65.10
104,875.75,7,125.11
105,2150.00,15,143.33
106,95.50,2,47.75
107,680.00,4,170.00
108,1425.30,10,142.53
109,520.00,8,65.00
110,1850.00,12,154.17
111,275.25,3,91.75
112,1050.00,6,175.00
113,780.50,11,70.95
114,430.00,5,86.00
115,1680.00,14,120.00
116,560.75,7,80.11
117,925.00,9,102.78
118,2100.00,20,105.00
119,385.00,4,96.25
120,1575.50,13,121.19
121,72.00,2,36.00
122,840.00,8,105.00
123,1290.00,10,129.00
124,615.50,6,102.58
125,1950.00,18,108.33
126,285.00,3,95.00
127,1125.00,9,125.00
128,465.75,5,93.15
129,1740.00,16,108.75
130,890.50,11,80.95
