task_id,locality_level,execution_time_ms,data_read_time_ms,executor_id,data_node_id
1,NODE_LOCAL,1200,150,executor-1,node-1
2,ANY,4500,3800,executor-3,node-1
3,PROCESS_LOCAL,950,80,executor-2,node-2
4,RACK_LOCAL,2800,1600,executor-4,node-3
5,ANY,4200,3200,executor-5,node-1
6,NODE_LOCAL,1450,280,executor-1,node-1
7,ANY,3800,2800,executor-6,node-2
8,PROCESS_LOCAL,890,70,executor-3,node-3
9,RACK_LOCAL,2200,1100,executor-7,node-4
10,ANY,4800,3900,executor-8,node-5
11,NODE_LOCAL,1650,320,executor-2,node-2
12,ANY,3500,2400,executor-4,node-3
13,PROCESS_LOCAL,1100,120,executor-5,node-5
14,RACK_LOCAL,3100,1750,executor-1,node-2
15,ANY,4400,3400,executor-6,node-4
16,NODE_LOCAL,1380,240,executor-3,node-3
17,ANY,4700,3700,executor-7,node-1
18,PROCESS_LOCAL,820,60,executor-4,node-4
19,RACK_LOCAL,2600,1400,executor-8,node-5
20,ANY,3900,2900,executor-2,node-3
21,NODE_LOCAL,1550,300,executor-5,node-5
22,ANY,4300,3300,executor-1,node-2
23,PROCESS_LOCAL,980,95,executor-6,node-1
24,RACK_LOCAL,2900,1650,executor-3,node-4
25,ANY,4100,3100,executor-7,node-2
26,NODE_LOCAL,1720,350,executor-8,node-4
27,ANY,3700,2700,executor-4,node-5
28,PROCESS_LOCAL,1050,110,executor-2,node-2
29,RACK_LOCAL,2400,1200,executor-5,node-1
30,ANY,4600,3600,executor-1,node-3
31,NODE_LOCAL,1490,270,executor-6,node-1
32,ANY,3600,2600,executor-3,node-4
33,PROCESS_LOCAL,920,85,executor-7,node-3
34,RACK_LOCAL,3000,1700,executor-8,node-2
35,ANY,4900,3950,executor-4,node-1
36,NODE_LOCAL,1820,380,executor-2,node-2
37,ANY,4000,3000,executor-5,node-5
38,PROCESS_LOCAL,870,75,executor-1,node-1
39,RACK_LOCAL,2700,1500,executor-6,node-3
40,ANY,4200,3200,executor-3,node-4
41,NODE_LOCAL,1590,310,executor-7,node-3
42,ANY,3850,2850,executor-8,node-2
43,PROCESS_LOCAL,1150,140,executor-4,node-4
44,RACK_LOCAL,2850,1600,executor-2,node-5
45,ANY,4350,3350,executor-5,node-1
46,NODE_LOCAL,1410,250,executor-1,node-1
47,ANY,4750,3750,executor-6,node-3
48,PROCESS_LOCAL,940,90,executor-3,node-3
49,RACK_LOCAL,2300,1150,executor-7,node-4
50,ANY,3950,2950,executor-8,node-2
51,NODE_LOCAL,1680,340,executor-4,node-4
52,ANY,4450,3450,executor-2,node-5
53,PROCESS_LOCAL,1020,105,executor-5,node-5
54,RACK_LOCAL,2950,1680,executor-1,node-1
55,ANY,4050,3050,executor-6,node-2
56,NODE_LOCAL,1530,290,executor-3,node-3
57,ANY,3750,2750,executor-7,node-4
58,PROCESS_LOCAL,850,65,executor-8,node-2
59,RACK_LOCAL,2500,1300,executor-4,node-5
60,ANY,4650,3650,executor-2,node-1
61,NODE_LOCAL,1760,360,executor-5,node-5
62,ANY,4150,3150,executor-1,node-3
63,PROCESS_LOCAL,990,100,executor-6,node-1
64,RACK_LOCAL,2650,1450,executor-3,node-2
65,ANY,3800,2800,executor-7,node-4
66,NODE_LOCAL,1470,260,executor-8,node-2
67,ANY,4550,3550,executor-4,node-5
68,PROCESS_LOCAL,1080,125,executor-2,node-2
69,RACK_LOCAL,3050,1720,executor-5,node-3
70,ANY,4250,3250,executor-1,node-1
71,NODE_LOCAL,1630,330,executor-6,node-1
72,ANY,3900,2900,executor-3,node-4
73,PROCESS_LOCAL,910,80,executor-7,node-3
74,RACK_LOCAL,2750,1550,executor-8,node-5
75,ANY,4700,3700,executor-4,node-2
76,NODE_LOCAL,1890,390,executor-2,node-2
77,ANY,4850,3850,executor-5,node-1
78,PROCESS_LOCAL,960,92,executor-1,node-1
79,RACK_LOCAL,2200,1100,executor-6,node-4
80,ANY,3650,2650,executor-3,node-3
81,NODE_LOCAL,1510,285,executor-7,node-3
82,ANY,4400,3400,executor-8,node-5
83,PROCESS_LOCAL,1120,135,executor-4,node-4
84,RACK_LOCAL,2900,1620,executor-2,node-1
85,ANY,4100,3100,executor-5,node-2
86,NODE_LOCAL,1670,345,executor-1,node-1
87,ANY,3550,2550,executor-6,node-4
88,PROCESS_LOCAL,880,70,executor-3,node-3
89,RACK_LOCAL,2450,1250,executor-7,node-2
90,ANY,4950,3980,executor-8,node-5
91,NODE_LOCAL,1440,255,executor-4,node-4
92,ANY,4300,3300,executor-2,node-1
93,PROCESS_LOCAL,1040,115,executor-5,node-5
94,RACK,2800,1580,executor-1,node-3
95,ANY,4600,3600,executor-6,node-2
96,NODE_LOCAL,1780,370,executor-3,node-3
97,ANY,3700,2700,executor-7,node-1
98,PROCESS_LOCAL,930,88,executor-8,node-2
99,RACK_LOCAL,2350,1180,executor-4,node-5
100,ANY,4200,3200,executor-2,node-4
101,NODE_LOCAL,1560,305,executor-5,node-5
102,ANY,4500,3500,executor-1,node-3
103,PROCESS_LOCAL,1000,102,executor-6,node-1
104,RACK_LOCAL,3150,1800,executor-3,node-2
105,ANY,3850,2850,executor-7,node-4
106,NODE_LOCAL,1710,355,executor-8,node-2
107,ANY,4750,3750,executor-4,node-1
108,PROCESS_LOCAL,840,62,executor-2,node-2
109,RACK_LOCAL,2550,1350,executor-5,node-3
110,ANY,4050,3050,executor-1,node-5
111,NODE_LOCAL,1490,275,executor-6,node-1
112,ANY,3950,2950,executor-3,node-2
113,PROCESS_LOCAL,1170,145,executor-7,node-3
114,RACK_LOCAL,2700,1480,executor-8,node-4
115,ANY,4400,3400,executor-4,node-5
116,NODE_LOCAL,1850,385,executor-2,node-2
117,ANY,4900,3900,executor-5,node-1
118,PROCESS_LOCAL,970,96,executor-1,node-1
119,RACK_LOCAL,2250,1120,executor-6,node-3
120,ANY,3600,2600,executor-3,node-4
121,NODE_LOCAL,1610,320,executor-7,node-3
122,ANY,4650,3650,executor-8,node-2
123,PROCESS_LOCAL,900,82,executor-4,node-4
124,RACK_LOCAL,2950,1660,executor-2,node-5
125,ANY,4250,3250,executor-5,node-1
126,NODE_LOCAL,1540,295,executor-1,node-1
127,ANY,3750,2750,executor-6,node-3
128,PROCESS_LOCAL,1090,130,executor-3,node-3
129,RACK_LOCAL,2400,1210,executor-7,node-2
130,ANY,4800,3800,executor-8,node-5
131,NODE_LOCAL,1730,365,executor-4,node-4
132,ANY,4150,3150,executor-2,node-1
133,PROCESS_LOCAL,950,93,executor-5,node-5
134,RACK_LOCAL,3100,1760,executor-1,node-4
135,ANY,3900,2900,executor-6,node-2
136,NODE_LOCAL,1460,265,executor-3,node-3
137,ANY,4550,3550,executor-7,node-5
138,PROCESS_LOCAL,860,68,executor-8,node-2
139,RACK_LOCAL,2600,1420,executor-4,node-1
140,ANY,4350,3350,executor-2,node-3
141,NODE_LOCAL,1940,395,executor-5,node-5
142,ANY,4700,3700,executor-1,node-4
143,PROCESS_LOCAL,1060,118,executor-6,node-1
144,RACK_LOCAL,2850,1590,executor-3,node-3
145,ANY,4000,3000,executor-7,node-2
146,NODE_LOCAL,1580,315,executor-8,node-2
147,ANY,3800,2800,executor-4,node-5
148,PROCESS_LOCAL,920,85,executor-2,node-2
149,RACK_LOCAL,2750,1530,executor-5,node-4
150,ANY,4450,3450,executor-1,node-1
151,NODE_LOCAL,1650,335,executor-6,node-1
152,ANY,4100,3100,executor-3,node-3
153,PROCESS_LOCAL,1130,138,executor-7,node-3
154,RACK_LOCAL,3000,1700,executor-8,node-5
155,ANY,3700,2700,executor-4,node-2
156,NODE_LOCAL,1800,375,executor-2,node-2
157,ANY,4850,3850,executor-5,node-4
158,PROCESS_LOCAL,980,98,executor-1,node-1
159,RACK_LOCAL,2500,1320,executor-6,node-3
160,ANY,4600,3600,executor-3,node-1
161,NODE_LOCAL,1520,288,executor-7,node-3
162,ANY,3650,2650,executor-8,node-5
163,PROCESS_LOCAL,890,76,executor-4,node-4
164,RACK_LOCAL,2650,1460,executor-2,node-2
165,ANY,4950,3950,executor-5,node-1
166,NODE_LOCAL,1690,350,executor-1,node-1
167,ANY,4200,3200,executor-6,node-4
168,PROCESS_LOCAL,1010,108,executor-3,node-3
169,RACK_LOCAL,2900,1640,executor-7,node-5
170,ANY,4300,3300,executor-8,node-2
171,NODE_LOCAL,1420,248,executor-4,node-4
172,ANY,3850,2850,executor-2,node-3
173,PROCESS_LOCAL,940,89,executor-5,node-5
174,RACK_LOCAL,2300,1160,executor-1,node-1
175,ANY,4500,3500,executor-6,node-2
176,NODE_LOCAL,1870,388,executor-3,node-3
177,ANY,4750,3750,executor-7,node-4
178,PROCESS_LOCAL,870,72,executor-8,node-2
179,RACK_LOCAL,3050,1730,executor-4,node-5
180,ANY,4050,3050,executor-2,node-1
181,NODE_LOCAL,1590,308,executor-5,node-5
182,ANY,3950,2950,executor-1,node-3
183,PROCESS_LOCAL,1100,128,executor-6,node-1
184,RACK_LOCAL,2800,1570,executor-3,node-2
185,ANY,4400,3400,executor-7,node-4
186,NODE_LOCAL,1750,360,executor-8,node-2
187,ANY,3550,2550,executor-4,node-5
188,PROCESS_LOCAL,950,94,executor-2,node-2
189,RACK_LOCAL,2450,1280,executor-5,node-3
190,ANY,4650,3650,executor-1,node-1
191,NODE_LOCAL,1480,268,executor-6,node-1
192,ANY,4900,3920,executor-3,node-4
193,PROCESS_LOCAL,910,84,executor-7,node-3
194,RACK_LOCAL,2700,1510,executor-8,node-5
195,ANY,3750,2750,executor-4,node-2
196,NODE_LOCAL,1620,325,executor-2,node-2
197,ANY,4250,3250,executor-5,node-1
198,PROCESS_LOCAL,1020,112,executor-1,node-1
199,RACK_LOCAL,2550,1370,executor-6,node-4
200,ANY,4800,3800,executor-3,node-3
