customer_id,amount,transaction_date
C001,125.50,2023-03-15
C001,89.99,2023-04-22
C001,234.75,2023-06-10
C001,156.30,2023-08-05
C001,92.45,2023-09-18
C001,178.90,2023-11-22
C002,450.00,2023-02-10
C002,120.00,2023-05-18
C002,325.50,2023-07-08
C002,89.75,2023-08-15
C002,267.80,2023-09-22
C002,145.25,2023-10-30
C002,198.60,2023-11-12
C002,310.40,2023-12-05
C003,25.75,2023-01-05
C003,48.90,2023-03-20
C003,156.25,2023-07-14
C004,380.50,2023-01-18
C004,92.30,2023-02-25
C004,215.75,2023-04-10
C004,167.40,2023-05-22
C004,298.90,2023-06-30
C004,134.60,2023-08-12
C004,445.20,2023-09-05
C004,178.85,2023-10-18
C004,256.70,2023-11-28
C004,324.15,2023-12-20
C005,67.80,2023-02-14
C005,143.25,2023-05-09
C005,289.50,2023-08-22
C005,95.70,2023-11-15
C006,412.90,2023-01-12
C006,178.45,2023-02-28
C006,256.30,2023-04-15
C006,134.85,2023-06-07
C006,389.60,2023-07-25
C006,201.75,2023-09-10
C006,167.20,2023-10-22
C006,298.40,2023-12-08
C007,89.50,2023-03-05
C007,234.90,2023-06-18
C007,156.70,2023-09-25
C007,312.45,2023-12-12
C008,145.80,2023-01-22
C008,267.35,2023-03-10
C008,198.60,2023-04-28
C008,324.75,2023-06-15
C008,189.90,2023-08-08
C008,256.40,2023-09-20
C008,378.25,2023-10-30
C008,145.55,2023-12-15
C009,78.90,2023-02-08
C009,234.60,2023-05-12
C009,167.35,2023-08-18
C009,289.70,2023-11-05
C009,124.50,2023-12-22
C010,456.80,2023-01-15
C010,198.45,2023-02-20
C010,312.90,2023-04-05
C010,245.60,2023-05-28
C010,189.25,2023-07-10
C010,367.85,2023-08-22
C010,134.70,2023-09-30
C010,278.50,2023-11-08
C010,412.35,2023-12-18
C011,92.40,2023-01-28
C011,156.75,2023-04-12
C011,234.90,2023-07-22
C011,178.65,2023-10-15
C011,298.30,2023-12-28
C012,345.60,2023-02-05
C012,189.80,2023-03-18
C012,267.45,2023-05-25
C012,423.90,2023-07-12
C012,156.25,2023-08-28
C012,298.70,2023-10-10
C012,212.35,2023-11-20
C013,67.50,2023-01-10
C013,124.85,2023-04-22
C013,289.60,2023-08-05
C013,178.90,2023-11-18
C014,398.75,2023-02-15
C014,167.40,2023-04-08
C014,256.90,2023-06-20
C014,312.55,2023-08-30
C014,189.70,2023-10-12
C014,445.20,2023-12-05
C015,89.90,2023-03-12
C015,234.65,2023-06-25
C015,178.40,2023-09-08
C015,312.85,2023-12-10
C016,156.30,2023-01-25
C016,289.75,2023-03-30
C016,198.50,2023-05-15
C016,367.90,2023-07-28
C016,234.65,2023-09-12
C016,412.80,2023-11-25
C016,178.95,2023-12-30
C017,45.60,2023-02-18
C017,112.85,2023-06-10
C017,267.40,2023-10-05
C018,378.90,2023-01-08
C018,245.60,2023-03-22
C018,189.35,2023-05-30
C018,312.75,2023-07-15
C018,156.90,2023-09-28
C018,423.50,2023-11-10
C018,267.80,2023-12-22
C019,134.70,2023-02-12
C019,298.45,2023-05-08
C019,189.60,2023-08-20
C019,356.90,2023-11-30
C020,489.50,2023-01-20
C020,234.80,2023-03-15
C020,367.25,2023-05-22
C020,198.90,2023-07-08
C020,445.60,2023-08-25
C020,178.35,2023-10-18
C020,312.70,2023-12-12
C021,67.90,2023-03-08
C021,145.65,2023-07-18
C021,289.40,2023-11-22
C022,412.85,2023-02-22
C022,189.50,2023-04-18
C022,298.75,2023-06-28
C022,234.60,2023-08-15
C022,367.90,2023-10-25
C022,156.45,2023-12-08
C023,78.50,2023-01-30
C023,198.75,2023-04-25
C023,312.90,2023-07-30
C023,245.60,2023-10-20
C023,389.45,2023-12-28
C024,256.80,2023-02-28
C024,178.95,2023-05-12
C024,423.60,2023-08-18
C024,167.40,2023-11-08
C025,345.90,2023-01-12
C025,267.45,2023-03-25
C025,198.80,2023-05-30
C025,412.65,2023-07-22
C025,189.30,2023-09-15
C025,298.75,2023-11-28
C025,234.50,2023-12-30
C001,211.60,2023-12-28
C002,278.90,2023-12-22
C003,198.45,2023-12-18
C004,189.75,2023-12-25
C005,312.80,2023-12-20
C006,245.90,2023-12-29
C007,167.85,2023-12-26
C008,289.65,2023-12-28
C009,356.40,2023-12-30
C010,198.75,2023-12-31
C011,134.90,2023-12-29
C012,378.50,2023-12-31
C015,245.80,2023-12-27
C016,312.95,2023-12-31
C018,198.60,2023-12-29
C020,267.45,2023-12-30
C022,423.80,2023-12-31
C023,178.90,2023-12-31
C024,298.65,2023-12-30
C025,356.80,2023-12-31
