transaction_id,product_category,revenue,discount_percent,timestamp
TXN000001,Electronics,1245.50,15.5,2024-01-15T10:30:00
TXN000002,Clothing,89.99,10.0,2024-01-15T11:45:00
TXN000003,Home & Garden,345.75,12.0,2024-01-15T12:15:00
TXN000004,Sports,156.80,8.5,2024-01-15T13:20:00
TXN000005,Books,24.99,5.0,2024-01-15T14:05:00
TXN000006,Toys,67.50,15.0,2024-01-15T15:30:00
TXN000007,Automotive,892.00,10.0,2024-01-15T16:45:00
TXN000008,Beauty,45.99,20.0,2024-01-15T17:10:00
TXN000009,Food,78.50,5.5,2024-01-15T18:25:00
TXN000010,Pet Supplies,32.75,12.5,2024-01-15T19:40:00
TXN000011,Electronics,2150.00,18.0,2024-01-16T09:15:00
TXN000012,Clothing,125.50,12.5,2024-01-16T10:20:00
TXN000013,Home & Garden,567.80,10.0,2024-01-16T11:35:00
TXN000014,Sports,210.00,15.0,2024-01-16T12:50:00
TXN000015,Books,18.75,0.0,2024-01-16T13:05:00
TXN000016,Toys,89.99,20.0,2024-01-16T14:15:00
TXN000017,Automotive,1567.50,12.0,2024-01-16T15:30:00
TXN000018,Beauty,67.80,18.5,2024-01-16T16:45:00
TXN000019,Food,95.25,8.0,2024-01-16T17:55:00
TXN000020,Pet Supplies,45.60,10.0,2024-01-16T18:10:00
TXN000021,Electronics,899.99,20.0,2024-01-17T09:00:00
TXN000022,Clothing,178.90,15.0,2024-01-17T10:10:00
TXN000023,Home & Garden,234.50,8.5,2024-01-17T11:25:00
TXN000024,Sports,345.00,12.0,2024-01-17T12:40:00
TXN000025,Books,31.50,10.0,2024-01-17T13:50:00
TXN000026,Toys,112.75,18.0,2024-01-17T14:05:00
TXN000027,Automotive,2345.00,15.0,2024-01-17T15:20:00
TXN000028,Beauty,89.50,22.0,2024-01-17T16:30:00
TXN000029,Food,56.80,6.5,2024-01-17T17:45:00
TXN000030,Pet Supplies,28.90,8.0,2024-01-17T18:55:00
TXN000031,Electronics,1678.25,12.5,2024-01-18T09:30:00
TXN000032,Clothing,95.75,8.0,2024-01-18T10:45:00
TXN000033,Home & Garden,445.60,15.0,2024-01-18T11:50:00
TXN000034,Sports,189.99,10.5,2024-01-18T12:05:00
TXN000035,Books,42.00,12.0,2024-01-18T13:15:00
TXN000036,Toys,75.50,16.5,2024-01-18T14:25:00
TXN000037,Automotive,987.75,8.5,2024-01-18T15:35:00
TXN000038,Beauty,52.25,25.0,2024-01-18T16:50:00
TXN000039,Food,112.40,10.0,2024-01-18T17:05:00
TXN000040,Pet Supplies,67.80,15.0,2024-01-18T18:20:00
TXN000041,Electronics,3245.00,22.0,2024-01-19T09:20:00
TXN000042,Clothing,156.25,18.0,2024-01-19T10:35:00
TXN000043,Home & Garden,678.90,12.5,2024-01-19T11:45:00
TXN000044,Sports,267.50,14.0,2024-01-19T12:55:00
TXN000045,Books,15.99,5.5,2024-01-19T13:10:00
TXN000046,Toys,134.80,12.0,2024-01-19T14:20:00
TXN000047,Automotive,1234.50,10.5,2024-01-19T15:40:00
TXN000048,Beauty,78.60,15.5,2024-01-19T16:50:00
TXN000049,Food,84.75,7.5,2024-01-19T17:05:00
TXN000050,Pet Supplies,54.20,18.0,2024-01-19T18:15:00
TXN000051,Electronics,1567.80,16.0,2024-01-20T09:10:00
TXN000052,Clothing,210.50,20.0,2024-01-20T10:25:00
TXN000053,Home & Garden,312.40,9.0,2024-01-20T11:40:00
TXN000054,Sports,425.00,16.5,2024-01-20T12:50:00
TXN000055,Books,28.50,8.0,2024-01-20T13:05:00
TXN000056,Toys,98.75,22.5,2024-01-20T14:20:00
TXN000057,Automotive,1789.00,14.0,2024-01-20T15:30:00
TXN000058,Beauty,34.99,12.0,2024-01-20T16:45:00
TXN000059,Food,67.90,9.5,2024-01-20T17:55:00
TXN000060,Pet Supplies,41.75,20.0,2024-01-20T18:10:00
TXN000061,Electronics,945.50,14.5,2024-01-21T09:25:00
TXN000062,Clothing,134.80,12.0,2024-01-21T10:40:00
TXN000063,Home & Garden,523.75,18.0,2024-01-21T11:50:00
TXN000064,Sports,178.60,11.5,2024-01-21T12:05:00
TXN000065,Books,36.25,15.0,2024-01-21T13:20:00
TXN000066,Toys,156.90,10.5,2024-01-21T14:35:00
TXN000067,Automotive,2567.25,20.0,2024-01-21T15:45:00
TXN000068,Beauty,91.50,28.0,2024-01-21T16:55:00
TXN000069,Food,123.45,12.5,2024-01-21T17:10:00
TXN000070,Pet Supplies,38.90,14.0,2024-01-21T18:25:00
TXN000071,Electronics,1834.75,19.0,2024-01-22T09:15:00
TXN000072,Clothing,87.60,16.5,2024-01-22T10:30:00
TXN000073,Home & Garden,789.50,14.5,2024-01-22T11:40:00
TXN000074,Sports,298.75,18.0,2024-01-22T12:55:00
TXN000075,Books,22.80,6.5,2024-01-22T13:10:00
TXN000076,Toys,187.40,25.0,2024-01-22T14:25:00
TXN000077,Automotive,1456.80,11.5,2024-01-22T15:35:00
TXN000078,Beauty,56.75,19.0,2024-01-22T16:50:00
TXN000079,Food,98.60,11.0,2024-01-22T17:05:00
TXN000080,Pet Supplies,49.50,16.5,2024-01-22T18:20:00
TXN000081,Electronics,2789.00,25.0,2024-01-23T09:05:00
TXN000082,Clothing,198.40,22.0,2024-01-23T10:20:00
TXN000083,Home & Garden,456.80,16.0,2024-01-23T11:35:00
TXN000084,Sports,334.90,13.5,2024-01-23T12:45:00
TXN000085,Books,19.95,4.0,2024-01-23T13:55:00
TXN000086,Toys,223.50,14.5,2024-01-23T14:10:00
TXN000087,Automotive,3125.00,18.5,2024-01-23T15:25:00
TXN000088,Beauty,73.25,24.0,2024-01-23T16:40:00
TXN000089,Food,145.80,14.0,2024-01-23T17:50:00
TXN000090,Pet Supplies,62.40,22.5,2024-01-23T18:05:00
TXN000091,Electronics,1123.60,17.5,2024-01-24T09:30:00
TXN000092,Clothing,245.75,25.0,2024-01-24T10:45:00
TXN000093,Home & Garden,634.20,11.5,2024-01-24T11:55:00
TXN000094,Sports,412.50,20.0,2024-01-24T12:10:00
TXN000095,Books,45.60,18.0,2024-01-24T13:25:00
TXN000096,Toys,145.80,19.5,2024-01-24T14:40:00
TXN000097,Automotive,1890.50,16.5,2024-01-24T15:50:00
TXN000098,Beauty,105.90,30.0,2024-01-24T16:05:00
TXN000099,Food,87.30,8.5,2024-01-24T17:20:00
TXN000100,Pet Supplies,71.85,25.0,2024-01-24T18:35:00
TXN000101,Electronics,1456.25,21.0,2024-01-25T09:20:00
TXN000102,Clothing,167.50,14.0,2024-01-25T10:35:00
TXN000103,Home & Garden,890.75,20.0,2024-01-25T11:50:00
TXN000104,Sports,523.80,22.5,2024-01-25T12:05:00
TXN000105,Books,33.75,12.5,2024-01-25T13:20:00
TXN000106,Toys,201.60,28.0,2024-01-25T14:30:00
TXN000107,Automotive,2198.75,13.0,2024-01-25T15:45:00
TXN000108,Beauty,62.50,17.5,2024-01-25T16:55:00
TXN000109,Food,134.25,15.5,2024-01-25T17:10:00
TXN000110,Pet Supplies,56.30,19.0,2024-01-25T18:25:00
