transaction_id,customer_id,amount,category,timestamp
TXN001,CUST001,1250.50,electronics,2023-03-15 14:23:11
TXN002,CUST002,45.30,groceries,2023-03-16 09:12:45
TXN003,CUST003,2340.00,travel,2023-01-22 08:45:33
TXN004,CUST001,89.99,dining,2023-02-14 19:30:22
TXN005,CUST004,156.75,clothing,2023-04-05 11:20:15
TXN006,CUST005,3200.00,electronics,2023-05-18 16:45:50
TXN007,CUST002,67.40,groceries,2023-06-23 10:15:30
TXN008,CUST006,1890.25,travel,2023-07-11 07:55:42
TXN009,CUST007,425.60,entertainment,2023-08-02 20:10:18
TXN010,CUST003,78.90,dining,2023-09-15 18:25:55
TXN011,CUST008,1450.00,electronics,2023-10-07 13:40:27
TXN012,CUST004,234.50,healthcare,2023-11-12 09:05:14
TXN013,CUST009,92.30,groceries,2023-12-01 15:50:38
TXN014,CUST010,1675.80,travel,2023-01-30 06:30:45
TXN015,CUST005,54.20,dining,2023-02-28 12:15:20
TXN016,CUST001,3450.00,electronics,2023-03-19 14:55:10
TXN017,CUST011,189.75,clothing,2023-04-22 10:40:33
TXN018,CUST006,43.60,groceries,2023-05-14 08:20:47
TXN019,CUST012,2100.00,travel,2023-06-08 17:35:12
TXN020,CUST007,310.40,entertainment,2023-07-25 21:05:28
TXN021,CUST013,1120.90,electronics,2023-08-17 11:50:55
TXN022,CUST008,76.85,dining,2023-09-03 19:15:40
TXN023,CUST014,4250.00,travel,2023-10-29 07:25:18
TXN024,CUST009,145.30,healthcare,2023-11-20 13:45:22
TXN025,CUST015,58.90,groceries,2023-12-10 09:30:50
TXN026,CUST002,890.50,clothing,2023-01-15 16:10:35
TXN027,CUST010,3890.00,electronics,2023-02-07 14:20:42
TXN028,CUST003,125.60,dining,2023-03-25 18:55:15
TXN029,CUST016,2670.80,travel,2023-04-18 08:40:28
TXN030,CUST011,94.20,groceries,2023-05-30 10:25:50
TXN031,CUST017,1580.00,electronics,2023-06-14 15:15:33
TXN032,CUST004,267.45,entertainment,2023-07-08 20:50:18
TXN033,CUST018,82.70,dining,2023-08-21 12:35:45
TXN034,CUST012,4100.00,travel,2023-09-27 06:15:20
TXN035,CUST019,156.80,healthcare,2023-10-13 09:40:55
TXN036,CUST005,1950.25,electronics,2023-11-05 17:25:10
TXN037,CUST020,73.40,groceries,2023-12-18 11:50:38
TXN038,CUST006,345.90,clothing,2023-01-08 14:05:22
TXN039,CUST013,2890.00,travel,2023-02-19 07:30:47
TXN040,CUST007,118.75,dining,2023-03-31 19:20:15
TXN041,CUST021,1340.60,electronics,2023-04-12 13:45:33
TXN042,CUST014,89.50,groceries,2023-05-24 08:55:28
TXN043,CUST022,3560.00,travel,2023-06-29 16:10:42
TXN044,CUST008,214.30,entertainment,2023-07-15 21:35:55
TXN045,CUST023,67.90,dining,2023-08-06 10:20:18
TXN046,CUST015,1780.50,electronics,2023-09-18 15:45:50
TXN047,CUST024,198.65,healthcare,2023-10-22 09:15:27
TXN048,CUST009,54.80,groceries,2023-11-14 12:50:40
TXN049,CUST025,2450.00,travel,2023-12-03 06:25:12
TXN050,CUST016,432.70,clothing,2023-01-26 17:40:35
TXN051,CUST010,1620.90,electronics,2023-02-11 14:55:20
TXN052,CUST026,96.40,dining,2023-03-17 18:10:48
TXN053,CUST011,3120.00,travel,2023-04-28 08:35:55
TXN054,CUST027,145.85,groceries,2023-05-09 11:20:33
TXN055,CUST017,2230.50,electronics,2023-06-21 16:45:18
TXN056,CUST028,287.90,entertainment,2023-07-04 20:15:42
TXN057,CUST012,71.25,dining,2023-08-16 13:50:27
TXN058,CUST029,4580.00,travel,2023-09-08 07:10:50
TXN059,CUST018,178.60,healthcare,2023-10-19 10:35:15
TXN060,CUST030,1890.75,electronics,2023-11-25 15:20:38
TXN061,CUST019,63.50,groceries,2023-12-12 09:45:22
TXN062,CUST020,567.30,clothing,2023-01-18 16:55:47
TXN063,CUST031,3340.00,travel,2023-02-23 08:20:10
TXN064,CUST021,134.80,dining,2023-03-14 19:40:33
TXN065,CUST032,1470.25,electronics,2023-04-26 12:15:55
TXN066,CUST013,87.95,groceries,2023-05-17 10:50:28
TXN067,CUST033,2780.00,travel,2023-06-12 17:25:42
TXN068,CUST022,245.60,entertainment,2023-07-28 21:45:18
TXN069,CUST034,79.40,dining,2023-08-19 14:10:50
TXN070,CUST014,1950.80,electronics,2023-09-30 08:35:27
TXN071,CUST035,223.45,healthcare,2023-10-11 11:55:40
TXN072,CUST023,56.70,groceries,2023-11-22 15:20:12
TXN073,CUST036,3670.00,travel,2023-12-07 06:45:35
TXN074,CUST015,398.90,clothing,2023-01-12 18:15:48
TXN075,CUST037,1560.50,electronics,2023-02-16 13:40:22
TXN076,CUST024,102.30,dining,2023-03-29 20:05:55
TXN077,CUST038,2950.00,travel,2023-04-20 07:30:18
TXN078,CUST016,167.85,groceries,2023-05-31 09:50:42
TXN079,CUST039,1820.75,electronics,2023-06-25 16:15:27
TXN080,CUST025,312.40,entertainment,2023-07-17 22:35:50
TXN081,CUST040,68.90,dining,2023-08-09 11:55:15
TXN082,CUST026,4230.00,travel,2023-09-21 06:20:38
TXN083,CUST041,189.55,healthcare,2023-10-05 10:45:22
TXN084,CUST017,2140.60,electronics,2023-11-16 17:10:47
TXN085,CUST042,74.20,groceries,2023-12-28 12:35:10
TXN086,CUST027,623.80,clothing,2023-01-24 15:50:33
TXN087,CUST043,3890.00,travel,2023-02-09 08:15:55
TXN088,CUST018,156.70,dining,2023-03-22 19:40:28
TXN089,CUST044,1690.25,electronics,2023-04-14 14:05:42
TXN090,CUST028,91.60,groceries,2023-05-26 10:30:18
TXN091,CUST045,3120.00,travel,2023-06-18 16:55:50
TXN092,CUST019,278.45,entertainment,2023-07-30 21:20:27
TXN093,CUST046,83.75,dining,2023-08-22 13:45:40
TXN094,CUST029,2380.50,electronics,2023-09-13 07:10:12
TXN095,CUST047,201.90,healthcare,2023-10-26 11:35:35
TXN096,CUST020,1740.80,electronics,2023-11-08 18:50:48
TXN097,CUST048,59.30,groceries,2023-12-19 09:15:22
TXN098,CUST030,4890.00,travel,2023-01-05 06:40:55
TXN099,CUST049,445.60,clothing,2023-02-17 17:05:18
TXN100,CUST021,1580.75,electronics,2023-03-11 12:30:42
TXN101,CUST050,124.85,dining,2023-04-23 20:55:27
TXN102,CUST031,2670.00,travel,2023-05-15 08:20:50
TXN103,CUST051,178.40,groceries,2023-06-07 10:45:15
TXN104,CUST022,1920.50,electronics,2023-07-19 15:10:38
TXN105,CUST052,334.70,entertainment,2023-08-11 22:35:22
TXN106,CUST032,72.95,dining,2023-09-24 14:55:47
TXN107,CUST053,3450.00,travel,2023-10-16 07:20:10
TXN108,CUST023,212.60,healthcare,2023-11-28 11:45:33
TXN109,CUST054,1670.25,electronics,2023-12-09 16:10:55
TXN110,CUST033,65.80,groceries,2023-01-20 09:35:28
TXN111,CUST055,789.90,clothing,2023-02-12 18:50:42
TXN112,CUST024,4120.00,travel,2023-03-06 06:15:18
TXN113,CUST056,167.45,dining,2023-04-17 19:40:50
TXN114,CUST034,1840.60,electronics,2023-05-29 13:05:27
TXN115,CUST057,98.70,groceries,2023-06-20 10:30:40
TXN116,CUST025,2890.00,travel,2023-07-12 17:55:12
TXN117,CUST058,289.35,entertainment,2023-08-04 21:20:35
TXN118,CUST035,76.50,dining,2023-09-16 12:45:48
TXN119,CUST059,2230.75,electronics,2023-10-08 08:10:22
TXN120,CUST026,234.90,healthcare,2023-11-19 11:35:55
TXN121,CUST060,1590.50,electronics,2023-12-02 15:50:18
TXN122,CUST036,58.40,groceries,2023-01-14 09:15:42
TXN123,CUST061,3780.00,travel,2023-02-25 06:40:27
TXN124,CUST027,512.60,clothing,2023-03-18 17:05:50
TXN125,CUST062,1720.80,electronics,2023-04-09 14:30:15
TXN126,CUST037,143.25,dining,2023-05-21 20:55:38
TXN127,CUST063,3210.00,travel,2023-06-13 07:20:22
TXN128,CUST028,189.75,groceries,2023-07-05 10:45:47
TXN129,CUST064,1980.50,electronics,2023-08-27 16:10:10
TXN130,CUST038,356.90,entertainment,2023-09-19 22:35:33
TXN131,CUST065,81.60,dining,2023-10-01 13:55:55
TXN132,CUST029,4560.00,travel,2023-11-13 06:20:28
TXN133,CUST066,223.45,healthcare,2023-12-25 11:45:42
TXN134,CUST039,1650.75,electronics,2023-01-07 18:10:18
