formula_name,solve_time_ms,array_operations,quantifier_count,variable_count
formula_001,12500,450,15,120
formula_002,850,25,8,45
formula_003,8200,380,22,95
formula_004,2300,120,30,180
formula_005,6800,340,18,105
formula_006,1200,65,12,80
formula_007,9500,420,25,140
formula_008,450,15,5,35
formula_009,11200,465,28,155
formula_010,3200,150,35,200
formula_011,7500,355,20,110
formula_012,950,40,10,60
formula_013,5800,315,16,95
formula_014,1800,95,25,120
formula_015,10500,440,30,175
formula_016,650,30,7,50
formula_017,8900,395,22,130
formula_018,2100,110,28,165
formula_019,6200,325,19,100
formula_020,1400,75,15,90
formula_021,9800,435,26,145
formula_022,780,35,9,55
formula_023,7200,365,21,115
formula_024,2800,135,32,190
formula_025,11800,475,29,160
formula_026,1100,55,11,70
formula_027,6500,330,17,105
formula_028,480,20,6,40
formula_029,8600,405,24,135
formula_030,3500,160,38,210
formula_031,10200,445,27,150
formula_032,920,45,10,65
formula_033,7800,370,23,125
formula_034,1950,100,26,140
formula_035,9200,410,25,138
formula_036,720,32,8,52
formula_037,6900,345,18,108
formula_038,2400,125,31,185
formula_039,11500,460,28,158
formula_040,1300,70,14,85
formula_041,8100,385,21,128
formula_042,560,22,7,42
formula_043,7600,360,20,118
formula_044,3100,145,36,205
formula_045,10800,455,29,165
formula_046,840,38,9,58
formula_047,6400,320,17,102
formula_048,1650,88,18,95
formula_049,9600,425,26,142
formula_050,980,48,11,68
formula_051,8400,390,23,132
formula_052,2600,130,33,195
formula_053,7100,350,19,112
formula_054,620,28,8,48
formula_055,10900,450,28,155
formula_056,1450,80,16,92
formula_057,6700,335,18,106
formula_058,780,36,9,56
formula_059,9100,415,24,136
formula_060,2200,115,29,170
formula_061,8800,400,22,130
formula_062,1050,52,12,72
formula_063,7400,358,20,116
formula_064,3400,155,37,208
formula_065,11100,458,27,152
formula_066,890,42,10,62
formula_067,6100,318,16,98
formula_068,1750,92,20,105
formula_069,9400,418,25,140
formula_070,520,18,6,38
formula_071,8000,375,21,122
formula_072,2900,140,34,198
formula_073,7900,368,22,120
formula_074,1180,62,13,78
formula_075,10400,448,28,148
formula_076,750,34,9,54
formula_077,6600,328,17,104
formula_078,2050,105,27,155
formula_079,9000,408,24,134
formula_080,1350,73,15,88
formula_081,8500,392,23,128
formula_082,680,30,8,50
formula_083,7300,352,19,114
formula_084,3250,148,35,202
formula_085,11400,462,28,156
formula_086,950,46,11,66
formula_087,6300,322,17,100
formula_088,1880,98,22,115
formula_089,9700,428,26,144
formula_090,820,40,10,60
formula_091,8300,388,22,126
formula_092,2500,128,32,188
formula_093,7700,362,21,118
formula_094,1220,68,14,82
formula_095,10600,452,29,154
formula_096,580,24,7,44
formula_097,6800,338,18,108
formula_098,2300,118,30,175
formula_099,9300,412,25,138
formula_100,1450,78,16,90
formula_101,8700,398,23,130
formula_102,720,32,9,52
formula_103,7000,348,19,110
formula_104,3050,142,36,200
formula_105,10100,442,27,150
formula_106,880,44,10,64
formula_107,6500,332,17,104
formula_108,1980,102,24,125
formula_109,9800,432,26,146
formula_110,650,26,8,46
formula_111,8200,382,22,124
formula_112,2700,132,33,192
formula_113,7500,356,20,116
formula_114,1150,58,13,76
formula_115,11000,456,28,158
formula_116,780,36,9,56
formula_117,6200,324,16,102
formula_118,2150,112,28,168
formula_119,9500,422,25,142
formula_120,920,48,11,68
formula_121,8600,395,23,132
formula_122,590,20,7,40
formula_123,7200,354,19,112
formula_124,3300,152,37,206
formula_125,10700,454,28,152
