ts,sid,fac,m_type,val
15/10/2023 08:00:00,201,F-001,T,22.5
15/10/2023 08:00:00,201,F-001,H,55.3
15/10/2023 08:00:00,201,F-001,P,1013.2
15/10/2023 08:15:00,202,F-001,T,23.1
15/10/2023 08:15:00,202,F-001,H,58.7
15/10/2023 08:15:00,202,F-001,P,1012.8
15/10/2023 08:30:00,SENS_301,F-002,T,21.8
15/10/2023 08:30:00,SENS_301,F-002,H,62.4
15/10/2023 08:30:00,SENS_301,F-002,P,1014.5
15/10/2023 08:45:00,SENS_302,F-002,T,-300
15/10/2023 08:45:00,SENS_302,F-002,H,48.9
15/10/2023 08:45:00,SENS_302,F-002,P,1015.1
20/10/2023 10:30:00,201,F-001,T,24.3
20/10/2023 10:30:00,201,F-001,H,150
20/10/2023 10:30:00,201,F-001,P,1011.7
20/10/2023 10:45:00,202,F-003,T,25.6
20/10/2023 10:45:00,202,F-003,H,45.2
20/10/2023 10:45:00,202,F-003,P,400
25/10/2023 14:20:00,SENS_301,F-002,T,22.9
25/10/2023 14:20:00,SENS_301,F-002,H,67.3
25/10/2023 14:20:00,SENS_301,F-002,P,1016.2
25/10/2023 14:20:00,SENS_301,F-002,T,22.9
25/10/2023 14:20:00,SENS_301,F-002,H,67.3
01/11/2023 09:15:00,SENS_302,F-004,T,20.4
01/11/2023 09:15:00,SENS_302,F-004,H,72.8
01/11/2023 09:15:00,SENS_302,F-004,P,1008.5
05/11/2023 11:00:00,201,F-001,T,23.7
05/11/2023 11:00:00,201,F-001,H,200
05/11/2023 11:00:00,201,F-001,P,1010.3
10/11/2023 13:45:00,202,F-003,T,500
10/11/2023 13:45:00,202,F-003,H,51.6
10/11/2023 13:45:00,202,F-003,P,1012.9
15/11/2023 16:30:00,SENS_301,F-002,T,26.2
15/11/2023 16:30:00,SENS_301,F-002,H,44.1
15/11/2023 16:30:00,SENS_301,F-002,P,1500
20/11/2023 08:00:00,SENS_302,F-004,T,SENSOR_OFFLINE
20/11/2023 08:00:00,SENS_302,F-004,H,68.5
20/11/2023 08:00:00,SENS_302,F-004,P,1014.7
22/11/2023 14:45:30,201,F-001,T,24.8
22/11/2023 14:45:30,201,F-001,H,56.9
22/11/2023 14:45:30,201,F-001,P,1013.6
25/11/2023 10:20:00,202,F-003,T,21.5
25/11/2023 10:20:00,202,F-003,H,-50
25/11/2023 10:20:00,202,F-003,P,1011.2
25/11/2023 10:20:00,202,F-003,T,21.5
25/11/2023 10:20:00,202,F-003,H,-50
01/12/2023 07:30:00,SENS_301,F-002,T,19.3
01/12/2023 07:30:00,SENS_301,F-002,H,74.2
01/12/2023 07:30:00,SENS_301,F-002,P,1009.8
05/12/2023 12:15:00,SENS_302,F-004,T,27.6
05/12/2023 12:15:00,SENS_302,F-004,H,43.7
05/12/2023 12:15:00,SENS_302,F-004,P,1015.4
10/12/2023 15:45:00,201,F-001,T,180
10/12/2023 15:45:00,201,F-001,H,61.3
10/12/2023 15:45:00,201,F-001,P,1012.1
15/12/2023 09:00:00,202,F-003,T,23.4
15/12/2023 09:00:00,202,F-003,H,MAINTENANCE
15/12/2023 09:00:00,202,F-003,P,1010.7
20/12/2023 11:30:00,SENS_301,F-002,T,22.1
20/12/2023 11:30:00,SENS_301,F-002,H,65.8
20/12/2023 11:30:00,SENS_301,F-002,P,1013.9
25/12/2023 14:00:00,SENS_302,F-004,T,25.3
25/12/2023 14:00:00,SENS_302,F-004,H,49.5
25/12/2023 14:00:00,SENS_302,F-004,P,1014.2
25/12/2023 14:00:00,SENS_302,F-004,T,25.3
10/01/2024 08:00:00,201,F-001,T,20.7
10/01/2024 08:00:00,201,F-001,H,70.1
10/01/2024 08:00:00,201,F-001,P,1007.6
15/01/2024 10:30:00,202,F-003,T,24.9
15/01/2024 10:30:00,202,F-003,H,52.4
15/01/2024 10:30:00,202,F-003,P,1011.8
20/01/2024 13:15:00,SENS_301,F-002,T,26.8
20/01/2024 13:15:00,SENS_301,F-002,H,41.6
20/01/2024 13:15:00,SENS_301,F-002,P,1016.3
25/01/2024 16:45:00,SENS_302,F-004,T,18.9
25/01/2024 16:45:00,SENS_302,F-004,H,73.5
25/01/2024 16:45:00,SENS_302,F-004,P,1008.9
01/02/2024 07:00:00,201,F-001,T,21.6
01/02/2024 07:00:00,201,F-001,H,64.7
01/02/2024 07:00:00,201,F-001,P,1010.4
05/02/2024 09:30:00,202,F-003,T,23.8
05/02/2024 09:30:00,202,F-003,H,57.2
05/02/2024 09:30:00,202,F-003,P,1013.5
10/02/2024 12:00:00,SENS_301,F-002,T,25.1
10/02/2024 12:00:00,SENS_301,F-002,H,46.8
10/02/2024 12:00:00,SENS_301,F-002,P,1014.8
15/02/2024 14:30:00,SENS_302,F-004,T,22.3
15/02/2024 14:30:00,SENS_302,F-004,H,69.4
15/02/2024 14:30:00,SENS_302,F-004,P,1012.6
