time_unix,sensor_code,site,measurement_type,measurement_value
1704067200,SN-A01,SITE_1,temperature,22.5
1704067200,SN-A01,SITE_1,humidity,45.2
1704067200,SN-A01,SITE_1,pressure,1013.25
1704070800,SN-A02,SITE_1,temperature,23.1
1704070800,SN-A02,SITE_1,humidity,47.8
1704070800,SN-A02,SITE_1,pressure,1012.5
1704074400,SN-B01,SITE_2,temperature,21.8
1704074400,SN-B01,SITE_2,humidity,52.3
1704074400,SN-B01,SITE_2,pressure,1014.75
1704078000,SN-B02,SITE_2,temperature,-280.5
1704078000,SN-B02,SITE_2,humidity,38.9
1704078000,SN-B02,SITE_2,pressure,1015.2
1704081600,SN-C01,SITE_3,temperature,24.7
1704081600,SN-C01,SITE_3,humidity,125.6
1704081600,SN-C01,SITE_3,pressure,1011.8
1704085200,SN-A01,SITE_1,temperature,22.9
1704085200,SN-A01,SITE_1,humidity,46.1
1704085200,SN-A01,SITE_1,pressure,500.0
1704088800,SN-A02,SITE_1,temperature,N/A
1704088800,SN-A02,SITE_1,humidity,48.5
1704088800,SN-A02,SITE_1,pressure,1013.0
1704092400,SN-B01,SITE_2,temperature,22.3
1704092400,SN-B01,SITE_2,humidity,-5.2
1704092400,SN-B01,SITE_2,pressure,1014.5
1704096000,SN-B02,SITE_2,temperature,23.5
1704096000,SN-B02,SITE_2,humidity,41.7
1704096000,SN-B02,SITE_2,pressure,1015.8
1704099600,SN-C01,SITE_3,temperature,25.2
1704099600,SN-C01,SITE_3,humidity,55.4
1704099600,SN-C01,SITE_3,pressure,1250.0
1704067200,SN-A01,SITE_1,temperature,22.5
1704067200,SN-A01,SITE_1,humidity,45.2
1704067200,SN-A01,SITE_1,pressure,1013.25
1704585600,SN-A01,SITE_1,temperature,ERROR
1704585600,SN-A01,SITE_1,humidity,44.8
1704585600,SN-A01,SITE_1,pressure,1012.3
1704589200,SN-A02,SITE_1,temperature,24.1
1704589200,SN-A02,SITE_1,humidity,50.2
1704589200,SN-A02,SITE_1,pressure,1013.7
1704592800,SN-B01,SITE_2,temperature,220.5
1704592800,SN-B01,SITE_2,humidity,53.6
1704592800,SN-B01,SITE_2,pressure,1014.1
1704596400,SN-B02,SITE_2,temperature,22.7
1704596400,SN-B02,SITE_2,pressure,1015.5
1704070800,SN-A02,SITE_1,temperature,23.1
1704070800,SN-A02,SITE_1,humidity,47.8
1704070800,SN-A02,SITE_1,pressure,1012.5
1705190400,SN-C01,SITE_3,temperature,26.3
1705190400,SN-C01,SITE_3,humidity,58.7
1705190400,SN-C01,SITE_3,pressure,1010.9
1705194000,SN-A01,SITE_1,temperature,23.8
1705194000,SN-A01,SITE_1,humidity,46.9
1705194000,SN-A01,SITE_1,pressure,1012.8
1705197600,SN-A02,SITE_1,temperature,24.5
1705197600,SN-A02,SITE_1,humidity,49.3
1705197600,SN-A02,SITE_1,pressure,450.0
1705201200,SN-B01,SITE_2,temperature,21.9
1705201200,SN-B01,SITE_2,humidity,135.2
1705201200,SN-B01,SITE_2,pressure,1013.9
1705204800,SN-B02,SITE_2,temperature,23.2
1705204800,SN-B02,SITE_2,humidity,42.5
1705204800,SN-B02,SITE_2,pressure,1014.7
1705208400,SN-C01,SITE_3,temperature,25.8
1705208400,SN-C01,SITE_3,humidity,56.1
1705208400,SN-C01,SITE_3,pressure,1011.2
1705796400,SN-A01,SITE_1,temperature,-300.0
1705796400,SN-A01,SITE_1,humidity,45.5
1705796400,SN-A01,SITE_1,pressure,1012.6
1705800000,SN-A02,SITE_1,temperature,23.7
1705800000,SN-A02,SITE_1,humidity,48.9
1705800000,SN-A02,SITE_1,pressure,1013.4
1705194000,SN-A01,SITE_1,temperature,23.8
1705194000,SN-A01,SITE_1,humidity,46.9
1705194000,SN-A01,SITE_1,pressure,1012.8
1709251200,SN-B01,SITE_2,temperature,22.1
1709251200,SN-B01,SITE_2,humidity,51.8
1709251200,SN-B01,SITE_2,pressure,1014.3
1709254800,SN-B02,SITE_2,temperature,23.9
1709254800,SN-B02,SITE_2,humidity,40.6
1709254800,SN-B02,SITE_2,pressure,1015.1
1709258400,SN-C01,SITE_3,temperature,26.1
1709258400,SN-C01,SITE_3,humidity,57.9
1709258400,SN-C01,SITE_3,pressure,1310.5
1709262000,SN-A01,SITE_1,temperature,24.3
1709262000,SN-A01,SITE_1,humidity,47.2
1709262000,SN-A01,SITE_1,pressure,1012.9
1709265600,SN-A02,SITE_1,temperature,250.0
1709265600,SN-A02,SITE_1,humidity,49.7
1709265600,SN-A02,SITE_1,pressure,1013.6
