site_id,temperature,catch_count
1,15.2,12
2,18.5,23
3,14.1,8
4,22.3,35
5,16.7,15
6,19.2,28
7,13.8,7
8,21.5,32
9,17.3,19
10,20.1,29
11,15.9,14
12,18.8,25
13,14.5,9
14,22.8,38
15,16.2,13
16,19.7,27
17,13.2,6
18,21.9,34
19,17.8,21
20,20.5,31
21,15.5,11
22,18.2,22
23,14.8,10
24,22.1,33
25,16.5,16
26,19.5,26
27,13.5,5
28,21.2,30
29,17.5,18
30,20.8,30
31,15.8,13
32,18.9,24
33,14.3,8
34,22.5,36
35,16.9,17
36,19.9,28
37,13.9,7
38,21.7,33
39,17.1,20
40,20.3,29
41,15.3,12
42,18.3,23
43,14.6,9
44,22.9,39
45,16.4,15
46,19.3,26
47,13.4,6
48,21.4,31
49,17.6,19
50,20.6,30
51,15.7,14
52,18.7,24
53,14.2,8
54,22.4,35
55,16.8,16
56,19.8,27
57,13.7,7
58,21.8,34
59,17.4,20
60,20.4,30
61,15.4,11
62,18.4,23
63,14.7,10
64,22.6,37
65,16.6,16
66,19.6,27
67,13.6,6
68,21.6,32
69,17.7,21
70,20.7,31
71,15.6,13
72,18.6,24
73,14.4,9
74,22.7,38
75,16.3,14
76,19.4,26
77,13.3,5
78,21.3,31
79,17.9,22
80,20.9,32
81,15.1,11
82,18.1,22
83,14.9,10
84,23.1,40
85,16.1,14
86,19.1,25
87,13.1,5
88,21.1,30
89,17.2,19
90,20.2,29
91,15.0,10
92,18.0,21
93,14.0,7
94,23.0,39
95,16.0,13
96,19.0,25
97,12.9,4
98,20.9,31
99,17.0,18
100,20.0,28
101,15.4,12
102,18.5,24
103,14.3,8
104,22.2,34
105,16.7,17
106,19.6,27
107,13.8,6
108,21.5,32
109,17.4,20
110,20.4,30
111,15.2,11
112,18.8,25
113,14.5,9
114,22.8,37
115,16.5,15
116,19.3,26
117,13.5,6
118,21.8,33
119,17.8,21
120,20.6,31
121,15.9,14
122,18.2,22
123,14.8,10
124,22.4,35
125,16.2,14
126,19.7,28
127,13.2,5
128,21.2,31
129,17.6,20
130,20.3,29
