job_id,read_pairs,read_length,kmer_size,allocated_memory_gb,cpu_cores,status,peak_memory_gb,peak_stage
JOB_001,15000000,100,25,32,8,success,28.4,chrysalis
JOB_002,25000000,150,27,64,16,success,52.3,butterfly
JOB_003,45000000,100,25,64,16,success,58.7,chrysalis
JOB_004,80000000,150,31,128,24,success,112.5,butterfly
JOB_007,18000000,100,25,32,16,success,29.8,chrysalis
JOB_008,95000000,125,27,128,32,success,118.4,butterfly
JOB_009,150000000,150,31,256,32,success,198.6,butterfly
JOB_010,22000000,100,25,64,8,success,38.2,chrysalis
JOB_012,70000000,100,25,128,16,success,89.3,chrysalis
JOB_014,28000000,75,25,64,8,success,42.5,butterfly
JOB_015,42000000,100,27,64,16,success,55.9,chrysalis
JOB_016,88000000,150,31,128,24,success,115.7,butterfly
JOB_017,130000000,150,27,256,32,success,175.2,butterfly
JOB_018,12000000,75,25,32,8,success,24.6,inchworm
JOB_020,48000000,100,25,64,16,success,61.3,chrysalis
JOB_021,92000000,100,27,128,24,success,108.9,butterfly
JOB_022,160000000,150,31,256,32,success,210.4,butterfly
JOB_023,20000000,100,25,32,8,success,31.2,chrysalis
JOB_024,75000000,125,27,128,24,success,95.8,chrysalis
JOB_026,33000000,100,25,64,16,success,48.7,chrysalis
JOB_028,85000000,125,25,128,24,success,102.3,butterfly
JOB_029,140000000,150,27,256,32,success,185.9,butterfly
JOB_030,16000000,75,25,32,8,success,26.9,chrysalis
JOB_031,38000000,100,25,64,8,success,51.4,chrysalis
JOB_032,72000000,150,31,128,16,success,98.6,butterfly
JOB_033,125000000,125,27,256,24,success,168.3,butterfly
JOB_034,10000000,75,25,32,8,success,20.5,inchworm
JOB_035,52000000,100,27,64,16,success,64.8,chrysalis
JOB_037,115000000,100,25,128,24,success,132.7,butterfly
JOB_038,175000000,150,31,256,32,success,220.8,butterfly
JOB_039,30000000,125,25,64,16,success,45.3,chrysalis
JOB_040,62000000,100,27,128,16,success,78.5,chrysalis
JOB_041,90000000,125,31,128,24,success,119.2,butterfly
JOB_042,155000000,150,27,256,32,success,192.4,butterfly
JOB_044,68000000,125,25,128,16,success,86.7,chrysalis
JOB_046,40000000,100,27,64,16,success,54.2,chrysalis
JOB_047,82000000,100,25,128,24,success,99.8,butterfly
JOB_048,135000000,150,31,256,32,success,181.5,butterfly
JOB_049,19000000,75,25,32,8,success,30.1,chrysalis
JOB_050,78000000,125,27,128,24,success,103.6,butterfly
