Frame 1 | AS_ID: BLAS_001 | Type: BLAS | Operation: BUILD | Change: TOPOLOGY | Memory: 524288 | Vertices: 1024
Frame 1 | AS_ID: BLAS_002 | Type: BLAS | Operation: BUILD | Change: TOPOLOGY | Memory: 1048576 | Vertices: 2048
Frame 1 | AS_ID: BLAS_003 | Type: BLAS | Operation: BUILD | Change: TOPOLOGY | Memory: 262144 | Vertices: 512
Frame 1 | AS_ID: TLAS_001 | Type: TLAS | Operation: BUILD | Change: TOPOLOGY | Memory: 131072 | Vertices: 256
Frame 2 | AS_ID: BLAS_001 | Type: BLAS | Operation: UPDATE | Change: GEOMETRY | Memory: 524288 | Vertices: 1024
Frame 2 | AS_ID: BLAS_002 | Type: BLAS | Operation: UPDATE | Change: GEOMETRY | Memory: 1048576 | Vertices: 2048
Frame 3 | AS_ID: BLAS_001 | Type: BLAS | Operation: BUILD | Change: GEOMETRY | Memory: 524288 | Vertices: 1024
Frame 3 | AS_ID: BLAS_003 | Type: BLAS | Operation: UPDATE | Change: GEOMETRY | Memory: 262144 | Vertices: 512
Frame 4 | AS_ID: BLAS_002 | Type: BLAS | Operation: UPDATE | Change: GEOMETRY | Memory: 1048576 | Vertices: 2048
Frame 4 | AS_ID: TLAS_001 | Type: TLAS | Operation: UPDATE | Change: TRANSFORM | Memory: 131072 | Vertices: 256
Frame 5 | AS_ID: BLAS_001 | Type: BLAS | Operation: UPDATE | Change: GEOMETRY | Memory: 524288 | Vertices: 1024
Frame 5 | AS_ID: BLAS_004 | Type: BLAS | Operation: BUILD | Change: TOPOLOGY | Memory: 2097152 | Vertices: 4096
Frame 6 | AS_ID: BLAS_002 | Type: BLAS | Operation: BUILD | Change: GEOMETRY | Memory: 1048576 | Vertices: 2048
Frame 6 | AS_ID: BLAS_003 | Type: BLAS | Operation: UPDATE | Change: GEOMETRY | Memory: 262144 | Vertices: 512
Frame 7 | AS_ID: BLAS_001 | Type: BLAS | Operation: UPDATE | Change: GEOMETRY | Memory: 524288 | Vertices: 1024
