timestamp,src_ip,dst_ip,src_port,dst_port,protocol,flags,payload_size
1699920010,192.168.1.50,192.168.1.100,52341,443,TCP,SYN,0
1699920011,192.168.1.100,192.168.1.50,443,52341,TCP,SYN|ACK,0
1699920012,192.168.1.50,192.168.1.100,52341,443,TCP,ACK,1024
1699920015,203.0.113.45,192.168.1.100,54001,22,TCP,SYN,0
1699920016,203.0.113.45,192.168.1.100,54002,22,TCP,SYN,0
1699920017,203.0.113.45,192.168.1.100,54003,22,TCP,SYN,0
1699920020,10.0.0.15,192.168.1.101,48322,80,TCP,SYN,0
1699920021,192.168.1.101,10.0.0.15,80,48322,TCP,SYN|ACK,0
1699920022,10.0.0.15,192.168.1.101,48322,80,TCP,ACK,856
1699920025,203.0.113.45,192.168.1.100,54004,22,TCP,SYN,0
1699920026,203.0.113.45,192.168.1.100,54005,22,TCP,SYN,0
1699920027,203.0.113.45,192.168.1.100,54006,22,TCP,SYN,0
1699920030,172.16.0.10,192.168.1.100,51234,3306,TCP,SYN,0
1699920031,192.168.1.100,172.16.0.10,3306,51234,TCP,SYN|ACK,0
1699920032,172.16.0.10,192.168.1.100,51234,3306,TCP,ACK,245
1699920035,203.0.113.45,192.168.1.100,54007,22,TCP,SYN,0
1699920036,203.0.113.45,192.168.1.100,54008,22,TCP,SYN,0
1699920037,203.0.113.45,192.168.1.100,54009,22,TCP,SYN,0
1699920038,203.0.113.45,192.168.1.100,54010,22,TCP,SYN,0
1699920040,192.168.1.75,192.168.1.100,49876,443,TCP,SYN,0
1699920041,192.168.1.100,192.168.1.75,443,49876,TCP,SYN|ACK,0
1699920042,192.168.1.75,192.168.1.100,49876,443,TCP,ACK,1320
1699920045,203.0.113.45,192.168.1.100,54011,22,TCP,SYN,0
1699920046,203.0.113.45,192.168.1.100,54012,22,TCP,SYN,0
1699920047,203.0.113.45,192.168.1.100,54013,22,TCP,SYN,0
1699920050,10.0.0.15,192.168.1.100,48567,8080,TCP,SYN,0
1699920051,192.168.1.100,10.0.0.15,8080,48567,TCP,SYN|ACK,0
1699920052,10.0.0.15,192.168.1.100,48567,8080,TCP,ACK,678
1699920055,203.0.113.45,192.168.1.100,54014,22,TCP,SYN,0
1699920056,203.0.113.45,192.168.1.100,54015,22,TCP,SYN,0
1699920057,203.0.113.45,192.168.1.100,54016,22,TCP,SYN,0
1699920058,203.0.113.45,192.168.1.100,54017,22,TCP,SYN,0
1699920060,192.168.1.50,192.168.1.101,52456,443,TCP,SYN,0
1699920061,192.168.1.101,192.168.1.50,443,52456,TCP,SYN|ACK,0
1699920065,203.0.113.45,192.168.1.100,54018,22,TCP,SYN,0
1699920066,203.0.113.45,192.168.1.100,54019,22,TCP,SYN,0
1699920067,203.0.113.45,192.168.1.100,54020,22,TCP,SYN,0
1699920070,172.16.0.10,192.168.1.101,51345,80,TCP,SYN,0
