feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,label
0.823,0.612,0.431,0.142,-0.287,0.319,-0.156,0.241,-0.092,0.178,1
0.145,0.289,0.523,-0.198,0.267,-0.341,0.128,-0.215,0.356,-0.124,0
1.234,0.456,0.789,0.089,-0.123,0.245,-0.387,0.156,-0.298,0.412,1
0.234,0.123,0.456,-0.267,0.389,-0.145,0.298,-0.356,0.178,-0.089,0
0.912,0.678,0.534,0.312,-0.178,0.256,-0.423,0.189,0.345,-0.267,1
0.345,0.234,0.167,0.145,-0.312,0.287,-0.198,0.423,-0.156,0.289,0
1.123,0.534,0.712,0.289,-0.245,0.178,0.356,-0.287,0.134,-0.398,1
0.456,0.289,0.678,-0.178,0.312,-0.289,0.245,0.167,-0.423,0.198,0
0.734,0.823,0.512,0.198,-0.356,0.289,-0.134,0.312,-0.245,0.167,1
0.178,0.345,0.289,-0.289,0.423,-0.198,0.356,-0.134,0.267,-0.312,0
1.045,0.623,0.489,0.267,-0.189,0.345,-0.278,0.198,0.423,-0.156,1
0.289,0.167,0.512,-0.312,0.278,-0.423,0.189,0.345,-0.198,0.267,0
0.867,0.734,0.623,0.156,-0.267,0.312,-0.189,0.278,0.398,-0.234,1
0.312,0.245,0.423,-0.234,0.356,-0.178,0.267,0.189,-0.312,0.423,0
1.156,0.489,0.734,0.312,-0.423,0.267,-0.345,0.178,0.289,-0.198,1
0.423,0.356,0.289,0.189,-0.278,0.398,-0.267,0.423,-0.189,0.312,0
0.978,0.612,0.567,0.278,-0.198,0.356,-0.312,0.245,0.167,-0.423,1
0.267,0.189,0.378,-0.356,0.289,-0.267,0.423,0.178,-0.345,0.198,0
0.845,0.756,0.489,0.198,-0.312,0.278,-0.423,0.356,0.189,-0.267,1
0.356,0.278,0.312,-0.267,0.423,-0.189,0.298,0.267,-0.398,0.178,0
1.234,0.567,0.623,0.289,-0.356,0.198,0.312,-0.278,0.423,-0.189,1
0.189,0.312,0.423,-0.198,0.267,-0.312,0.356,0.189,-0.267,0.398,0
0.912,0.689,0.534,0.312,-0.289,0.267,-0.198,0.423,0.178,-0.356,1
0.298,0.234,0.389,-0.312,0.398,-0.267,0.189,0.312,-0.423,0.267,0
1.089,0.578,0.712,0.267,-0.423,0.312,-0.289,0.198,0.356,-0.178,1
0.378,0.267,0.312,-0.289,0.356,-0.423,0.267,0.198,-0.312,0.423,0
0.823,0.734,0.612,0.198,-0.267,0.389,-0.312,0.278,0.245,-0.198,1
0.267,0.189,0.456,-0.356,0.312,-0.198,0.423,0.267,-0.289,0.378,0
1.123,0.623,0.489,0.312,-0.198,0.267,-0.423,0.356,0.289,-0.234,1
0.312,0.278,0.389,-0.267,0.423,-0.356,0.198,0.289,-0.178,0.312,0
0.956,0.678,0.567,0.289,-0.312,0.198,0.356,-0.267,0.423,-0.189,1
0.234,0.198,0.367,-0.312,0.289,-0.423,0.267,0.356,-0.198,0.278,0
0.889,0.712,0.623,0.198,-0.356,0.312,-0.289,0.245,0.178,-0.398,1
0.345,0.256,0.312,-0.289,0.398,-0.267,0.423,0.189,-0.312,0.267,0
1.156,0.534,0.689,0.312,-0.267,0.398,-0.198,0.289,0.356,-0.423,1
0.289,0.223,0.423,-0.356,0.267,-0.312,0.398,0.278,-0.189,0.345,0
0.923,0.689,0.545,0.267,-0.423,0.289,-0.356,0.312,0.198,-0.267,1
0.312,0.245,0.378,-0.298,0.356,-0.289,0.267,0.423,-0.198,0.312,0
1.045,0.612,0.634,0.289,-0.312,0.267,0.398,-0.256,0.423,-0.178,1
0.267,0.198,0.389,-0.312,0.423,-0.267,0.289,0.356,-0.423,0.198,0
0.867,0.723,0.589,0.198,-0.289,0.356,-0.312,0.267,0.245,-0.423,1
0.356,0.267,0.312,-0.267,0.398,-0.356,0.423,0.198,-0.289,0.312,0
1.189,0.578,0.612,0.312,-0.356,0.289,-0.423,0.267,0.398,-0.198,1
0.298,0.212,0.434,-0.289,0.312,-0.398,0.267,0.423,-0.178,0.356,0
0.934,0.667,0.556,0.278,-0.312,0.267,0.398,-0.289,0.178,-0.356,1
0.323,0.234,0.367,-0.356,0.289,-0.267,0.423,0.312,-0.398,0.267,0
1.067,0.623,0.589,0.289,-0.423,0.312,-0.267,0.398,0.256,-0.189,1
0.278,0.189,0.398,-0.312,0.356,-0.289,0.267,0.198,-0.423,0.398,0
0.889,0.734,0.612,0.198,-0.267,0.398,-0.356,0.289,0.312,-0.423,1
0.334,0.256,0.345,-0.289,0.423,-0.312,0.398,0.267,-0.198,0.312,0
1.134,0.589,0.645,0.312,-0.398,0.267,-0.289,0.423,0.178,-0.356,1
0.289,0.223,0.412,-0.356,0.298,-0.423,0.312,0.289,-0.267,0.398,0
0.912,0.678,0.578,0.267,-0.312,0.289,0.398,-0.267,0.423,-0.198,1
0.312,0.245,0.378,-0.298,0.423,-0.356,0.267,0.312,-0.289,0.423,0
1.023,0.634,0.612,0.289,-0.267,0.398,-0.312,0.256,0.367,-0.423,1
0.267,0.198,0.389,-0.312,0.356,-0.289,0.423,0.267,-0.398,0.312,0
0.878,0.712,0.623,0.198,-0.356,0.312,-0.289,0.398,0.278,-0.267,1
0.345,0.267,0.334,-0.267,0.398,-0.312,0.289,0.423,-0.178,0.356,0
1.156,0.567,0.689,0.312,-0.423,0.267,0.398,-0.289,0.312,-0.198,1
0.298,0.212,0.423,-0.289,0.312,-0.398,0.356,0.267,-0.312,0.423,0
0.945,0.689,0.567,0.278,-0.312,0.289,-0.423,0.356,0.198,-0.289,1
0.323,0.234,0.356,-0.356,0.423,-0.267,0.312,0.289,-0.423,0.267,0
1.089,0.612,0.623,0.289,-0.356,0.312,-0.267,0.423,0.289,-0.398,1
0.278,0.189,0.389,-0.312,0.267,-0.423,0.398,0.312,-0.198,0.356,0
0.901,0.723,0.589,0.198,-0.289,0.356,-0.312,0.267,0.423,-0.356,1
0.334,0.256,0.367,-0.267,0.398,-0.312,0.423,0.198,-0.289,0.312,0
1.123,0.578,0.645,0.312,-0.423,0.289,-0.356,0.398,0.267,-0.178,1
0.289,0.223,0.398,-0.289,0.312,-0.398,0.267,0.423,-0.356,0.289,0
