fixed_acidity,volatile_acidity,citric_acid,residual_sugar,chlorides,free_sulfur_dioxide,total_sulfur_dioxide,density,pH,sulphates,alcohol,quality
7.4,0.7,0.0,1.9,0.076,11.0,34.0,0.9978,3.51,0.56,9.4,5
7.8,0.88,0.0,2.6,0.098,25.0,67.0,0.9968,3.2,0.68,9.8,5
7.8,0.76,0.04,2.3,0.092,15.0,54.0,0.997,3.26,0.65,9.8,5
11.2,0.28,0.56,1.9,0.075,17.0,60.0,0.998,3.16,0.58,9.8,6
7.4,0.7,0.0,1.9,0.076,11.0,34.0,0.9978,3.51,0.56,9.4,5
7.9,0.6,0.06,1.6,0.069,15.0,59.0,0.9964,3.3,0.46,9.4,5
7.3,0.65,0.0,1.2,0.065,15.0,21.0,0.9946,3.39,0.47,10.0,6
7.8,0.58,0.02,2.0,0.073,9.0,18.0,0.9968,3.36,0.57,9.5,6
7.5,0.5,0.36,6.1,0.071,17.0,102.0,0.9978,3.35,0.8,10.5,6
6.7,0.58,0.08,1.8,0.097,15.0,65.0,0.9959,3.28,0.54,9.2,5
7.5,0.5,0.36,6.1,0.071,17.0,102.0,0.9978,3.35,0.8,10.5,6
5.6,0.85,0.05,1.4,0.045,12.0,88.0,0.9924,3.56,0.82,12.9,8
8.8,0.61,0.14,2.4,0.067,10.0,42.0,0.9969,3.19,0.59,9.5,5
8.8,0.61,0.19,3.9,0.071,10.0,50.0,0.9988,3.3,0.63,10.8,6
7.9,0.32,0.51,1.8,0.341,17.0,109.0,0.9972,3.04,1.08,9.1,6
6.6,0.36,0.29,1.6,0.021,24.0,85.0,0.9935,3.41,0.61,11.7,7
8.3,0.42,0.62,19.25,0.04,41.0,172.0,1.0002,2.98,0.67,9.7,5
7.6,0.41,0.24,1.8,0.08,4.0,11.0,0.9962,3.28,0.59,10.3,6
7.9,0.43,0.21,1.6,0.106,10.0,37.0,0.9966,3.17,0.91,9.5,5
8.5,0.28,0.56,1.8,0.092,35.0,103.0,0.9969,3.3,0.75,10.5,7
8.1,0.56,0.28,1.7,0.368,16.0,56.0,0.9968,3.11,1.28,9.3,5
7.4,0.59,0.08,4.4,0.086,6.0,29.0,0.9974,3.38,0.5,9.0,4
7.9,0.32,0.51,1.8,0.341,17.0,109.0,0.9972,3.04,1.08,9.1,6
8.9,0.22,0.48,1.8,0.077,29.0,60.0,0.9968,3.39,0.53,9.4,6
7.6,0.39,0.31,2.3,0.082,23.0,71.0,0.9982,3.52,0.65,9.7,5
7.9,0.43,0.21,1.6,0.106,10.0,37.0,0.9966,3.17,0.91,9.5,5
7.1,0.71,0.0,1.9,0.08,14.0,35.0,0.9972,3.47,0.55,9.4,5
7.8,0.64,0.0,2.0,0.084,3.0,15.0,0.9978,3.59,0.61,10.8,6
6.7,0.76,0.02,1.8,0.078,11.0,34.0,0.9968,3.48,0.49,9.6,5
6.9,0.4,0.14,2.4,0.085,21.0,40.0,0.9968,3.43,0.63,9.7,6
7.6,0.41,0.24,1.8,0.08,4.0,11.0,0.9962,3.28,0.59,10.3,6
7.9,0.43,0.21,1.6,0.106,10.0,37.0,0.9966,3.17,0.91,9.5,5
8.5,0.48,0.49,2.3,0.102,20.0,95.0,0.9984,3.35,0.74,9.6,5
8.2,0.42,0.49,2.6,0.084,28.0,106.0,0.9976,3.24,0.77,9.6,6
7.4,0.35,0.2,13.9,0.054,23.0,87.0,0.997,3.46,0.49,11.5,6
8.6,0.42,0.39,1.8,0.068,6.0,42.0,0.9972,3.3,0.86,10.0,6
7.4,0.59,0.08,4.4,0.086,6.0,29.0,0.9974,3.38,0.5,9.0,4
7.8,0.61,0.29,1.6,0.114,9.0,29.0,0.9974,3.26,1.56,9.1,5
8.9,0.62,0.18,3.8,0.176,52.0,145.0,0.9986,3.16,0.88,9.2,5
7.6,0.67,0.14,1.5,0.074,25.0,168.0,0.9968,3.05,0.51,9.3,5
7.3,0.45,0.36,5.9,0.074,12.0,87.0,0.9978,3.33,0.83,10.5,6
8.6,0.49,0.28,1.9,0.11,20.0,136.0,0.9972,2.93,1.95,9.9,6
8.3,0.62,0.2,1.8,0.079,22.0,98.0,0.9955,3.26,0.46,10.4,6
6.2,0.66,0.48,1.2,0.029,29.0,75.0,0.9892,3.33,0.39,12.8,8
7.4,0.4,0.24,1.8,0.075,26.0,53.0,0.9966,3.36,0.57,9.4,5
7.5,0.49,0.2,2.6,0.332,6.0,29.0,0.9987,3.21,0.79,9.6,5
6.4,0.36,0.53,2.2,0.23,24.0,87.0,0.9954,3.41,0.61,10.9,6
6.7,0.46,0.24,1.7,0.077,18.0,34.0,0.9948,3.39,0.6,10.6,6
6.4,0.28,0.37,1.3,0.035,41.0,90.0,0.9926,3.44,0.53,11.7,7
6.9,0.36,0.34,4.2,0.018,57.0,119.0,0.9898,3.28,0.36,12.7,7
7.6,0.51,0.15,2.8,0.11,33.0,73.0,0.9955,3.17,0.63,10.2,6
7.9,0.34,0.36,2.0,0.082,35.0,122.0,0.9968,3.31,0.66,9.6,5
8.0,0.59,0.16,1.8,0.065,3.0,16.0,0.9962,3.42,0.92,10.5,6
7.5,0.52,0.16,1.9,0.085,12.0,35.0,0.9968,3.38,0.62,9.9,6
8.4,0.62,0.09,2.2,0.084,11.0,108.0,0.9964,3.15,0.66,9.8,5
8.0,0.62,0.11,2.0,0.094,22.0,123.0,0.9968,3.26,0.57,9.5,5
7.8,0.52,0.25,1.9,0.081,29.0,88.0,0.9972,3.35,0.59,9.6,6
8.2,0.83,0.11,3.4,0.095,9.0,36.0,0.9976,3.23,0.59,9.5,5
7.4,0.63,0.0,1.4,0.095,11.0,26.0,0.9966,3.39,0.48,9.5,5
7.2,0.39,0.44,2.6,0.066,6.0,18.0,0.9948,3.18,0.5,10.9,6
7.5,0.52,0.16,1.9,0.085,12.0,35.0,0.9968,3.38,0.62,9.9,6
11.0,0.42,0.49,2.8,0.084,21.0,95.0,0.9986,3.26,0.77,9.5,6
6.6,0.52,0.04,2.2,0.069,8.0,15.0,0.9956,3.4,0.62,9.4,5
7.7,0.935,0.43,2.2,0.114,22.0,114.0,0.997,3.25,0.73,9.2,5
6.8,0.62,0.08,1.9,0.068,28.0,38.0,0.9954,3.42,0.82,9.5,6
7.7,0.56,0.08,2.3,0.078,17.0,60.0,0.9968,3.36,0.6,9.6,5
8.3,0.65,0.0,2.0,0.083,12.0,48.0,0.9972,3.36,0.53,9.2,5
6.9,0.605,0.12,10.7,0.073,40.0,83.0,0.9993,3.45,0.52,9.4,6
7.5,0.49,0.2,2.6,0.332,6.0,29.0,0.9987,3.21,0.79,9.6,5
7.2,0.49,0.24,2.2,0.064,32.0,98.0,0.9956,3.33,0.54,9.6,6
6.3,0.39,0.16,1.4,0.08,11.0,23.0,0.9955,3.34,0.56,9.3,5
8.1,0.545,0.18,1.9,0.08,20.0,56.0,0.9951,3.05,0.28,10.3,6
8.6,0.42,0.39,1.8,0.068,6.0,42.0,0.9972,3.3,0.86,10.0,6
7.4,0.59,0.08,4.4,0.086,6.0,29.0,0.9974,3.38,0.5,9.0,4
7.7,0.64,0.21,2.2,0.077,32.0,133.0,0.9968,3.27,0.45,9.9,5
8.3,0.42,0.62,19.25,0.04,41.0,172.0,1.0002,2.98,0.67,9.7,5
8.5,0.585,0.18,2.0,0.078,9.0,30.0,0.9966,3.24,0.63,9.7,6
8.1,0.38,0.28,2.1,0.066,13.0,30.0,0.9968,3.23,0.73,9.7,7
7.4,0.59,0.08,4.4,0.086,6.0,29.0,0.9974,3.38,0.5,9.0,4
7.3,0.45,0.36,5.9,0.074,12.0,87.0,0.9978,3.33,0.83,10.5,6
8.6,0.49,0.28,1.9,0.11,20.0,136.0,0.9972,2.93,1.95,9.9,6
6.6,0.6,0.08,1.9,0.068,28.0,38.0,0.9954,3.42,0.82,9.5,6
7.6,0.41,0.24,1.8,0.08,4.0,11.0,0.9962,3.28,0.59,10.3,6
8.8,0.66,0.26,1.7,0.074,4.0,23.0,0.9974,3.39,0.72,10.6,6
6.6,0.52,0.04,2.2,0.069,8.0,15.0,0.9956,3.4,0.62,9.4,5
7.5,0.52,0.16,1.9,0.085,12.0,35.0,0.9968,3.38,0.62,9.9,6
7.0,0.735,0.05,2.0,0.078,13.0,35.0,0.9973,3.47,0.55,9.4,5
7.2,0.725,0.05,4.65,0.086,6.0,29.0,0.9968,3.33,0.5,9.4,5
7.8,0.645,0.0,2.0,0.082,8.0,24.0,0.9964,3.38,0.55,9.6,6
6.2,0.66,0.48,1.2,0.029,29.0,75.0,0.9892,3.33,0.39,12.8,8
7.4,0.62,0.08,1.9,0.076,28.0,54.0,0.9964,3.42,0.82,9.5,6
6.8,0.815,0.0,2.0,0.092,8.0,29.0,0.9974,3.53,0.51,9.3,5
7.2,0.66,0.33,2.5,0.068,34.0,102.0,0.9968,3.32,0.69,9.4,6
6.3,0.55,0.15,1.8,0.077,26.0,35.0,0.9966,3.36,0.57,9.2,5
7.8,0.64,0.0,2.0,0.084,3.0,15.0,0.9978,3.59,0.61,10.8,6
7.3,0.51,0.02,1.8,0.086,20.0,47.0,0.9968,3.44,0.82,9.4,6
7.8,0.61,0.29,1.6,0.114,9.0,29.0,0.9974,3.26,1.56,9.1,5
8.1,0.545,0.18,1.9,0.08,20.0,56.0,0.9951,3.05,0.28,10.3,6
7.2,0.725,0.05,4.65,0.086,6.0,29.0,0.9968,3.33,0.5,9.4,5
7.8,0.58,0.02,2.0,0.073,9.0,18.0,0.9968,3.36,0.57,9.5,6
8.4,0.62,0.09,2.2,0.084,11.0,108.0,0.9964,3.15,0.66,9.8,5
6.2,0.66,0.48,1.2,0.029,29.0,75.0,0.9892,3.33,0.39,12.8,8
7.6,0.67,0.14,1.5,0.074,25.0,168.0,0.9968,3.05,0.51,9.3,5
8.6,0.42,0.39,1.8,0.068,6.0,42.0,0.9972,3.3,0.86,10.0,6
7.4,0.59,0.08,4.4,0.086,6.0,29.0,0.9974,3.38,0.5,9.0,4
7.9,0.43,0.21,1.6,0.106,10.0,37.0,0.9966,3.17,0.91,9.5,5
8.9,0.22,0.48,1.8,0.077,29.0,60.0,0.9968,3.39,0.53,9.4,6
7.6,0.39,0.31,2.3,0.082,23.0,71.0,0.9982,3.52,0.65,9.7,5
7.9,0.43,0.21,1.6,0.106,10.0,37.0,0.9966,3.17,0.91,9.5,5
8.5,0.48,0.49,2.3,0.102,20.0,95.0,0.9984,3.35,0.74,9.6,5
6.8,0.62,0.08,1.9,0.068,28.0,38.0,0.9954,3.42,0.82,9.5,6
7.2,0.39,0.44,2.6,0.066,6.0,18.0,0.9948,3.18,0.5,10.9,6
7.5,0.52,0.16,1.9,0.085,12.0,35.0,0.9968,3.38,0.62,9.9,6
7.0,0.62,0.0,1.8,0.076,11.0,34.0,0.9968,3.48,0.49,9.6,5
7.4,0.35,0.2,13.9,0.054,23.0,87.0,0.997,3.46,0.49,11.5,6
8.8,0.61,0.19,3.9,0.071,10.0,50.0,0.9988,3.3,0.63,10.8,6
7.9,0.32,0.51,1.8,0.341,17.0,109.0,0.9972,3.04,1.08,9.1,6
6.6,0.36,0.29,1.6,0.021,24.0,85.0,0.9935,3.41,0.61,11.7,7
8.3,0.42,0.62,19.25,0.04,41.0,172.0,1.0002,2.98,0.67,9.7,5
7.6,0.41,0.24,1.8,0.08,4.0,11.0,0.9962,3.28,0.59,10.3,6
7.9,0.43,0.21,1.6,0.106,10.0,37.0,0.9966,3.17,0.91,9.5,5
8.5,0.28,0.56,1.8,0.092,35.0,103.0,0.9969,3.3,0.75,10.5,7
8.1,0.56,0.28,1.7,0.368,16.0,56.0,0.9968,3.11,1.28,9.3,5
7.4,0.59,0.08,4.4,0.086,6.0,29.0,0.9974,3.38,0.5,9.0,4
7.9,0.32,0.51,1.8,0.341,17.0,109.0,0.9972,3.04,1.08,9.1,6
8.9,0.22,0.48,1.8,0.077,29.0,60.0,0.9968,3.39,0.53,9.4,6
7.6,0.39,0.31,2.3,0.082,23.0,71.0,0.9982,3.52,0.65,9.7,5
11.3,0.34,0.45,2.0,0.082,6.0,15.0,0.9988,2.94,0.66,9.2,6
8.1,0.38,0.28,2.1,0.066,13.0,30.0,0.9968,3.23,0.73,9.7,7
7.7,0.935,0.43,2.2,0.114,22.0,114.0,0.997,3.25,0.73,9.2,5
8.2,0.83,0.11,3.4,0.095,9.0,36.0,0.9976,3.23,0.59,9.5,5
8.9,0.62,0.18,3.8,0.176,52.0,145.0,0.9986,3.16,0.88,9.2,5
7.6,0.67,0.14,1.5,0.074,25.0,168.0,0.9968,3.05,0.51,9.3,5
7.3,0.45,0.36,5.9,0.074,12.0,87.0,0.9978,3.33,0.83,10.5,6
8.6,0.49,0.28,1.9,0.11,20.0,136.0,0.9972,2.93,1.95,9.9,6
