transaction_id,amount,merchant_category,time_of_day,day_of_week,card_present,international,is_fraud
TXN0001,45.67,5,14,2,1,0,0
TXN0002,125.30,8,9,1,1,0,0
TXN0003,67.89,3,16,3,1,0,0
TXN0004,234.56,12,11,0,0,0,0
TXN0005,89.12,7,18,4,1,0,0
TXN0006,1450.00,15,23,5,0,1,1
TXN0007,56.78,4,13,2,1,0,0
TXN0008,78.90,6,10,1,1,0,0
TXN0009,123.45,9,15,3,1,0,0
TXN0010,345.67,11,12,0,0,0,0
TXN0011,23.45,2,8,4,1,0,0
TXN0012,1890.50,18,2,6,0,1,1
TXN0013,98.76,5,14,2,1,0,0
TXN0014,54.32,3,17,1,1,0,0
TXN0015,167.89,10,11,3,0,0,0
TXN0016,234.56,8,16,0,1,0,0
TXN0017,89.01,7,9,4,1,0,0
TXN0018,2150.00,19,1,5,0,1,1
TXN0019,45.67,4,13,2,1,0,0
TXN0020,123.45,6,10,1,1,0,0
TXN0021,78.90,5,15,3,1,0,0
TXN0022,234.56,9,12,0,0,0,0
TXN0023,56.78,3,8,4,1,0,0
TXN0024,1675.25,16,23,6,0,1,1
TXN0025,89.12,7,14,2,1,0,0
TXN0026,123.45,8,17,1,1,0,0
TXN0027,67.89,4,11,3,1,0,0
TXN0028,345.67,11,16,0,0,0,0
TXN0029,98.76,6,9,4,1,0,0
TXN0030,1950.00,17,3,5,0,1,1
TXN0031,45.67,5,13,2,1,0,0
TXN0032,234.56,10,10,1,0,0,0
TXN0033,78.90,3,15,3,1,0,0
TXN0034,123.45,8,12,0,1,0,0
TXN0035,56.78,7,8,4,1,0,0
TXN0036,2340.80,19,2,6,0,1,1
TXN0037,89.12,4,14,2,1,0,0
TXN0038,167.89,9,17,1,0,0,0
TXN0039,234.56,6,11,3,1,0,0
TXN0040,345.67,11,16,0,0,0,0
TXN0041,98.76,5,9,4,1,0,0
TXN0042,1825.50,15,23,5,0,1,1
TXN0043,45.67,3,13,2,1,0,0
TXN0044,123.45,8,10,1,1,0,0
TXN0045,67.89,7,15,3,1,0,0
TXN0046,234.56,10,12,0,0,0,0
TXN0047,89.01,4,8,4,1,0,0
TXN0048,1560.00,18,1,6,0,1,1
TXN0049,56.78,6,14,2,1,0,0
TXN0050,178.90,9,17,1,0,0,0
TXN0051,234.56,5,11,3,1,0,0
TXN0052,345.67,11,16,0,0,0,0
TXN0053,98.76,3,9,4,1,0,0
TXN0054,2120.75,16,22,5,0,1,1
TXN0055,45.67,8,13,2,1,0,0
TXN0056,123.45,7,10,1,1,0,0
TXN0057,78.90,4,15,3,1,0,0
TXN0058,234.56,10,12,0,0,0,0
TXN0059,56.78,6,8,4,1,0,0
TXN0060,1780.25,17,3,6,0,1,1
TXN0061,89.12,5,14,2,1,0,0
TXN0062,167.89,9,17,1,0,0,0
TXN0063,234.56,3,11,3,1,0,0
TXN0064,345.67,11,16,0,0,0,0
TXN0065,98.76,8,9,4,1,0,0
TXN0066,1995.00,19,2,5,0,1,1
TXN0067,45.67,7,13,2,1,0,0
TXN0068,123.45,4,10,1,1,0,0
TXN0069,67.89,6,15,3,1,0,0
TXN0070,234.56,10,12,0,0,0,0
TXN0071,89.01,5,8,4,1,0,0
TXN0072,2450.50,18,23,6,0,1,1
TXN0073,56.78,3,14,2,1,0,0
TXN0074,178.90,9,17,1,0,0,0
