read_id	flowcell	lane	tile	x_coord	y_coord	chromosome	position	is_paired
READ_00001	HWI-ST1234	3	1101	5000	6000	chr1	12345678	true
READ_00002	HWI-ST1234	3	1101	5050	6030	chr1	12345678	true
READ_00003	HWI-ST1234	3	1101	5080	6020	chr1	12345678	true
READ_00004	HWI-ST1234	3	1101	5045	6015	chr1	12345678	true
READ_00005	HWI-ST1234	3	1101	7000	8000	chr2	23456789	true
READ_00006	HWI-ST1234	3	1101	7050	8040	chr2	23456789	true
READ_00007	HWI-ST1234	3	1101	7030	8025	chr2	23456789	true
READ_00008	HWI-ST1234	3	1101	9000	10000	chr3	34567890	true
READ_00009	HWI-ST1234	3	1101	11000	12000	chr4	45678901	true
READ_00010	HWI-ST1234	3	1101	11050	12030	chr4	45678901	true
READ_00011	HWI-ST1234	3	1101	13000	14000	chr5	56789012	true
READ_00012	HWI-ST1234	3	1101	15000	16000	chr6	67890123	true
READ_00013	HWI-ST1234	3	1101	15060	16040	chr6	67890123	true
READ_00014	HWI-ST1234	3	1101	15070	16050	chr6	67890123	true
READ_00015	HWI-ST1234	3	1101	17000	18000	chr7	78901234	true
READ_00016	HWI-ST1234	3	1101	19000	11000	chr8	89012345	true
READ_00017	HWI-ST1234	3	1101	12000	13000	chr9	90123456	true
READ_00018	HWI-ST1234	3	1101	14000	15000	chr10	11234567	true
READ_00019	HWI-ST1234	3	1101	16000	17000	chr11	22345678	true
READ_00020	HWI-ST1234	3	1101	18000	19000	chr12	33456789	true
READ_00021	HWI-ST1234	3	1101	10500	11500	chr1	44567890	true
READ_00022	HWI-ST1234	3	1101	10550	11530	chr1	44567890	true
READ_00023	HWI-ST1234	3	1101	12500	13500	chr2	55678901	true
READ_00024	HWI-ST1234	3	1101	14500	15500	chr3	66789012	true
READ_00025	HWI-ST1234	3	1101	14550	15540	chr3	66789012	true
READ_00026	HWI-ST1234	5	2316	5000	6000	chr1	12345678	true
READ_00027	HWI-ST1234	5	2316	5055	6035	chr1	12345678	true
READ_00028	HWI-ST1234	5	2316	5070	6025	chr1	12345678	true
READ_00029	HWI-ST1234	5	2316	5040	6010	chr1	12345678	true
READ_00030	HWI-ST1234	5	2316	5085	6045	chr1	12345678	true
READ_00031	HWI-ST1234	5	2316	7000	8000	chr2	23456789	true
READ_00032	HWI-ST1234	5	2316	7045	8030	chr2	23456789	true
READ_00033	HWI-ST1234	5	2316	7060	8020	chr2	23456789	true
READ_00034	HWI-ST1234	5	2316	9000	10000	chr3	34567890	true
READ_00035	HWI-ST1234	5	2316	9050	10040	chr3	34567890	true
READ_00036	HWI-ST1234	5	2316	9070	10025	chr3	34567890	true
READ_00037	HWI-ST1234	5	2316	9030	10015	chr3	34567890	true
READ_00038	HWI-ST1234	5	2316	11000	12000	chr4	45678901	true
READ_00039	HWI-ST1234	5	2316	13000	14000	chr5	56789012	true
READ_00040	HWI-ST1234	5	2316	15000	16000	chr6	67890123	true
READ_00041	HWI-ST1234	5	2316	15045	16035	chr6	67890123	true
READ_00042	HWI-ST1234	5	2316	15060	16020	chr6	67890123	true
