chr1	1000000	1005000	chr1	1050000	1055000	25	3.45	0.001
chr2	5000000	5005000	chr2	5008000	5013000	8	1.23	0.15
chr1	2000000	2005000	chr1	4500000	4505000	18	2.67	0.008
chr3	3000000	3005000	chr3	3500000	3505000	20	4.12	0.0005
chr1	500000	505000	chr1	507000	512000	12	1.89	0.02
chr2	8000000	8005000	chr2	8300000	8305000	30	5.23	0.0001
chr10	1500000	1505000	chr10	1508000	1513000	6	0.87	0.3
chr1	10000000	10005000	chr1	11200000	11205000	22	3.78	0.003
chrX	5000000	5005000	chrX	6500000	6505000	28	4.56	0.0008
chr3	7000000	7005000	chr3	7015000	7020000	10	2.34	0.005
chr2	2000000	2005000	chr2	4500000	4505000	35	6.12	0.0002
chr1	15000000	15005000	chr1	15050000	15055000	18	2.89	0.006
chr10	3000000	3005000	chr10	3800000	3805000	14	1.67	0.04
chr3	9000000	9005000	chr3	10500000	10505000	40	7.23	0.00015
chr1	6000000	6005000	chr1	6003000	6008000	22	3.21	0.0012
chr2	12000000	12005000	chr2	14500000	14505000	8	1.45	0.08
chrX	2000000	2005000	chrX	3200000	3205000	25	4.89	0.0004
chr1	8000000	8005000	chr1	10500000	10510000	19	3.12	0.007
chr3	4000000	4005000	chr3	4100000	4105000	16	2.76	0.009
chr10	5000000	5005000	chr10	5006000	5011000	5	0.65	0.25
chr2	18000000	18005000	chr2	20500000	20505000	32	5.67	0.0003
chr1	20000000	20005000	chr1	22500000	22505000	27	4.23	0.0006
chr3	1000000	1005000	chr3	1080000	1085000	15	2.01	0.0095
chrX	8000000	8005000	chrX	8500000	8505000	11	1.78	0.015
chr1	25000000	25005000	chr1	27800000	27805000	23	3.98	0.0009
chr2	6000000	6005000	chr2	6150000	6155000	17	2.45	0.008
chr10	7000000	7005000	chr10	8200000	8205000	29	5.12	0.0002
chr3	12000000	12005000	chr3	13500000	13505000	21	3.67	0.004
chr1	30000000	30005000	chr1	30008000	30013000	9	1.12	0.18
chr2	25000000	25005000	chr2	28000000	28005000	36	6.45	0.0001
chrX	12000000	12005000	chrX	14500000	14505000	24	4.34	0.0007
chr1	35000000	35005000	chr1	37500000	37505000	20	3.56	0.005
chr10	10000000	10005000	chr10	10080000	10085000	13	1.95	0.012
chr3	16000000	16005000	chr3	18200000	18205000	31	5.89	0.0003
chr2	30000000	30005000	chr2	30006000	30011000	7	0.98	0.22
chr1	40000000	40005000	chr1	42800000	42805000	26	4.78	0.0005
chrX	18000000	18005000	chrX	20500000	20505000	19	3.23	0.006
chr3	20000000	20005000	chr3	21200000	21205000	16	2.67	0.008
chr10	13000000	13005000	chr10	15500000	15505000	28	5.01	0.0004
chr2	35000000	35005000	chr2	37300000	37305000	22	3.87	0.002
chr1	45000000	45005000	chr1	45009000	45014000	10	1.56	0.045
chr3	25000000	25005000	chr3	27500000	27505000	33	6.23	0.0002
chrX	22000000	22005000	chrX	24800000	24805000	21	3.45	0.003
chr1	50000000	50005000	chr1	52500000	52505000	18	2.98	0.007
chr10	16000000	16005000	chr10	16100000	16105000	14	2.12	0.0098
chr2	40000000	40005000	chr2	43000000	43005000	30	5.45	0.0003
chr3	30000000	30005000	chr3	30007000	30012000	6	0.76	0.28
chr1	55000000	55005000	chr1	58000000	58005000	25	4.56	0.0006
chrX	28000000	28005000	chrX	30500000	30505000	23	4.01	0.001
chr10	20000000	20005000	chr10	22800000	22805000	27	4.89	0.0005
chr2	45000000	45005000	chr2	47500000	47505000	17	2.78	0.008
chr3	35000000	35005000	chr3	37200000	37205000	20	3.34	0.004
