gene_symbol	chr	tss	strand
TP53	chr1	15250	+
BRCA1	chr1	45200	-
EGFR	chr1	100300	+
MYC	chr1	2500500	+
GAPDH	chr1	5500	-
ACTB	chr1	12000	+
KRAS	chr1	48500	-
PTEN	chr1	98750	+
CDK1	chr1	1500000	-
CDKN1A	chr1	3200000	+
FOXO1	chr1	7800000	-
BCL2	chr1	9500000	+
VEGFA	chr1	12000000	-
TNF	chr1	15500000	+
IL6	chr1	18200000	-
STAT3	chr1	21000000	+
JAK2	chr1	24500000	-
AKT1	chr1	27800000	+
MTOR	chr1	30200000	-
PIK3CA	chr1	33500000	+
NRAS	chr1	36000000	-
HRAS	chr1	38500000	+
BRAF	chr1	41200000	-
RAF1	chr1	44000000	+
MAP2K1	chr1	46800000	-
MAPK1	chr1	49500000	+
JUN	chr1	52200000	-
FOS	chr1	55000000	+
ATM	chr1	58500000	-
ATR	chr1	61800000	+
CHEK1	chr1	65200000	-
CHEK2	chr1	68500000	+
MDM2	chr1	71800000	-
MDM4	chr1	75000000	+
RB1	chr1	78500000	-
E2F1	chr1	82000000	+
CCND1	chr1	85500000	-
CCNE1	chr1	89000000	+
CDK2	chr1	92500000	-
CDK4	chr1	96000000	+
CDK6	chr1	99500000	-
SMAD2	chr2	10000	+
SMAD3	chr2	28000	-
SMAD4	chr2	55000	+
TGFB1	chr2	120000	-
TGFB2	chr2	250000	+
CTNNB1	chr2	480000	-
APC	chr2	750000	+
GSK3B	chr2	1200000	-
WNT1	chr2	1800000	+
WNT3A	chr2	2500000	-
FZD1	chr2	3200000	+
LRP6	chr2	4000000	-
DVL1	chr2	4800000	+
NOTCH1	chr2	5600000	-
NOTCH2	chr2	6500000	+
JAG1	chr2	7400000	-
DLL1	chr2	8300000	+
HES1	chr2	9200000	-
HEY1	chr2	10100000	+
RBPJ	chr2	11000000	-
MAML1	chr2	12000000	+
PSEN1	chr2	13000000	-
PSEN2	chr2	14000000	+
APP	chr2	15000000	-
SNCA	chr2	16000000	+
PARK2	chr2	17000000	-
PINK1	chr2	18000000	+
LRRK2	chr2	19000000	-
GBA	chr2	20000000	+
APOE	chr2	21000000	-
MAPT	chr2	22000000	+
TAU	chr2	23000000	-
PRKN	chr2	24000000	+
DJ1	chr2	25000000	-
SNRPN	chr2	26000000	+
UBE3A	chr2	27000000	-
MECP2	chr3	8500	+
FMR1	chr3	25000	-
HTT	chr3	62000	+
ATXN1	chr3	125000	-
ATXN2	chr3	205000	+
ATXN3	chr3	320000	-
CACNA1A	chr3	450000	+
TBP	chr3	620000	-
AR	chr3	820000	+
DMPK	chr3	1100000	-
FXN	chr3	1450000	+
SMN1	chr3	1850000	-
SMN2	chr3	2300000	+
PARK7	chr3	2800000	-
UCHL1	chr3	3350000	+
VPS35	chr3	3950000	-
DNMT1	chr3	4600000	+
DNMT3A	chr3	5300000	-
DNMT3B	chr3	6050000	+
TET1	chr3	6850000	-
TET2	chr3	7700000	+
TET3	chr3	8600000	-
HDAC1	chr3	9550000	+
HDAC2	chr3	10550000	-
HDAC3	chr3	11600000	+
SIRT1	chr3	12700000	-
SIRT2	chr3	13850000	+
SIRT3	chr3	15050000	-
SIRT6	chr3	16300000	+
EZH2	chr3	17600000	-
SUZ12	chr3	18950000	+
EED	chr3	20350000	-
KMT2A	chr3	21800000	+
KMT2D	chr3	23300000	-
KDM1A	chr3	24850000	+
KDM4A	chr3	26450	-
KDM5A	chr3	28100000	+
KDM6A	chr3	29800000	-
NSD1	chr4	12500	+
SETD2	chr4	35000	-
ASH1L	chr4	68000	+
WHSC1	chr4	115000	-
DOT1L	chr4	175000	+
PRMT1	chr4	255000	-
PRMT5	chr4	355000	+
CARM1	chr4	475000	-
NCOA1	chr4	620000	+
NCOA2	chr4	790000	-
NCOA3	chr4	985000	+
CREBBP	chr4	1210000	-
EP300	chr4	1465000	+
KAT2A	chr4	1750000	-
KAT2B	chr4	2065000	+
KAT5	chr4	2410000	-
KAT6A	chr4	2785000	+
KAT7	chr4	3190000	-
NCOR1	chr4	3625000	+
NCOR2	chr4	4090000	-
TBL1XR1	chr4	4585000	+
GPS2	chr4	5110000	-
HDAC4	chr4	5665000	+
HDAC5	chr4	6250000	-
HDAC7	chr4	6865000	+
HDAC9	chr4	7510000	-
MEF2A	chr4	8185000	+
MEF2C	chr4	8890000	-
MEF2D	chr4	9625000	+
MYOD1	chr4	10390000	-
MYOG	chr4	11185000	+
MYF5	chr4	12010000	-
MYF6	chr4	12865000	+
PAX3	chr4	13750000	-
PAX7	chr4	14665000	+
SOX2	chr4	15610000	-
SOX9	chr4	16585000	+
NANOG	chr4	17590000	-
POU5F1	chr4	18625000	+
KLF4	chr4	19690000	-
ZEB1	chr5	18000	+
ZEB2	chr5	42000	-
SNAI1	chr5	78000	+
SNAI2	chr5	128000	-
TWIST1	chr5	192000	+
TWIST2	chr5	270000	-
CDH1	chr5	362000	+
CDH2	chr5	468000	-
VIM	chr5	588000	+
FN1	chr5	722000	-
MMP2	chr5	870000	+
MMP9	chr5	1032000	-
TIMP1	chr5	1208000	+
TIMP2	chr5	1398000	-
PLAU	chr5	1602000	+
