chromosome,position,read_count,quality_score
chr3,15420,3,45.2
chr1,5000,8,45.5
chr2,25000,2,55.0
chr1,5010,12,35.2
chr4,8500,15,78.3
chr2,3500,3,55.0
chr1,5015,10,42.1
chr3,12000,7,25.5
chr5,30000,6,31.0
chr1,8947,15,89.3
chr2,10000,9,50.5
chr3,22500,4,22.0
chr2,10018,11,45.8
chr1,15000,1,15.5
chr4,5500,8,35.0
chr3,18000,12,65.2
chr1,20000,20,92.1
chr2,8000,3,28.5
chr5,12000,7,40.0
chr1,25000,5,30.0
chr3,5000,2,70.0
chr2,15000,14,55.5
chr4,12000,6,33.5
chr1,30000,4,80.0
chr5,18000,9,48.2
chr2,20000,8,29.5
chr3,28000,11,52.0
chr1,35000,3,25.0
chr4,18000,13,70.5
chr2,12000,7,38.0
chr5,25000,5,35.8
chr1,3000,2,18.0
chr3,8000,10,60.0
chr2,5000,6,42.5
chr4,22000,4,45.0
chr1,12000,16,85.0
chr5,8000,8,30.5
chr3,35000,5,50.5
chr2,28000,1,12.5
chr4,15000,9,55.0
chr1,18000,12,68.5
chr3,10000,3,40.0
chr2,18000,15,75.0
chr5,15000,7,45.0
chr1,22000,4,33.0
chr4,28000,11,62.5
chr3,25000,6,29.0
chr2,32000,10,58.0
chr1,28000,2,50.0
chr5,22000,13,80.0
chr4,10000,5,30.0
chr3,15000,8,44.5
chr2,22000,3,65.0
chr1,32000,14,72.0
chr5,28000,6,38.5
chr4,25000,1,20.0
chr3,30000,9,54.0
chr2,30000,7,31.5
chr1,38000,5,41.0
chr4,32000,12,66.0
chr5,32000,4,28.0
chr3,20000,11,70.5
chr2,35000,8,48.0
chr1,40000,3,55.0
chr5,35000,10,52.5
chr4,35000,6,35.5
chr3,32000,2,22.5
chr2,38000,13,82.0
chr1,42000,7,30.5
chr5,38000,5,44.0
chr4,38000,9,58.5
chr3,38000,4,29.5
chr2,40000,15,88.0
chr1,45000,11,75.5
chr5,40000,8,36.0
chr4,40000,1,15.0
chr3,40000,6,50.0
chr2,42000,3,42.0
chr1,48000,14,85.5
chr5,42000,12,68.0
chr4,42000,5,31.5
chr3,42000,7,40.5
chr2,45000,2,25.0
chr1,50000,10,60.5
chr5,45000,9,54.5
chr1,5020,7,38.0
chr4,45000,6,45.5
chr3,45000,8,35.0
chr2,48000,4,70.0
chr1,10000,13,78.5
chr5,48000,11,62.0
chr4,48000,3,28.5
chr3,48000,5,30.5
chr2,50000,16,90.0
chr1,15500,2,18.5
chr5,50000,7,48.5
chr4,50000,14,72.5
chr3,50000,9,55.0
chr1,2000,4,40.0
chr2,2000,6,32.0
chr3,2000,12,65.5
chr4,2000,5,29.5
chr5,2000,8,50.0
chr1,6000,3,22.0
chr2,6000,11,58.5
chr3,6000,1,35.0
chr4,6000,7,42.0
chr5,6000,15,82.5
chr1,9000,9,48.0
chr2,9000,4,25.5
chr3,9000,6,38.5
chr4,9000,10,62.0
chr5,9000,2,70.0
chr1,13000,5,30.0
chr2,13000,8,44.5
chr3,13000,3,28.0
chr4,13000,12,75.0
chr5,13000,14,85.0
chr1,16000,1,12.0
chr2,16000,7,36.5
chr3,16000,11,68.0
chr4,16000,4,22.5
chr5,16000,6,41.0
chr1,19000,13,80.5
chr2,19000,5,31.0
chr3,19000,2,55.0
chr4,19000,9,52.5
chr5,19000,10,60.0
chr1,23000,3,45.0
chr2,23000,15,88.5
chr3,23000,8,38.0
chr4,23000,6,30.5
chr5,23000,4,25.5
chr1,26000,11,72.0
chr2,26000,7,42.5
chr3,26000,5,33.0
chr4,26000,2,18.5
chr5,26000,12,78.5
chr1,29000,4,28.5
chr2,29000,9,55.5
chr3,29000,14,82.0
chr4,29000,8,48.0
chr5,29000,3,65.0
chr1,33000,6,35.5
chr2,33000,10,62.5
chr3,33000,1,20.0
chr4,33000,13,75.5
chr5,33000,7,44.5
