chromosome	position	context	methylated_count	unmethylated_count	conversion_control
chr1	10523	CG	8	5	0.998
chr1	10547	CG	12	3	0.997
chr1	10589	CG	6	9	0.999
chr1	10623	CG	14	2	0.998
chr1	10671	CG	5	7	0.997
chr1	10698	CG	11	4	0.998
chr1	10734	CG	3	8	0.996
chr1	10789	CG	9	6	0.997
chr1	10812	CHH	0	13	0.995
chr1	10856	CG	7	5	0.998
chr1	10891	CG	15	1	0.999
chr1	10923	CG	4	10	0.997
chr1	10967	CG	13	2	0.998
chr1	11001	CG	8	7	0.997
chr1	11045	CHG	1	11	0.996
chr1	11089	CG	6	8	0.998
chr1	11123	CG	10	5	0.997
chr1	11167	CG	12	3	0.999
chr1	11201	CG	5	9	0.997
chr1	11245	CG	14	4	0.998
chr1	11289	CG	7	6	0.997
chr1	11334	CG	9	5	0.998
chr1	11378	CG	11	7	0.997
chr1	11423	CG	4	8	0.996
chr1	11467	CHH	0	15	0.995
chr1	11512	CG	13	3	0.998
chr1	11556	CG	6	10	0.997
chr1	11601	CG	8	5	0.998
chr1	11645	CG	15	2	0.999
chr1	11690	CG	5	7	0.997
chr1	11734	CG	10	4	0.998
chr1	11779	CG	12	6	0.997
chr1	11823	CG	7	9	0.998
chr1	11868	CHG	0	12	0.996
chr1	11912	CG	14	3	0.998
chr1	11957	CG	6	8	0.997
chr1	12001	CG	9	5	0.998
chr1	12046	CG	11	4	0.997
chr1	12090	CG	4	7	0.996
chr1	12135	CG	13	2	0.999
chr1	12179	CG	8	6	0.997
chr1	12224	CG	5	10	0.998
chr1	12268	CHH	1	14	0.995
chr1	12313	CG	12	3	0.998
chr1	12357	CG	7	8	0.997
chr1	12402	CG	15	1	0.999
chr1	12446	CG	6	9	0.997
chr1	12491	CG	10	5	0.998
chr1	12535	CG	4	7	0.997
chr1	12580	CG	14	3	0.998
chr1	12624	CG	8	6	0.997
chr1	12669	CHG	0	13	0.996
chr1	12713	CG	11	4	0.998
chr1	12758	CG	5	8	0.997
chr1	12802	CG	13	2	0.999
chr1	12847	CG	7	10	0.997
chr1	12891	CG	9	5	0.998
chr1	12936	CG	12	4	0.997
chr1	12980	CG	6	7	0.998
chr1	13025	CHH	0	15	0.995
chr1	13069	CG	14	3	0.998
chr1	13114	CG	8	6	0.997
chr1	13158	CG	5	9	0.998
chr1	13203	CG	11	4	0.997
chr1	13247	CG	7	8	0.998
chr1	13292	CG	15	2	0.999
chr1	13336	CG	4	10	0.997
chr1	13381	CHG	1	12	0.996
chr1	13425	CG	13	3	0.998
chr1	13470	CG	6	7	0.997
chr1	13514	CG	9	5	0.998
chr1	13559	CG	12	4	0.997
chr1	13603	CG	8	6	0.998
chr1	13648	CG	5	9	0.997
chr1	13692	CG	14	2	0.999
chr1	13737	CHH	0	14	0.995
chr1	13781	CG	10	5	0.998
chr1	13826	CG	7	8	0.997
chr1	13870	CG	11	4	0.998
chr1	13915	CG	6	9	0.997
chr1	13959	CG	13	3	0.998
chr1	14004	CG	8	7	0.997
chr1	14048	CG	15	1	0.999
chr1	14093	CHG	0	13	0.996
chr1	14137	CG	5	10	0.997
chr1	14182	CG	12	4	0.998
chr1	14226	CG	7	6	0.997
chr1	14271	CG	9	8	0.998
chr1	14315	CG	14	3	0.997
chr1	14360	CG	6	9	0.998
chr1	14404	CHH	1	15	0.995
chr1	14449	CG	11	5	0.998
chr1	14493	CG	4	7	0.997
chr1	14538	CG	13	2	0.999
chr1	14582	CG	8	6	0.997
chr1	14627	CG	10	4	0.998
chr1	14671	CG	5	9	0.997
chr1	14716	CG	12	3	0.998
chr1	14760	CHG	0	12	0.996
chr1	14805	CG	7	8	0.997
chr1	14849	CG	15	1	0.999
chr1	14894	CG	6	10	0.997
chr1	14938	CG	9	5	0.998
chr1	14983	CG	11	4	0.997
chr1	15027	CG	4	7	0.996
chr1	15072	CHH	0	14	0.995
chr1	15116	CG	13	3	0.998
chr1	15161	CG	8	6	0.997
chr1	15205	CG	5	9	0.998
chr1	15250	CG	12	4	0.997
chr1	15294	CG	7	8	0.998
chr1	15339	CG	14	2	0.999
chr1	15383	CG	6	10	0.997
chr1	15428	CHG	1	13	0.996
chr1	15472	CG	10	5	0.998
chr1	15517	CG	4	7	0.997
chr1	15561	CG	13	3	0.998
chr1	15606	CG	8	6	0.997
chr1	15650	CG	11	4	0.998
chr1	15695	CG	5	9	0.997
chr1	15739	CHH	0	15	0.995
chr1	15784	CG	12	3	0.998
chr1	15828	CG	7	8	0.997
chr1	15873	CG	15	1	0.999
chr1	15917	CG	6	9	0.997
chr1	15962	CG	9	5	0.998
chr1	16006	CG	11	4	0.997
chr1	16051	CG	4	7	0.996
chr1	16095	CHG	0	12	0.996
chr1	16140	CG	13	3	0.998
chr1	16184	CG	8	6	0.997
chr1	16229	CG	5	10	0.998
chr1	16273	CG	12	4	0.997
chr1	16318	CG	7	8	0.998
chr1	16362	CG	14	2	0.999
chr1	16407	CHH	1	14	0.995
chr1	16451	CG	6	9	0.997
chr1	16496	CG	10	5	0.998
chr1	16540	CG	4	7	0.997
chr1	16585	CG	13	3	0.998
chr1	16629	CG	8	6	0.997
chr1	16674	CG	11	4	0.998
chr1	16718	CG	5	9	0.997
chr1	16763	CHG	0	13	0.996
chr1	16807	CG	12	3	0.998
chr1	16852	CG	7	8	0.997
chr1	16896	CG	15	1	0.999
chr1	16941	CG	6	10	0.997
chr1	16985	CG	9	5	0.998
chr1	17030	CG	11	4	0.997
chr1	17074	CHH	0	15	0.995
chr1	17119	CG	4	7	0.996
chr1	17163	CG	13	3	0.998
chr1	17208	CG	8	6	0.997
chr1	17252	CG	5	9	0.998
chr1	17297	CG	12	4	0.997
chr1	17341	CG	7	8	0.998
chr1	17386	CG	14	2	0.999
chr1	17430	CHG	1	12	0.996
chr1	17475	CG	6	10	0.997
chr1	17519	CG	10	5	0.998
chr1	17564	CG	4	7	0.997
chr1	17608	CG	13	3	0.998
chr1	17653	CG	8	6	0.997
chr1	17697	CG	11	4	0.998
chr1	17742	CHH	0	14	0.995
chr1	17786	CG	5	9	0.997
chr1	17831	CG	12	3	0.998
chr1	17875	CG	7	8	0.997
chr1	17920	CG	15	1	0.999
chr1	17964	CG	6	9	0.997
chr1	18009	CG	9	5	0.998
chr1	18053	CG	11	4	0.997
chr1	18098	CHG	0	13	0.996
chr1	18142	CG	4	7	0.996
chr1	18187	CG	13	3	0.998
chr1	18231	CG	8	6	0.997
chr1	18276	CG	5	10	0.998
chr1	18320	CG	12	4	0.997
chr1	18365	CG	7	8	0.998
chr1	18409	CHH	1	15	0.995
chr1	18454	CG	14	2	0.999
chr1	18498	CG	6	9	0.997
chr1	18543	CG	10	5	0.998
chr1	18587	CG	4	7	0.997
chr1	18632	CG	13	3	0.998
chr1	18676	CG	8	6	0.997
chr1	18721	CG	11	4	0.998
chr1	18765	CHG	0	12	0.996
chr1	18810	CG	5	9	0.997
chr1	18854	CG	12	3	0.998
chr1	18899	CG	7	8	0.997
chr1	18943	CG	15	1	0.999
chr1	18988	CG	6	10	0.997
chr1	19032	CG	9	5	0.998
chr1	19077	CHH	0	14	0.995
chr1	19121	CG	11	4	0.997
chr1	19166	CG	4	7	0.996
chr1	19210	CG	13	3	0.998
chr1	19255	CG	8	6	0.997
chr1	19299	CG	5	9	0.998
chr1	19344	CG	12	4	0.997
chr1	19388	CG	7	8	0.998
chr2	10523	CG	14	2	0.999
chr2	10567	CHG	1	13	0.996
chr2	10611	CG	6	10	0.997
chr2	10655	CG	10	5	0.998
chr2	10699	CG	4	7	0.997
chr2	10743	CG	13	3	0.998
chr2	10787	CG	8	6	0.997
chr2	10831	CG	11	4	0.998
chr2	10875	CHH	0	15	0.995
chr2	10919	CG	5	9	0.997
chr2	10963	CG	12	3	0.998
chr2	11007	CG	7	8	0.997
chr2	11051	CG	15	1	0.999
chr2	11095	CG	6	9	0.997
chr2	11139	CG	9	5	0.998
chr2	11183	CG	11	4	0.997
chr2	11227	CHG	0	12	0.996
chr2	11271	CG	4	7	0.996
chr2	11315	CG	13	3	0.998
chr2	11359	CG	8	6	0.997
chr2	11403	CG	5	10	0.998
chr2	11447	CG	12	4	0.997
chr2	11491	CG	7	8	0.998
chr2	11535	CHH	1	14	0.995
chr2	11579	CG	14	2	0.999
chr2	11623	CG	6	9	0.997
chr2	11667	CG	10	5	0.998
chr2	11711	CG	4	7	0.997
chr2	11755	CG	13	3	0.998
chr2	11799	CG	8	6	0.997
chr2	11843	CG	11	4	0.998
chr2	11887	CHG	0	13	0.996
chr2	11931	CG	5	9	0.997
chr2	11975	CG	12	3	0.998
chr2	12019	CG	7	8	0.997
chr2	12063	CG	15	1	0.999
chr2	12107	CG	6	10	0.997
chr2	12151	CG	9	5	0.998
chr2	12195	CHH	0	15	0.995
chr2	12239	CG	11	4	0.997
chr2	12283	CG	4	7	0.996
chr2	12327	CG	13	3	0.998
chr2	12371	CG	8	6	0.997
chr2	12415	CG	5	9	0.998
chr2	12459	CG	12	4	0.997
chr2	12503	CG	7	8	0.998
chr2	12547	CHG	1	12	0.996
chr2	12591	CG	14	2	0.999
chr2	12635	CG	6	10	0.997
chr2	12679	CG	10	5	0.998
chr2	12723	CG	4	7	0.997
chr2	12767	CG	13	3	0.998
chr2	12811	CG	8	6	0.997
chr2	12855	CHH	0	14	0.995
chr2	12899	CG	11	4	0.998
chr2	12943	CG	5	9	0.997
chr2	12987	CG	12	3	0.998
chr2	13031	CG	7	8	0.997
chr2	13075	CG	15	1	0.999
chr2	13119	CG	6	9	0.997
chr2	13163	CG	9	5	0.998
chr2	13207	CHG	0	13	0.996
chr2	13251	CG	11	4	0.997
chr2	13295	CG	4	7	0.996
chr2	13339	CG	13	3	0.998
chr2	13383	CG	8	6	0.997
chr2	13427	CG	5	10	0.998
chr2	13471	CG	12	4	0.997
chr2	13515	CHH	1	15	0.995
chr2	13559	CG	7	8	0.998
chr2	13603	CG	14	2	0.999
chr2	13647	CG	6	9	0.997
chr2	13691	CG	10	5	0.998
chr2	13735	CG	4	7	0.997
chr2	13779	CG	13	3	0.998
chr2	13823	CG	8	6	0.997
chr2	13867	CHG	0	12	0.996
chr2	13911	CG	11	4	0.998
chr2	13955	CG	5	9	0.997
chr2	13999	CG	12	3	0.998
chr2	14043	CG	7	8	0.997
chr2	14087	CG	15	1	0.999
chr2	14131	CG	6	10	0.997
chr2	14175	CHH	0	14	0.995
chr2	14219	CG	9	5	0.998
chr2	14263	CG	11	4	0.997
chr2	14307	CG	4	7	0.996
chr2	14351	CG	13	3	0.998
chr2	14395	CG	8	6	0.997
chr2	14439	CG	5	9	0.998
chr2	14483	CG	12	4	0.997
chr2	14527	CHG	1	13	0.996
chr2	14571	CG	7	8	0.998
chr2	14615	CG	14	2	0.999
chr2	14659	CG	6	10	0.997
chr2	14703	CG	10	5	0.998
chr2	14747	CG	4	7	0.997
chr2	14791	CG	13	3	0.998
chr2	14835	CHH	0	15	0.995
chr2	14879	CG	8	6	0.997
chr2	14923	CG	11	4	0.998
chr2	14967	CG	5	9	0.997
chr2	15011	CG	12	3	0.998
chr2	15055	CG	7	8	0.997
chr2	15099	CG	15	1	0.999
chr2	15143	CG	6	9	0.997
chr2	15187	CHG	0	12	0.996
chr2	15231	CG	9	5	0.998
chr2	15275	CG	11	4	0.997
chr2	15319	CG	4	7	0.996
chr2	15363	CG	13	3	0.998
chr2	15407	CG	8	6	0.997
chr2	15451	CG	5	10	0.998
chr2	15495	CHH	1	14	0.995
chr2	15539	CG	12	4	0.997
chr2	15583	CG	7	8	0.998
chr2	15627	CG	14	2	0.999
chr2	15671	CG	6	9	0.997
chr2	15715	CG	10	5	0.998
chr2	15759	CG	4	7	0.997
chr2	15803	CG	13	3	0.998
chr2	15847	CHG	0	13	0.996
chr2	15891	CG	8	6	0.997
chr2	15935	CG	11	4	0.998
chr2	15979	CG	5	9	0.997
chr2	16023	CG	12	3	0.998
chr2	16067	CG	7	8	0.997
chr2	16111	CHH	0	15	0.995
chr2	16155	CG	15	1	0.999
chr2	16199	CG	6	10	0.997
chr2	16243	CG	9	5	0.998
chr2	16287	CG	11	4	0.997
chr2	16331	CG	4	7	0.996
chr2	16375	CG	13	3	0.998
chr2	16419	CG	8	6	0.997
chr2	16463	CHG	1	12	0.996
chr2	16507	CG	5	9	0.998
chr2	16551	CG	12	4	0.997
chr2	16595	CG	7	8	0.998
chr2	16639	CG	14	2	0.999
chr2	16683	CG	6	10	0.997
chr2	16727	CG	10	5	0.998
chr2	16771	CHH	0	14	0.995
chr2	16815	CG	4	7	0.997
chr2	16859	CG	13	3	0.998
chr2	16903	CG	8	6	0.997
chr2	16947	CG	11	4	0.998
chr2	16991	CG	5	9	0.997
chr2	17035	CG	12	3	0.998
chr2	17079	CHG	0	13	0.996
chr2	17123	CG	7	8	0.997
chr2	17167	CG	15	1	0.999
chr2	17211	CG	6	9	0.997
chr2	17255	CG	9	5	0.998
chr2	17299	CG	11	4	0.997
chr2	17343	CG	4	7	0.996
chr2	17387	CHH	1	15	0.995
chr2	17431	CG	13	3	0.998
chr2	17475	CG	8	6	0.997
chr2	17519	CG	5	10	0.998
chr2	17563	CG	12	4	0.997
chr2	17607	CG	7	8	0.998
chr2	17651	CG	14	2	0.999
chr2	17695	CHG	0	12	0.996
chr2	17739	CG	6	9	0.997
chr2	17783	CG	10	5	0.998
chr2	17827	CG	4	7	0.997
chr2	17871	CG	13	3	0.998
chr2	17915	CG	8	6	0.997
chr2	17959	CG	11	4	0.998
chr2	18003	CHH	0	14	0.995
chr2	18047	CG	5	9	0.997
chr2	18091	CG	12	3	0.998
chr2	18135	CG	7	8	0.997
chr2	18179	CG	15	1	0.999
chr2	18223	CG	6	10	0.997
chr2	18267	CG	9	5	0.998
chr2	18311	CHG	1	13	0.996
chr2	18355	CG	11	4	0.997
chr2	18399	CG	4	7	0.996
chr2	18443	CG	13	3	0.998
chr2	18487	CG	8	6	0.997
chr2	18531	CG	5	9	0.998
chr2	18575	CG	12	4	0.997
chr2	18619	CHH	0	15	0.995
chr2	18663	CG	7	8	0.998
chr2	18707	CG	14	2	0.999
chr2	18751	CG	6	10	0.997
chr2	18795	CG	10	5	0.998
chr2	18839	CG	4	7	0.997
chr2	18883	CG	13	3	0.998
chr2	18927	CG	8	6	0.997
chr2	18971	CHG	0	12	0.996
chr2	19015	CG	11	4	0.998
chr2	19059	CG	5	9	0.997
chr2	19103	CG	12	3	0.998
chr2	19147	CG	7	8	0.997
chr2	19191	CG	15	1	0.999
chr2	19235	CG	6	9	0.997
chr2	19279	CHH	1	14	0.995
chr2	19323	CG	9	5	0.998
chr2	19367	CG	11	4	0.997
chr2	19411	CG	4	7	0.996
chr2	19455	CG	13	3	0.998
chr2	19499	CG	8	6	0.997
chr2	19543	CG	5	10	0.998
chr2	19587	CG	12	4	0.997
chr2	19631	CHG	0	13	0.996
chr2	19675	CG	7	8	0.998
chr2	19719	CG	14	2	0.999
chr2	19763	CG	6	9	0.997
chr2	19807	CG	10	5	0.998
chr2	19851	CG	4	7	0.997
chr2	19895	CHH	0	15	0.995
chr2	19939	CG	13	3	0.998
chr2	19983	CG	8	6	0.997
chr3	10234	CG	11	4	0.998
chr3	10278	CG	5	9	0.997
chr3	10322	CG	12	3	0.998
chr3	10366	CG	7	8	0.997
chr3	10410	CHG	1	12	0.996
chr3	10454	CG	15	1	0.999
chr3	10498	CG	6	10	0.997
